合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
B.DCE,20180102,-15.24244094988142,3266.0,-14.035072878518129,3286.0,-15.465519146560624,-11.711035618905477,-14.746522470436261,3273.0,10272.0,336581600.0,0,0.0,0.5597439510902973,0.398040416,3276.690031,9074.0,0.0,-14.549051624889763,-14.861975324746098,3.0,0.37721755757923603,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624890862090481,1.0
B.DCE,20180103,-14.56213361315534,3257.0,-16.066038768171644,3266.0,-15.752645802657952,-13.992851237521123,-15.336536275137306,3267.0,14126.0,464011800.0,0,-9.0,-2.9401749878366417,1.0082493129999999,3284.806739,16640.0,27.28750029105636,-14.252112160452313,-14.055619428710159,8.0,3.3582306670379296,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,27.28750029105636,26.912759369542115,-2.946412934848084,-1.0
B.DCE,20180104,-15.14554808432463,3274.0,-16.965382549694887,3257.0,-16.038864978336456,-13.30322038699839,-15.238453960069279,3268.0,20468.0,670240300.0,0,-16.0,-5.6594083014527925,0.704009795,3274.576412,20446.0,14.06659702952986,-13.45608771332678,-15.062540225806096,-10.0,-7.333302101123543,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,14.06659702952986,13.822904737015143,-5.659318290240165,-1.0
B.DCE,20180105,-15.048556306422554,3280.0,-15.258845746654245,3274.0,-11.35893933055528,-13.796266662355869,-14.746522470436261,3273.0,16082.0,527507700.0,0,-1.0,0.1699881419550806,2.325581395,3280.112548,19654.0,-4.552707529473963,-14.450168961775596,-14.459606498007957,6.0,2.1686763620650993,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-4.552707529473963,-4.542957369746922,0.17304418278173728,1.0
B.DCE,20180108,-14.56213361315534,3278.0,-14.648852119830956,3280.0,-15.657037027857811,-13.30322038699839,-15.238453960069279,3268.0,12214.0,400040000.0,0,-12.0,-4.103115601144076,0.824931256,3275.257901,19204.0,-3.15102892602728,-13.85484961203366,-14.962309925250182,-5.0,-4.3904781637549775,2018/1/8,2018/1/8,-16.267616028016732,0.0,0.0,0.0,0.0,0.0,-3.15102892602728,-3.156693811598821,-4.110896496108936,-1.0
B.DCE,20180109,-15.048556306422554,3249.0,-14.852610971434892,3278.0,-16.134067197153655,-13.894604825195465,-16.40853649665719,3256.0,20160.0,659059300.0,0,-19.0,-6.812486060109322,0.8567931459999999,3269.143353,16842.0,-10.888895734239782,-14.351188939267864,-15.562105433472937,-6.0,-4.988369884128971,2018/1/9,2018/1/9,-16.601445982468896,0.0,0.0,0.0,0.0,0.0,-10.888895734239782,-10.750568185105735,-6.8420331748477565,-1.0
B.DCE,20180110,-16.20580627641769,3204.0,-17.756674330731244,3249.0,-17.549449450513677,-21.417284688063866,-22.980316538060862,3185.0,16604.0,540132600.0,0,-84.0,-29.094034650692567,2.856265356,3253.026981,15016.0,-8.749203976814506,-14.943596690738822,-17.142196257242148,-16.0,-10.856477535556273,2018/1/10,2018/1/10,-18.11957134153994,0.0,0.0,0.0,0.0,0.0,-8.749203976814506,-8.490750022345104,-29.633406235326614,-1.0
B.DCE,20180111,-22.7142655645493,3222.0,-22.05116534810304,3204.0,-21.019900761702726,-19.698479840485717,-20.465921374799468,3213.0,30464.0,977904400.0,0,-40.0,-15.060716685106122,1.130298273,3210.032826,17976.0,10.75407014978255,-16.505348428869773,-21.233411608721465,-43.0,-25.29754478607402,2018/1/11,2018/1/11,-19.14075311676562,0.0,0.0,0.0,0.0,0.0,10.75407014978255,10.357164883263948,-14.939506314039953,1.0
B.DCE,20180112,-20.222112830385306,3187.0,-20.366795720438002,3222.0,-21.197637978465757,-20.60889389449968,-22.539274597392044,3190.0,26626.0,851290700.0,0,-20.0,-7.3274606020173465,1.369436664,3197.215879,17076.0,-4.994251100958692,-20.55754718095391,-22.421166594373936,-13.0,-9.256619890324885,2018/1/12,2018/1/12,-20.635780439196953,0.0,0.0,0.0,0.0,0.0,-4.994251100958692,-4.886730404409477,-7.38669890782743,-1.0
B.DCE,20180115,-22.2769206879029,3181.0,-23.598018624063542,3187.0,-23.630316246514248,-26.99994823318398,-23.678535571432114,3177.0,23452.0,744926900.0,0,-20.0,-7.383653854110591,2.852664577,3176.389647,16548.0,-3.471117454941158,-21.736557831986868,-24.287448112911775,-21.0,-13.971631603232936,2018/1/15,2018/1/15,-22.216100200905075,-20.620850895079123,0.0,0.0,0.0,0.0,-3.471117454941158,-3.4126964937462816,-7.418836520547977,-1.0
B.DCE,20180116,-23.40682298253407,3149.0,-24.133359936220977,3181.0,-24.556498156945366,-23.43373646530189,-25.799487786368747,3152.0,15006.0,473609700.0,0,-24.0,-8.985402942088548,1.164620711,3156.135546,18630.0,7.232139340200739,-23.591764836441996,-26.001783848511717,-20.0,-13.472231571466104,2018/1/16,2018/1/16,-23.92417360411597,-21.73554430934167,0.0,0.0,0.0,0.0,7.232139340200739,6.782476198405895,-9.064002152499953,-1.0
B.DCE,20180117,-25.512126652814437,3157.0,-26.890752195695388,3149.0,-25.95362069338109,-23.519744169671895,-25.215121895436237,3159.0,22382.0,707396300.0,0,3.0,1.771534079073831,0.666243655,3160.558931,20836.0,7.733746483644147,-25.29906131585941,-25.66398028216726,4.0,1.0636277551959168,2018/1/17,2018/1/17,-24.322544090825694,-22.7142753488003,0.0,0.0,0.0,0.0,7.733746483644147,7.279149017553962,1.7724772659867085,1.0
B.DCE,20180118,-24.931827501844612,3168.0,-26.217175584816577,3157.0,-21.99102038473261,-23.60561008768197,-24.11019393878629,3172.0,35156.0,1111087100.0,0,12.0,5.38200392132174,2.184235518,3160.448003,21996.0,3.471117454941165,-24.962392760437556,-25.66398028216726,0.0,-1.4160973784450306,2018/1/18,2018/1/18,-24.965301756805403,-23.578684542070217,0.0,0.0,0.0,0.0,3.471117454941165,3.2318938276612457,5.3685680894782735,1.0
B.DCE,20180119,-23.835102716982583,3176.0,-25.27368828811008,3168.0,-22.60068145646009,-22.74061417609491,-22.627766344856354,3189.0,27812.0,882197000.0,0,29.0,12.017535811071255,1.6393442619999998,3172.001294,18942.0,-13.602471326634188,-24.962392760437556,-24.635335560640726,12.0,5.991924983016595,2018/1/19,2018/1/19,-24.98080269824988,-24.33471333840913,0.0,0.0,0.0,0.0,-13.602471326634188,-13.17867454232939,11.968992855510166,1.0
B.DCE,20180122,-22.364663324632584,3226.0,-24.57514603773302,3176.0,-21.019900761702726,-20.969483559956032,-20.74040400572278,3210.0,18642.0,596629700.0,0,38.0,15.339224329399912,1.567889621,3200.459715,20224.0,3.971310945092654,-23.937971099364834,-22.149220081230336,28.0,15.449246392293432,2018/1/22,2018/1/22,-24.463425856189936,-24.85574572784106,0.0,0.0,0.0,0.0,3.971310945092654,3.77085780744855,15.26007491519428,1.0
