合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
BB.DCE,20180102,-20.844921235571036,130.75,-14.519218952546744,130.15,-14.094115994131727,-12.464979776418673,-17.870779306958696,131.3,26.0,1696100.0,0,2.3,49.817857571333576,1.975213013,130.4692308,6.0,0.0,-20.14486076408697,-20.567623214592683,1.45,47.37775745774745,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.79319027119915,1.0
BB.DCE,20180103,-15.745875529256956,129.2,-13.169137406275233,130.75,-15.091978233040578,-10.336975594432708,-21.970053319111692,129.7,4.0,260400.0,0,-0.75,-32.43897348609891,0.799695354,130.2,4.0,-50.0,-16.876587888026584,-21.21826187151391,-0.25,-12.955443597497712,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0,-32.80829954388846,-1.0
BB.DCE,20180104,-19.489439334663892,130.9,-16.61946296796755,129.2,-17.846640446787973,-11.46126252894176,-23.19708427293773,129.2,2.0,129200.0,0,-1.0,-39.58582494672926,0.0,129.2,4.0,0.0,-17.45027167397403,-23.750541442540097,-1.0,-40.745317418250764,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.74295818502478,-1.0
BB.DCE,20180105,-20.62096648590652,131.0,-12.828983718358892,130.9,-13.086543384653531,-7.605090859242914,-16.40612817925711,131.85,6.0,393800.0,0,2.65,49.95921296620065,0.735294118,131.2666667,8.0,50.0,-19.70284491329878,-18.441328838334048,2.05,49.69070060652356,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,49.949937085158055,1.0
BB.DCE,20180108,-14.419953275893398,131.0,-12.601654982889599,131.0,-14.639648164842498,-7.375580395585821,-18.658300584186883,131.0,2.0,131000.0,0,-0.25,-12.150857763846517,0.0,131.0,6.0,-50.0,-15.014585920824864,-19.112835425874806,-0.25,-12.879288214930654,2018/1/8,2018/1/8,-16.047830991782654,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0,-12.263464158170763,-1.0
BB.DCE,20180109,-16.461134386451867,131.0,-12.601654982889599,131.0,-14.639648164842498,-7.375580395585821,-18.658300584186883,131.0,0.0,0.0,0,0.0,0.0,0.0,131.0,6.0,0.0,-15.60061116092384,-19.112835425874806,0.0,0.0,2018/1/8,2018/1/9,-16.18477285771138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
BB.DCE,20180110,-16.461134386451867,131.0,-12.601654982889599,131.0,-14.639648164842498,-7.375580395585821,-18.26557358290347,131.15,0.0,0.0,0,0.15,7.411945152118115,0.0,131.0,6.0,0.0,-15.60061116092384,-18.71067929625603,0.15,7.830967614233039,2018/1/8,2018/1/10,-15.53876568405785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425993432451648,-1.0
BB.DCE,20180111,-16.104230652451392,131.5,-12.601654982889599,131.0,-14.639648164842498,-7.375580395585821,-18.26557358290347,131.15,0.0,0.0,0,0.0,0.0,0.0,131.0,6.0,0.0,-15.249434923047751,-18.71067929625603,0.0,0.0,2018/1/8,2018/1/11,-14.671729829121595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
BB.DCE,20180112,-16.104230652451392,131.5,-11.458572632354347,131.5,-13.728816359457952,-6.2244297355382585,-17.341236216121395,131.5,4.0,263000.0,0,0.35,16.841316704694137,0.0,131.5,4.0,-50.0,-15.249434923047751,-17.763677332625385,0.35,17.741125894767308,2018/1/12,2018/1/12,-14.836739065842508,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0,16.84756056836133,-1.0
BB.DCE,20180115,-15.265860218837169,124.35,-11.458572632354347,131.5,-13.728816359457952,-6.2244297355382585,-45.09134140850157,115.15,0.0,0.0,0,5.45,49.999999999328196,0.0,131.5,12.0,50.0,-46.028202651634224,-45.56304965957398,5.45,50.0,2018/1/12,2018/1/15,-19.375651319703685,-18.643256447808554,0.0,0.0,0.0,0.0,50.0,50.0,49.99999999999953,-1.0
BB.DCE,20180116,-42.7532131108596,125.0,-26.44593194263141,124.35,-25.80363477769269,-21.749048890709588,-33.548236936682784,124.35,2.0,124400.0,0,9.2,50.0,0.0,124.4,10.0,-50.0,-42.042506425724405,-34.22612985472356,9.2,50.0,2018/1/16,2018/1/16,-21.81261406217907,-19.90753334238399,0.0,0.0,0.0,0.0,-50.0,-50.0,50.0,1.0
BB.DCE,20180117,-30.46382935455422,126.95,-25.2279873489003,125.0,-18.108383063822554,-32.44996646364492,-35.13769662701929,123.45,14.0,879200.0,0,-0.9,-38.123687098488766,8.685162847,125.6,8.0,-50.0,-29.497610235414452,-31.83034013767989,1.25,45.85829515088537,2018/1/17,2018/1/17,-24.455754361538297,-20.95129425125364,0.0,0.0,0.0,0.0,-50.0,-50.0,-38.365350031642805,-1.0
BB.DCE,20180118,-32.04124640452541,126.8,-21.381501335463625,126.95,-14.185241423623488,-29.34492952369293,-29.00601100526939,126.65,48.0,3067200.0,0,1.05,41.74473893859046,8.950992305,127.8,6.0,-50.0,-27.169618028892216,-27.20848997680143,2.15,49.842956649170716,2018/1/18,2018/1/18,-26.068232369521528,-21.406301663831062,0.0,0.0,0.0,0.0,-50.0,-50.0,41.2637808451,1.0
