合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
BU,20180102,-14.926368651678125,2656.0,-14.557692455462991,2620.0,-13.95075690491646,-11.469653947700856,-12.655485914467555,2618.0,2682.0,2656.0,62,36.0,16.656935317401278,0.0,383896.0,44790.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.725201424374063,1.0
BU,20180103,-10.727442201831629,2670.0,-12.089507544700076,2656.0,-10.671377113041508,-11.62657749677988,-9.967592392441567,2660.0,2662.0,2670.0,6,14.0,5.9135826912973,0.0,389628.0,5732.0,-26.171394555324696,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-26.171394555324696,-24.279217234972855,5.98307041296551,1.0
BU,20180104,-12.143784035614217,2676.0,-11.115533748444072,2670.0,-11.435872481236878,-10.207701832627343,-10.86951411427112,2646.0,2696.0,2676.0,26,6.0,2.0178872673643014,0.0,403526.0,13898.0,6.518138787046112,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.518138787046112,5.988335970153969,2.03713442905066,1.0
BU,20180105,-9.727356160715928,2686.0,-10.69592795318713,2676.0,-9.645663335107486,-9.413430412027651,-9.967592392441567,2660.0,2698.0,2686.0,22,10.0,3.934015164809999,0.0,423280.0,19754.0,4.826208346426121,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.826208346426121,4.46305475011517,4.007183057188172,-1.0
BU,20180108,-9.58394899570147,2692.0,-9.993838125807144,2686.0,-9.902744522695748,-9.413430412027651,-8.930304183328964,2676.0,2690.0,2692.0,4,6.0,1.978223205104669,0.0,434616.0,11336.0,-5.704961981628827,0.0,0.0,0.0,0.0,0,0,-10.617256991969768,0.0,0.0,0.0,0.0,0.0,-5.704961981628827,-5.234427514803933,2.003507149978269,1.0
BU,20180109,-10.156785739068106,2712.0,-9.57101247847104,2692.0,-9.902744522695748,-7.974142741193056,-8.148175351972917,2688.0,2712.0,2712.0,20,20.0,8.787957881243571,0.0,442126.0,7510.0,-2.3252039395157382,0.0,0.0,0.0,0.0,0,0,-9.698409051427191,0.0,0.0,0.0,0.0,0.0,-2.3252039395157382,-2.1249693607433926,8.816519779662435,1.0
BU,20180110,-8.576593646952482,2732.0,-8.153767018250981,2712.0,-8.094786369310796,-5.390105237807376,-7.362811744272747,2700.0,2758.0,2732.0,46,20.0,8.710237598427462,0.0,461060.0,18934.0,8.883575298369884,0.0,0.0,0.0,0.0,0,0,-9.164917821148627,0.0,0.0,0.0,0.0,0.0,8.883575298369884,8.306968810433155,8.773788886217005,1.0
BU,20180111,-5.230278248447043,2750.0,-6.725855845615023,2732.0,-4.825842283216971,-4.9026937998988345,-4.725500823598011,2740.0,2750.0,2750.0,18,18.0,7.613800024045382,0.0,453842.0,-7218.0,-18.16923942746308,0.0,0.0,0.0,0.0,0,0,-7.899970453368773,0.0,0.0,0.0,0.0,0.0,-18.16923942746308,-17.21288257474137,7.68751757413073,1.0
BU,20180112,-5.815625523488109,2752.0,-5.433126323496339,2750.0,-5.482990328333287,-5.06525014494332,-4.857962670757431,2738.0,2752.0,2752.0,2,2.0,0.002777625642266912,0.0,459436.0,5594.0,9.882107676381537,0.0,0.0,0.0,0.0,0,0,-6.841677564972308,0.0,0.0,0.0,0.0,0.0,9.882107676381537,9.360739015106454,0.0021109000330241656,1.0
BU,20180115,-5.669402602348498,2782.0,-5.289106509884284,2752.0,-6.269568044838017,-1.146698714575642,-4.990370448431278,2736.0,2808.0,2782.0,56,30.0,13.187589047422811,0.0,506050.0,46614.0,28.039259529147714,0.0,0.0,0.0,0.0,0,0,-6.022240797027763,-8.282944196705408,0.0,0.0,0.0,0.0,28.039259529147714,26.738448398955526,13.30115529652096,1.0
BU,20180116,-1.5510512374379175,2784.0,-3.1214926399265153,2782.0,-2.318125832336378,-1.6379062368769155,-3.2652707228419473,2762.0,2766.0,2784.0,-16,2.0,-0.01705895355864584,0.0,458366.0,-47684.0,-45.87586827716702,0.0,0.0,0.0,0.0,0,0,-5.003129743167975,-7.30728011777618,0.0,0.0,0.0,0.0,-45.87586827716702,-45.0859407756795,-0.0062960153540743136,-1.0
BU,20180117,-4.643789700492221,2764.0,-2.9765832301435537,2784.0,-5.220301547428328,-3.109740722241696,-4.460420763280929,2744.0,2766.0,2764.0,-18,-20.0,-10.385504425201034,0.0,454638.0,-3728.0,29.61587833544482,0.0,0.0,0.0,0.0,0,0,-4.395760203957366,-6.732945653628811,0.0,0.0,0.0,0.0,29.61587833544482,28.34459556621964,-10.495108433039476,1.0
BU,20180118,-4.643789700492221,2766.0,-4.423588104531142,2764.0,-5.351675294305309,-3.4363097212662623,-4.0624317121359965,2750.0,2764.0,2766.0,0,2.0,-0.002777625642266912,0.0,457720.0,3082.0,5.526196823994624,0.0,0.0,0.0,0.0,0,0,-4.256853407705627,-6.021087886908852,0.0,0.0,0.0,0.0,5.526196823994624,5.260909801730875,-0.00211090003301706,1.0
BU,20180119,-4.790511913209741,2742.0,-4.279119384434132,2766.0,-4.957383614665325,-4.577337005367021,-5.783600118995679,2724.0,2746.0,2742.0,-20,-24.0,-12.225667962493766,0.0,443232.0,-14488.0,-12.295509801674719,0.0,0.0,0.0,0.0,0,0,-4.450751071679129,-5.582559348667829,0.0,0.0,0.0,0.0,-12.295509801674719,-11.547277328253323,-12.426915445692394,-1.0
BU,20180122,-6.107831782250059,2766.0,-6.00847028215243,2742.0,-5.876568938456202,-2.782962361460335,-5.122722698249554,2734.0,2784.0,2766.0,42,24.0,10.460725336191516,0.0,451564.0,8332.0,16.855719539380857,0.0,0.0,0.0,0.0,0,0,-4.478466973182961,-5.182886497794463,0.0,0.0,0.0,0.0,16.855719539380857,15.96473518382976,10.535991118275987,1.0
