合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
CY.CZC,20180102,-3.1351922522664992,23305.0,-0.7832865433806759,23235.0,-4.352238274164073,-0.4932700032146329,-3.1542404767562786,23235.0,0.0,0.0,0,-23235.0,-18.92042577212727,0.0,23236.66667,60.0,0.0,-0.7854895967110522,-0.7854895967110522,0.0,0.0,2017/12/29,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.96923921262683,-1.0
CY.CZC,20180103,-3.1351922522664992,23305.0,0.0,23305.0,-3.602261380702892,0.3699566266107368,-2.306142848981999,23305.0,4.0,466100.0,0,70.0,0.31563736104826035,0.0,23305.0,60.0,0.0,-0.7854895967110522,0.0,70.0,14.790189403032144,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26455503421654214,1.0
CY.CZC,20180104,-2.2922027843673973,23305.0,0.0,23305.0,-3.602261380702892,0.3699566266107368,-2.306142848981999,23305.0,0.0,0.0,0,-23305.0,-18.92042577212727,0.0,23305.0,60.0,0.0,0.0,0.0,0.0,0.0,2018/1/3,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.96923921262683,-1.0
CY.CZC,20180105,-2.2922027843673973,23305.0,0.0,23305.0,-3.602261380702892,0.3699566266107368,-2.306142848981999,23305.0,0.0,0.0,0,-23305.0,-18.92042577212727,0.0,23305.0,60.0,0.0,0.0,0.0,0.0,0.0,2018/1/3,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.96923921262683,-1.0
CY.CZC,20180108,-2.2922027843673973,23125.0,0.0,23305.0,-3.602261380702892,0.3699566266107368,-2.306142848981999,23305.0,0.0,0.0,0,-23305.0,-18.92042577212727,0.0,23305.0,60.0,0.0,0.0,0.0,0.0,0.0,2018/1/3,2018/1/8,-2.124419713140327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.96923921262683,-1.0
CY.CZC,20180109,-2.2922027843673973,23220.0,-2.013439300939318,23125.0,-1.7222923180134657,-1.8491470185135483,-0.5464791831078557,23450.0,18.0,2109000.0,0,145.0,0.3796483042852046,1.523278266,23433.33333,60.0,0.0,0.0,1.45853558516135,130.0,25.896247738451777,2018/1/9,2018/1/9,-1.6060493328870038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279932379213122,1.0
CY.CZC,20180110,-0.5431724036169214,23220.0,-0.951104662360116,23220.0,-4.5127553076520925,-0.6782308627862292,-3.335802778620952,23220.0,4.0,464400.0,0,-215.0,0.07266122945209474,0.0,23220.0,58.0,-19.146246127401312,1.45853558516135,-0.9537795531772986,-215.0,-37.619078788999595,2018/1/10,2018/1/10,-1.8107622845338156,0.0,0.0,0.0,0.0,0.0,-19.146246127401312,-18.851189284731845,0.01989457722137189,-1.0
CY.CZC,20180111,-3.315663062801491,23125.0,-0.951104662360116,23220.0,-4.5127553076520925,-0.6782308627862292,-3.335802778620952,23220.0,0.0,0.0,0,-23220.0,-18.92042577212727,0.0,23220.0,58.0,0.0,-0.9537795531772986,-0.9537795531772986,0.0,0.0,2018/1/10,2018/1/11,-2.015427502107464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.96923921262683,-1.0
CY.CZC,20180112,-3.315663062801491,23125.0,-2.013439300939318,23125.0,-1.5609140958182905,-2.2186267171334038,0.0,23495.0,12.0,1391000.0,0,275.0,0.49177261081151613,1.722652885,23183.33333,52.0,-43.31927987311419,-0.9537795531772986,-1.3463849214389185,-35.0,-7.532729806374242,2018/1/12,2018/1/12,-1.5569704586315822,0.0,0.0,0.0,0.0,0.0,-43.31927987311419,-43.21999245653517,0.4381448833447479,1.0
CY.CZC,20180115,0.0,23125.0,-2.013439300939318,23125.0,-1.5609140958182905,-2.2186267171334038,0.0,23495.0,0.0,0.0,0,-23185.0,-18.687044088431847,1.722652885,23183.33333,52.0,0.0,-1.3463849214389185,-1.3463849214389185,0.0,0.0,2018/1/12,2018/1/15,-1.09830749514132,-0.9999033394614969,0.0,0.0,0.0,0.0,0.0,0.0,-18.73596624294097,-1.0
CY.CZC,20180116,0.0,23015.0,-2.013439300939318,23125.0,-1.5609140958182905,-2.2186267171334038,0.0,23495.0,0.0,0.0,0,-23185.0,-18.687044088431847,1.722652885,23183.33333,52.0,0.0,-1.3463849214389185,-1.3463849214389185,0.0,0.0,2018/1/12,2018/1/16,-0.9895960661153609,-0.6926520106942817,0.0,0.0,0.0,0.0,0.0,0.0,-18.73596624294097,-1.0
CY.CZC,20180117,0.0,23015.0,-3.2416772185393157,23015.0,-6.698013440282153,-4.614188058456506,-5.808616627616658,23015.0,32.0,3678000.0,0,-170.0,0.11121626021272135,0.49601035200000004,22987.5,32.0,-49.99997133484281,-1.3463849214389185,-3.586198090556721,-200.0,-36.15011202023211,2018/1/17,2018/1/17,-1.4814439084430404,-1.033821083058939,0.0,0.0,0.0,0.0,-49.99997133484281,-49.99994503134028,0.057259022259927406,-1.0
CY.CZC,20180118,-5.773713349376855,23015.0,-3.2416772185393157,23015.0,-6.698013440282153,-4.614188058456506,-5.808616627616658,23015.0,0.0,0.0,0,-22985.0,-18.89740305996816,0.49601035200000004,22987.5,32.0,0.0,-3.586198090556721,-3.586198090556721,0.0,0.0,2018/1/17,2018/1/18,-1.9730664656120993,-1.374914530420817,0.0,0.0,0.0,0.0,0.0,0.0,-18.946227326687914,-1.0
CY.CZC,20180119,-5.773713349376855,23015.0,-3.2416772185393157,23015.0,-6.698013440282153,-4.614188058456506,-5.808616627616658,23015.0,0.0,0.0,0,-22985.0,-18.89740305996816,0.49601035200000004,22987.5,32.0,0.0,-3.586198090556721,-3.586198090556721,0.0,0.0,2018/1/17,2018/1/19,-3.126571708882672,-1.7159074187842265,0.0,0.0,0.0,0.0,0.0,0.0,-18.946227326687914,-1.0
