合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
FB.DCE,20180102,50.0,108.8,0.0,108.8,0.0,0.0,50.0,109.8,8.0,436200.0,0,5.6,50.0,0.946073794,109.05,0.0,0.0,50.0,50.0,4.85,50.0,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-1.0
FB.DCE,20180103,50.0,108.8,0.0,108.8,0.0,0.0,49.99999999999399,96.7,0.0,0.0,0,-5.05,-50.0,0.946073794,109.05,6.0,50.0,50.0,49.99999999999399,-5.05,-50.0,2018/1/2,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-50.0,-1.0
FB.DCE,20180104,49.99999999999399,108.8,0.0,108.8,0.0,0.0,-19.146246127401312,91.95,0.0,0.0,0,-4.75,-50.0,0.946073794,109.05,6.0,0.0,49.99999999999399,-19.146246127401312,-4.75,-50.0,2018/1/2,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-1.0
FB.DCE,20180105,-19.146246127401312,108.8,0.0,108.8,0.0,0.0,-19.146246127401312,91.95,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-19.146246127401312,-19.146246127401312,0.0,0.0,2018/1/2,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
FB.DCE,20180108,-19.146246127401312,108.8,0.0,108.8,0.0,0.0,-19.146246127401312,91.95,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-19.146246127401312,-19.146246127401312,0.0,0.0,2018/1/2,2018/1/8,8.399339750004465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
FB.DCE,20180109,-19.146246127401312,108.8,0.0,108.8,0.0,0.0,-48.48698599897648,90.95,0.0,0.0,0,-1.0,-50.0,0.946073794,109.05,6.0,0.0,-19.146246127401312,-48.48698599897648,-1.0,-50.0,2018/1/2,2018/1/9,-10.977289371673848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-1.0
FB.DCE,20180110,-48.48698599897648,108.8,0.0,108.8,0.0,0.0,-48.48698599897648,90.95,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-48.48698599897648,-48.48698599897648,0.0,0.0,2018/1/2,2018/1/10,-27.92238629653304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
FB.DCE,20180111,-48.48698599897648,108.8,0.0,108.8,0.0,0.0,-48.48698599897648,90.95,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-48.48698599897648,-48.48698599897648,0.0,0.0,2018/1/2,2018/1/11,-32.01155058611188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
FB.DCE,20180112,-48.48698599897648,108.8,0.0,108.8,0.0,0.0,-50.0,86.95,0.0,0.0,0,-4.0,-50.0,0.946073794,109.05,6.0,0.0,-48.48698599897648,-50.0,-4.0,-50.0,2018/1/2,2018/1/12,-35.759508107828154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-1.0
FB.DCE,20180115,-50.0,108.8,0.0,108.8,0.0,0.0,-50.0,84.35,0.0,0.0,0,-2.6,-50.0,0.946073794,109.05,6.0,0.0,-50.0,-50.0,-2.6,-50.0,2018/1/2,2018/1/15,-38.940090564584835,-20.109378556441005,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-1.0
FB.DCE,20180116,-50.0,108.8,0.0,108.8,0.0,0.0,-50.0,84.35,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-50.0,-50.0,0.0,0.0,2018/1/2,2018/1/16,-39.0817796987057,-28.452111440219223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
FB.DCE,20180117,-50.0,108.8,0.0,108.8,0.0,0.0,-50.0,84.35,0.0,0.0,0,0.0,0.0,0.946073794,109.05,6.0,0.0,-50.0,-50.0,0.0,0.0,2018/1/2,2018/1/17,-39.22215980147239,-35.25789813441381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
