合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
JM.DCE,20180102,9.235295088733388,1339.5,9.892650824125582,1314.0,11.38678671723504,12.098047125671322,14.92102286338249,1338.0,314832.0,25045423100.0,0,23.5,16.594209118691296,2.551408987,1325.8617880000002,249926.0,0.0,10.16931102008052,12.57507290226404,11.0,10.03698702887916,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37058853386219,1.0
JM.DCE,20180103,13.633395816671523,1352.0,14.30944852681246,1339.5,16.523815299106502,16.772843169097825,17.451331587659794,1352.0,427594.0,34839371500.0,0,26.5,18.258243369617674,2.802690583,1357.961505,287396.0,26.692430416873563,12.10093866600127,18.195845911769453,32.0,26.842071972131336,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,26.692430416873563,27.72975267011357,18.15927419080589,1.0
JM.DCE,20180104,16.024011197911392,1367.0,16.410412023933887,1352.0,17.340114339422826,17.71398289649133,20.075597583909925,1367.0,514264.0,41841150700.0,0,9.5,6.571669147920019,2.736686391,1356.020471,294114.0,7.916284103228733,17.535678670597036,17.94033405387337,-1.5,-1.3393743208045166,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,7.916284103228733,8.16365445082451,6.528211013228493,1.0
JM.DCE,20180105,18.515506494193048,1355.0,18.86499900804462,1367.0,15.699631958693573,15.034643013426162,18.950140941285582,1360.5,396514.0,32133117200.0,0,4.5,2.990861871663931,3.108997805,1350.650805,266936.0,-14.926411162046236,17.288041258895973,16.996238315487105,-5.5,-4.904972181183268,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-14.926411162046236,-16.050048352194374,3.020001447527008,1.0
JM.DCE,20180108,17.44533782789648,1378.5,16.907399698097805,1355.0,19.738418601857006,18.895519489510733,23.981295094786077,1390.5,450368.0,36805273300.0,0,40.0,26.03062992868503,3.307607497,1362.044421,317868.0,33.15558393527486,16.373577567683654,18.957162383573618,11.5,10.209627177478154,2018/1/8,2018/1/8,20.526516254662326,0.0,0.0,0.0,0.0,0.0,33.15558393527486,34.94001866491132,25.65205126207877,1.0
JM.DCE,20180109,22.25165305474694,1382.0,20.692345922623815,1378.5,19.973853090194325,23.57612240696585,23.009574802531645,1384.5,304638.0,25305728800.0,0,22.5,15.068261511398305,1.258540093,1384.469917,298790.0,-9.638320446523231,18.273917547733745,22.558799202105234,22.0,18.824127137882414,2018/1/9,2018/1/9,22.052199298970123,0.0,0.0,0.0,0.0,0.0,-9.638320446523231,-10.71816203206405,15.198133984693072,1.0
JM.DCE,20180110,21.318577637527426,1360.0,21.238456761281796,1382.0,19.26508648982906,19.72779903406216,18.336602870769894,1357.0,398956.0,32733686800.0,0,-27.0,-18.329017612588782,2.672444926,1367.47272,312864.0,12.78982372247782,21.77512493014872,19.793633256092377,-17.0,-14.553003455330582,2018/1/10,2018/1/10,22.216824537482708,0.0,0.0,0.0,0.0,0.0,12.78982372247782,13.278471539632129,-18.74933538946634,-1.0
JM.DCE,20180111,16.863005878612498,1375.0,17.72909392724415,1360.0,18.78852365172395,19.893050731560407,21.7699093178351,1377.0,403728.0,33053535800.0,0,10.0,6.8978853530547894,2.43183493,1364.5133939999998,325660.0,11.955316059113777,19.08572784088085,19.37666037213789,-2.5,-2.216052907489072,2018/1/11,2018/1/11,22.530572806014916,0.0,0.0,0.0,0.0,0.0,11.955316059113777,12.528237459802305,6.827387507814045,1.0
JM.DCE,20180112,20.131741931395638,1344.0,20.141473791476884,1375.0,17.340114339422826,17.03060051575386,16.285659725326553,1345.5,436964.0,35492820800.0,0,-19.0,-13.262167431364858,2.977487291,1353.766016,322378.0,1.1061249350802456,18.680954440730815,17.512590538369537,-11.0,-9.676635783977794,2018/1/12,2018/1/12,22.03638675295781,0.0,0.0,0.0,0.0,0.0,1.1061249350802456,0.9351694419345336,-13.617136520371538,-1.0
JM.DCE,20180115,14.921391972184878,1322.5,15.071211271831217,1344.0,12.672742731126974,12.99623210318628,12.884694220571092,1327.0,366202.0,29228296600.0,0,-26.5,-18.495803010848178,2.675585284,1330.244719,313208.0,-2.931845003566991,16.87362032135829,13.385235970277321,-23.5,-20.112285019687814,2018/1/15,2018/1/15,19.9331336761051,20.50413196575586,0.0,0.0,0.0,0.0,-2.931845003566991,-3.214930252044809,-18.8122048094819,-1.0
JM.DCE,20180116,11.716510554360504,1276.5,11.382174076733278,1322.5,9.914170137050014,4.527966411509851,3.3493405376988648,1277.5,466586.0,36629547100.0,0,-52.5,-33.21550815068211,4.973624717,1308.424281,348808.0,25.69693774170402,12.882821197723061,9.37441889185584,-22.0,-19.2405984248328,2018/1/16,2018/1/16,16.042198281878697,19.45164404396445,0.0,0.0,0.0,0.0,25.69693774170402,25.60100590022614,-34.243115464363825,-1.0
JM.DCE,20180117,2.79810226177284,1281.0,3.1772668948292804,1276.5,2.559020728963688,2.645069465992343,4.625014071174668,1284.0,459268.0,35119235800.0,0,-24.0,-17.710071447236245,2.700587084,1274.46414,315632.0,-18.669841499026884,9.015728845903695,2.9928206075913266,-34.0,-28.521814887305407,2018/1/17,2018/1/17,13.220190766848106,18.265995669886237,0.0,0.0,0.0,0.0,-18.669841499026884,-18.76982013909697,-17.703939177250575,1.0
JM.DCE,20180118,3.987351624856508,1279.0,3.991825823898324,1281.0,2.8279612049766243,4.527966411509851,3.0544166077694257,1276.0,337394.0,25903018600.0,0,2.0,1.3180343696109844,2.024922118,1279.56329,302188.0,-5.846519166229051,2.876468025034974,4.034824139417026,5.5,5.218924379336286,2018/1/18,2018/1/18,9.253034215884803,16.66334885499508,0.0,0.0,0.0,0.0,-5.846519166229051,-5.868436627778209,1.3336504826721978,-1.0
JM.DCE,20180119,2.523266425984069,1289.0,3.629985909644418,1279.0,2.8279612049766243,3.869890327750305,5.310028473149032,1287.5,401706.0,30824248800.0,0,8.0,5.849215165513833,2.311912226,1278.8892369999999,301290.0,2.7401754223184938,3.8781892166669394,3.845553803127089,-1.0,-0.947438519898455,2018/1/19,2018/1/19,6.878598261663946,15.356539456667306,0.0,0.0,0.0,0.0,2.7401754223184938,2.679729251059257,5.822522654246853,1.0
