合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
L.DCE,20180102,25.397450294107415,9960.0,25.838188237125408,9810.0,35.15283436311712,28.45843108963693,33.03515875750736,9955.0,816092.0,40761492000.0,0,185.0,31.594745973371246,2.908163265,9989.435505,576250.0,0.0,23.401447095129953,33.42032246307724,215.0,41.130334396712826,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.129925169926025,1.0
L.DCE,20180103,31.86077148499696,10000.0,32.18684896719219,9960.0,31.58444882138889,32.049841436888755,33.773344185374626,9975.0,294862.0,14668857000.0,0,-10.0,-1.3771584181635532,0.954294324,9949.642206,547130.0,-27.51057044973796,32.21555866253527,31.930700176313138,-40.0,-8.205504566236435,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,-27.51057044973796,-28.7530776052707,-1.3687802034643468,1.0
L.DCE,20180104,32.609584119735686,9970.0,33.68391593587987,10000.0,33.071365883781965,31.478907488036683,34.313048343768344,9990.0,398900.0,19892001600.0,0,45.0,8.891027319890888,1.503759399,9973.427726,539944.0,-5.86593224858386,30.731803996388933,32.87128111820989,25.0,7.254046943769666,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-5.86593224858386,-6.257213920925359,8.843382702522248,1.0
L.DCE,20180105,33.15809934833325,9970.0,32.56899934473073,9970.0,32.33780091514136,30.103494538647496,33.773344185374626,9975.0,442418.0,21991241400.0,0,5.0,1.4445061871899725,1.651651652,9941.386381,536522.0,-1.7229336476399695,31.66780762609875,31.73876849318411,-30.0,-5.863792579901705,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-1.7229336476399695,-1.8834843892488493,1.4393970124640703,1.0
L.DCE,20180108,32.609584119735686,9990.0,32.56899934473073,9970.0,32.70706180217823,33.15809934833325,33.2216944884572,9960.0,256472.0,12789828000.0,0,20.0,4.258005066682088,0.9523809520000001,9973.664181999999,527394.0,-7.98147930971426,30.541157491279463,32.87128111820989,30.0,8.434064919648108,2018/1/8,2018/1/8,32.52361636410505,0.0,0.0,0.0,0.0,0.0,-7.98147930971426,-8.453310454126012,4.246059374031589,1.0
L.DCE,20180109,32.049841436888755,9950.0,33.317540471603735,9990.0,31.58444882138889,31.86077148499696,32.08262657955923,9930.0,221002.0,10979155500.0,0,-40.0,-6.988623980076589,1.004016064,9935.797414,530742.0,5.745540403801762,31.66780762609875,31.545568751137452,-35.0,-7.044823119544539,2018/1/9,2018/1/9,32.3898086611034,0.0,0.0,0.0,0.0,0.0,5.745540403801762,5.9651186741014754,-6.984440409987165,1.0
L.DCE,20180110,30.896829712429238,10025.0,31.799459595842066,9950.0,35.645252413694976,33.15809934833325,35.35662374347473,10020.0,500548.0,25113932600.0,0,85.0,16.094692283473236,1.812688822,10034.57515,536404.0,8.265275325025087,30.349367520914754,34.998373585771986,95.0,22.723044628928577,2018/1/10,2018/1/10,32.6118649520709,0.0,0.0,0.0,0.0,0.0,8.265275325025087,8.662258647994726,15.902016193024522,1.0
L.DCE,20180111,34.2213578897004,10060.0,34.57679683644021,10025.0,35.645252413694976,35.568937615290125,37.45462947506934,10085.0,337508.0,16966017500.0,0,55.0,10.668967955205119,1.097804391,10053.69799,564628.0,29.794249942318046,33.796070408798656,35.66648576864462,20.0,6.03088029625313,2018/1/11,2018/1/11,33.04717629612853,0.0,0.0,0.0,0.0,0.0,29.794249942318046,31.22612700046703,10.56334801199256,1.0
L.DCE,20180112,36.370603389748666,10160.0,35.77152585524914,10060.0,37.355732755948395,36.68257261782408,39.33319829456437,10150.0,419740.0,21208769400.0,0,100.0,18.395171258503936,1.289043133,10105.669890000001,616584.0,43.21958912475327,34.468211309823886,37.39895428247431,55.0,14.051435819131186,2018/1/12,2018/1/12,33.800275398309765,0.0,0.0,0.0,0.0,0.0,43.21958912475327,44.486931929166005,18.22125286295889,1.0
L.DCE,20180115,38.310399844828254,10115.0,38.8333316016854,10160.0,37.79651121030723,38.310399844828254,38.34855158575192,10115.0,266106.0,13470041600.0,0,10.0,2.3524187512440804,0.886699507,10123.81652,588744.0,-26.432217341855246,36.220459947454714,37.84498755931014,15.0,4.82610148498329,2018/1/15,2018/1/15,34.47510657045379,34.40737491435466,0.0,0.0,0.0,0.0,-26.432217341855246,-27.991524738952613,2.348686784310651,1.0
L.DCE,20180116,37.291678429257914,9885.0,37.519383622334715,10115.0,36.75095007905614,29.08437971483974,29.87141250749876,9875.0,608812.0,30309490100.0,0,-245.0,-36.98828848298056,3.163618389,9956.929266,506848.0,-48.676228090471696,36.67397370974946,32.31075246350828,-165.0,-32.7110381372339,2018/1/16,2018/1/16,34.186360921613584,34.188429990926124,0.0,0.0,0.0,0.0,-48.676228090471696,-48.97077006254174,-37.471700803287746,-1.0
L.DCE,20180117,28.66827865802206,9835.0,29.154912843541908,9885.0,28.164998463862105,28.45843108963693,27.50421442271505,9820.0,215858.0,10639409600.0,0,-135.0,-23.562290051111933,1.012658228,9857.785767,475982.0,-28.93539063472041,31.1096574489941,28.28392829186417,-100.0,-21.51190740367623,2018/1/17,2018/1/17,33.13267594327661,33.748646752808455,0.0,0.0,0.0,0.0,-28.93539063472041,-29.810582139981058,-23.598886813010544,-1.0
L.DCE,20180118,26.295101519530462,9805.0,26.974501777586724,9835.0,26.875930365303887,28.035162169340524,27.725725782451434,9825.0,189352.0,9319732700.0,0,-30.0,-5.207647098733091,0.8146639509999999,9843.817546,466746.0,-8.098515092280486,27.127597694530465,27.637270756240056,-15.0,-2.335306186107168,2018/1/18,2018/1/18,31.76607123379806,33.2780487199726,0.0,0.0,0.0,0.0,-8.098515092280486,-8.433761879624683,-5.1851380800096365,1.0
L.DCE,20180119,26.516668775286362,9875.0,25.607326519117606,9805.0,27.525705423016973,27.174452115661055,29.452478326327622,9865.0,253472.0,12459842600.0,0,25.0,5.262482309524771,1.170483461,9831.336479000001,474582.0,10.60221851198849,26.49210685711651,27.200150999238048,-10.0,-1.1294424062091437,2018/1/19,2018/1/19,30.30940583977737,32.96464315785927,0.0,0.0,0.0,0.0,10.60221851198849,10.991558236805652,5.221917637217807,1.0
L.DCE,20180122,28.24739085803654,9905.0,28.728841404564903,9875.0,29.41166335948408,30.502615433051048,30.490125205923107,9890.0,203262.0,10059585400.0,0,60.0,11.736953545426267,0.810947795,9898.146628,477416.0,5.182296456106627,26.063085913354996,29.954580673955036,65.0,16.567890735102253,2018/1/22,2018/1/22,29.102041805553327,32.76458565600065,0.0,0.0,0.0,0.0,5.182296456106627,5.361754478059368,11.663722085334769,1.0
L.DCE,20180123,29.290625524559587,9940.0,29.99180113684112,9905.0,30.615091913701846,28.66827865802206,33.40690438933136,9965.0,321858.0,15932297400.0,0,70.0,13.509735403852574,1.567239636,9900.202822,501806.0,26.668818254972493,28.77420285569883,30.157843778694044,5.0,2.4997838760155133,2018/1/23,2018/1/23,29.650541804958806,32.86176094940896,0.0,0.0,0.0,0.0,26.668818254972493,27.770366077125686,13.363894661399613,1.0
L.DCE,20180124,32.237667822160205,9950.0,31.406844951581363,9940.0,31.393030246198478,30.896829712429238,30.490125205923107,9890.0,334890.0,16611086800.0,0,-10.0,-1.3752692243823716,1.204214752,9920.324166,482268.0,-18.79589503137883,28.975041953435948,30.958380988358215,20.0,6.092642406185135,2018/1/24,2018/1/24,30.107021091165123,32.50293450541177,0.0,0.0,0.0,0.0,-18.79589503137883,-19.606767616639466,-1.3848639420167785,-1.0
L.DCE,20180125,29.290625524559587,9915.0,31.799459595842066,9950.0,33.60851254478246,32.97651020966153,32.658113225522584,9945.0,364720.0,18214018800.0,0,25.0,5.231393786501457,1.263902932,9987.946259999999,480178.0,-0.2500010128095056,29.76716190363568,33.42032246307724,65.0,16.437159174090993,2018/1/25,2018/1/25,30.84741878270063,32.14463875797529,0.0,0.0,0.0,0.0,-0.2500010128095056,-0.32463201664329233,5.1841648143185495,1.0
L.DCE,20180126,31.478907488036683,10010.0,30.40256022605716,9915.0,32.889833951889685,31.670459583256402,35.01407016943955,10010.0,271810.0,13546390000.0,0,25.0,5.205403059887381,1.407742584,9967.543505,490872.0,13.616037004269174,32.21555866253527,32.68571325917871,-20.0,-3.479903159396855,2018/1/26,2018/1/26,31.661712448398774,31.818078882145116,0.0,0.0,0.0,0.0,13.616037004269174,14.289321883038653,5.153931589634674,1.0
L.DCE,20180129,33.871946229272694,9950.0,34.04502177882611,10010.0,34.1344746068543,34.2213578897004,33.40690438933136,9965.0,226256.0,11315316000.0,0,0.0,0.5062568944386356,1.048951049,10002.22403,467360.0,-22.583557736697525,31.48291079370928,33.95785598118522,35.0,9.583127912108417,2018/1/29,2018/1/29,32.080007992985486,31.439900921933244,37.87823052915715,0.0,0.0,0.0,-22.583557736697525,-23.675771742274502,0.5034433171108645,-1.0
L.DCE,20180130,32.237667822160205,9800.0,31.799459595842066,9950.0,31.20038312019426,28.66827865802206,28.382749986950913,9840.0,323186.0,15998411600.0,0,-160.0,-27.096550275918354,1.7059708980000001,9900.436034,467142.0,1.8201837920938289,32.75287105856917,30.157843778694044,-100.0,-21.420056032767594,2018/1/30,2018/1/30,31.355737418167976,31.325025568755763,37.70187660532815,0.0,0.0,0.0,1.8201837920938289,1.8523157013342058,-27.29723746655069,-1.0
L.DCE,20180131,27.174452115661055,9805.0,25.37527982000485,9800.0,25.093003921572006,25.84854076737672,26.37811831192664,9795.0,255410.0,12507917200.0,0,-105.0,-18.753908073076488,0.9146341459999999,9794.383305,442584.0,-23.541390689468784,28.975041953435948,25.40445591330787,-110.0,-23.635950437857016,2018/1/31,2018/1/31,30.74966543580213,31.23783659748169,37.41786576985831,0.0,0.0,0.0,-23.541390689468784,-24.269603395524985,-18.767572411235108,-1.0
L.DCE,20180201,25.17022143816638,9770.0,25.607326519117606,9805.0,24.865106807411763,23.54879385289604,22.82097130827809,9720.0,243588.0,11873114000.0,0,-70.0,-12.673971620566718,1.378254211,9748.521273999999,429582.0,-12.12783192868352,24.30502240497472,23.296928527502317,-45.0,-9.57946438280024,2018/2/1,2018/2/1,29.25165416633078,30.855156308833926,36.967495419380356,0.0,0.0,0.0,-12.12783192868352,-12.451392243608254,-12.724182915584912,-1.0
L.DCE,20180202,21.63195166832432,9640.0,23.958497123007234,9770.0,22.046700489648202,21.38774781640477,19.7951728521423,9660.0,200996.0,9766430800.0,0,-85.0,-15.48179959938215,1.234567901,9718.034986,427718.0,0.0,22.24977823931512,21.84293136356159,-30.0,-6.027739906549876,2018/2/2,2018/2/2,26.803095682349536,30.087819554499447,36.40482232404622,0.0,0.0,0.0,0.0,0.0,-15.518316771203764,-1.0
L.DCE,20180205,18.63786831737646,9670.0,17.37112948401807,9640.0,19.83682788358071,19.39907335440145,22.57468822499264,9715.0,249374.0,12066302200.0,0,0.0,0.5062568944386356,1.19047619,9677.273653,427032.0,1.3028794652841427,20.836382048448925,19.846821245303374,-40.0,-8.465370345412282,2018/2/5,2018/2/5,24.966606004351164,29.44527709822566,35.96523510097259,0.0,0.0,0.0,1.3028794652841427,1.3247609579721455,0.5034433171108645,1.0
L.DCE,20180206,21.38774781640477,9645.0,18.951107114295326,9670.0,18.57612772068569,17.351508326042506,17.163935671811473,9610.0,281534.0,13566757600.0,0,-65.0,-11.859960883999598,1.338136902,9637.740095000001,411502.0,-14.763284128987216,18.901333334180322,17.789414439303357,-40.0,-8.505070210656932,2018/2/6,2018/2/6,22.986255528554423,28.088817029826984,35.33320361437566,0.0,0.0,0.0,-14.763284128987216,-14.962631743691304,-11.945768094119543,-1.0
L.DCE,20180207,16.04417571732452,9555.0,17.63673506791538,9645.0,16.513671227635925,17.09167665080878,15.814560629960482,9585.0,196988.0,9468418000.0,0,-50.0,-9.16814131933397,0.98855359,9613.192681999999,420834.0,12.18898864778506,16.912561195912076,16.474732474473498,-25.0,-4.88408208578349,2018/2/7,2018/2/7,21.05255584442189,26.820156051761316,34.476821084132496,0.0,0.0,0.0,12.18898864778506,12.349176623036264,-9.158066737082187,-1.0
L.DCE,20180208,14.717246434912894,9550.0,12.730473070880997,9555.0,13.055865981823636,11.736254447732243,14.168372421237521,9555.0,336400.0,16045726600.0,0,-55.0,-10.142229526439216,1.356285863,9539.670987000001,408152.0,-11.789873175908518,15.644414480013609,12.413674271419204,-75.0,-16.798704317016394,2018/2/8,2018/2/8,19.42178121682187,25.165100741453017,33.414093883350375,0.0,0.0,0.0,-11.789873175908518,-11.872032044418923,-10.136418046629316,-1.0
L.DCE,20180209,13.101106716958753,9500.0,12.450838933967276,9550.0,12.785019225416427,12.829392182957875,11.649809291706795,9510.0,221408.0,10566861800.0,0,-25.0,-4.391223986373852,1.098901099,9545.149045999999,396434.0,-10.766427582406862,11.73816066894571,12.964342254071624,10.0,3.792591170429219,2018/2/9,2018/2/9,17.850506100662585,22.986848699411652,32.09095707710594,0.0,0.0,0.0,-10.766427582406862,-10.780555595108233,-4.397756899515606,-1.0
L.DCE,20180212,10.633685006142215,9450.0,9.620739212460968,9500.0,9.210955582603056,9.243490207875183,7.63609767108462,9440.0,225278.0,10680614600.0,0,-105.0,-19.367405154140627,1.104100946,9482.163904000001,408924.0,15.469030312505566,12.266971847015704,9.342474460206063,-65.0,-14.612211146756728,2018/2/12,2018/2/12,14.885876964777651,20.478270698022143,30.547587724374154,41.116554422785995,0.0,0.0,15.469030312505566,15.468539475184826,-19.432486233476798,-1.0
L.DCE,20180213,6.712714370094552,9435.0,6.739335995893015,9450.0,5.558504616400008,7.841555087765606,6.472620196945222,9420.0,127712.0,6022078600.0,0,-60.0,-11.258770922593634,0.688559322,9430.716926000001,385148.0,-22.826912589958827,8.792955212905738,6.499129175052673,-50.0,-11.141814183156896,2018/2/13,2018/2/13,12.70572692515195,18.264733219927038,29.31909638186086,40.36061798966625,0.0,0.0,-22.826912589958827,-22.679209831344572,-11.240507695553717,-1.0
L.DCE,20180214,5.578368646852873,9555.0,5.867135491489037,9435.0,10.043773409295689,9.801072343098518,13.055865981823636,9535.0,185858.0,8837114200.0,0,105.0,20.423865160631422,1.167728238,9509.5333,379152.0,-4.560864138941497,6.07132386257495,10.746856572622029,75.0,19.43515648919474,2018/2/14,2018/2/14,12.136179178052274,16.88544431721654,28.538108405122856,39.73898685161697,0.0,0.0,-4.560864138941497,-4.565527859515953,20.13190399318377,1.0
L.DCE,20180222,12.010455396675837,9560.0,12.730473070880997,9555.0,14.66694458181675,14.181309615750564,12.214192271160343,9520.0,181236.0,8674099400.0,0,15.0,3.45196610490963,1.206082853,9572.159394,382004.0,5.202039294105795,10.13891698339976,14.329220237882524,65.0,17.058774443609437,2018/2/22,2018/2/22,11.73111863726308,15.770553018266682,27.680872416142137,39.04432846582144,0.0,0.0,5.202039294105795,5.26018239309667,3.442174982804623,1.0
L.DCE,20180223,11.186096756617594,9610.0,13.009437875130615,9560.0,13.326066328996355,16.04417571732452,16.08612632496495,9590.0,173832.0,8325462100.0,0,20.0,4.436635695985522,0.5777310920000001,9578.74511,394386.0,15.358592294394441,13.5787811365526,14.600072722951495,5.0,2.540652986766645,2018/2/23,2018/2/23,12.648752793031157,15.377361544359346,26.92680552005065,38.46449299698446,0.0,0.0,15.358592294394441,15.558916410435046,4.389917924466694,1.0
L.DCE,20180226,14.98413153547942,9565.0,15.759345224631062,9610.0,16.513671227635925,15.780312274909434,14.720215836366151,9565.0,265180.0,12730602800.0,0,-10.0,-1.4488080569040775,1.251303441,9601.480353,410284.0,18.88217423655108,13.839300860289619,15.943040192373005,25.0,7.481893547255716,2018/2/26,2018/2/26,14.099123368255277,14.539270905888174,26.019126393196117,37.83497000022594,0.0,0.0,18.88217423655108,19.076895094639283,-1.448994353409347,-1.0
L.DCE,20180227,13.6425639146781,9465.0,13.287719791726992,9565.0,12.513538464175156,9.243490207875183,10.228239433051556,9485.0,343036.0,16293842800.0,0,-115.0,-20.968000043849962,1.725039205,9499.785912000001,431542.0,23.92834789124312,15.132082906126215,10.186670532447138,-105.0,-23.2955774737441,2018/2/27,2018/2/27,14.860019104866538,13.793302351917333,24.650395025680822,37.060736355941586,0.0,0.0,23.92834789124312,23.994774073263756,-21.05656013838721,-1.0
L.DCE,20180228,9.243490207875183,9465.0,7.60826495214382,9465.0,8.932402049641212,11.461463906121793,10.228239433051556,9485.0,187466.0,8901130700.0,0,-10.0,-1.4704400296047666,0.6325777539999999,9496.261402,424874.0,-5.298541196811904,9.601881978956392,10.186670532447138,0.0,1.2953491571853206,2018/2/28,2018/2/28,14.287671382242578,13.188616803498519,23.421107997612523,36.12909891774518,0.0,0.0,-5.298541196811904,-5.26973180165632,-1.4654537472473947,1.0
L.DCE,20180301,9.243490207875183,9670.0,7.60826495214382,9465.0,18.57612772068569,10.910166070987401,20.820490883109898,9680.0,497622.0,23900472400.0,0,185.0,32.36842887222696,2.635740643,9605.874499,462932.0,36.58479526628,9.601881978956392,16.20929059323022,110.0,26.591570724429815,2018/3/1,2018/3/1,16.019154249951768,13.908283792475352,22.689190824382734,35.48783087583024,0.0,0.0,36.58479526628,37.10877393627011,31.790558608262273,1.0
L.DCE,20180302,19.65097973035735,9635.0,18.951107114295326,9670.0,16.774385311603737,19.39907335440145,17.963080909872957,9625.0,218166.0,10517359400.0,0,20.0,4.371916393164632,0.568181818,9641.6118,436008.0,-25.643342271754456,15.38860077114623,18.04976715781757,35.0,9.887873099086455,2018/3/2,2018/3/2,16.39247813806844,14.586772317916328,21.61767647889559,34.635129357539924,0.0,0.0,-25.643342271754456,-25.994983083840335,4.375838555373726,-1.0
L.DCE,20180305,16.83101660033458,9560.0,17.10463998997301,9635.0,17.034290123261655,15.5156760961316,13.335061730683925,9540.0,289782.0,13908056200.0,0,-100.0,-18.284621805445273,1.4025974030000001,9598.978681,428236.0,-6.506352777247038,17.163935671811473,15.675992934325876,-45.0,-9.745112925172492,2018/3/5,2018/3/5,16.117126608989537,15.195296322886392,20.331107930516737,33.59572616285273,47.19330788606665,0.0,-6.506352777247038,-6.5289975734019166,-18.372817912439615,-1.0
L.DCE,20180306,12.28405385700362,9530.0,13.009437875130615,9560.0,11.968725014430412,12.010455396675837,13.055865981823636,9535.0,328454.0,15653866600.0,0,-60.0,-11.138791201473666,1.100628931,9531.847138,421374.0,-5.511172448633609,14.874871351039971,12.137381283588212,-65.0,-14.53324212078774,2018/3/6,2018/3/6,16.67829164912783,15.893393522124157,19.331058509372866,32.871922278454974,46.9258696612913,0.0,-5.511172448633609,-5.52244671633288,-11.102683844772194,1.0
L.DCE,20180307,12.010455396675837,9470.0,11.325883810767593,9530.0,10.043773409295689,7.841555087765606,9.368597125459345,9470.0,388898.0,18411841400.0,0,-60.0,-11.144732928908077,1.5207131619999998,9468.725167,404336.0,-16.303190598717357,11.47292511447229,8.493913776503504,-65.0,-14.636051100899373,2018/3/7,2018/3/7,16.50807621779549,15.503041763574956,18.204152879018096,32.06877130603543,46.57091301734745,0.0,-16.303190598717357,-16.267120881358466,-11.180190297766522,-1.0
L.DCE,20180308,8.403628259888137,9310.0,7.897109577184565,9470.0,6.688881604096451,1.2913141854782637,-0.2955100978705829,9305.0,353064.0,16563483600.0,0,-160.0,-28.2739813172177,2.1119324180000003,9382.708857,437644.0,33.52858824081325,7.980274869163615,3.6217586696894344,-85.0,-19.311935844278565,2018/3/8,2018/3/8,12.228095537781805,14.166581679622041,16.645392556208066,30.78210813990306,46.01044953369613,0.0,33.52858824081325,33.15539675526851,-28.594868652712762,-1.0
L.DCE,20180309,-1.0044247823231771,9365.0,-1.4717777236636849,9310.0,-0.4289619278461032,-0.1435041079370052,-0.2955100978705829,9305.0,281654.0,13119875200.0,0,-75.0,-14.288390854060879,1.074691026,9316.306674,403534.0,-31.43745398205259,3.320675185262232,-0.14506960043328831,-65.0,-14.878316439232371,2018/3/9,2018/3/9,8.39977313864155,12.390116780115164,15.266794729284584,29.356029547640688,45.3881604487339,0.0,-31.43745398205259,-30.968046391271365,-14.235218759479402,1.0
L.DCE,20180312,-1.0044247823231771,9170.0,1.7659569618486586,9365.0,0.1429897585021891,-7.2778796418479885,-8.792955212905738,9160.0,463248.0,21377005000.0,0,-155.0,-27.944033040332585,2.5255239119999997,9229.183936,420668.0,20.082879774727417,-0.2770410235455074,-5.351436485794267,-90.0,-20.728492298020136,2018/3/12,2018/3/12,3.6544588576123544,9.794633507991904,13.07402904766375,27.37981056322994,44.515932993603755,0.0,20.082879774727417,19.57901776840913,-28.219567779522535,-1.0
L.DCE,20180313,-9.243490207875176,9205.0,-9.620739212460968,9170.0,-8.094088512469725,-6.7127143700945595,-6.7640563759032375,9195.0,186746.0,8584100000.0,0,-30.0,-5.616614483599577,0.873362445,9193.342829000001,395472.0,-24.117139415596643,-5.248588283443333,-7.356373537672042,-35.0,-7.709764063533996,2018/3/13,2018/3/13,-0.6426121867821166,7.890947355649246,11.371794467192274,25.252791025803162,43.598037825364884,0.0,-24.117139415596643,-23.424725745212417,-5.5723425526824215,1.0
L.DCE,20180314,-7.2778796418479885,9330.0,-7.60826495214382,9205.0,-0.14298975850218199,-5.009417391856502,2.362719477014487,9350.0,400000.0,18590169400.0,0,160.0,29.690359893193133,2.066340402,9295.0847,380922.0,-13.749219481906636,-7.164177803257296,-1.3053962477422658,105.0,26.297848705071857,2018/3/14,2018/3/14,-2.1623157109502884,7.003178693662839,10.40489099066508,23.70215294639526,42.728238820364695,0.0,-13.749219481906636,-13.519894297975512,29.212240389141215,1.0
L.DCE,20180315,1.5781367780947093,9330.0,-0.29441967453870177,9330.0,-0.14298975850218199,0.7174834046568037,1.18187826722599,9330.0,243382.0,11346942100.0,0,35.0,7.481433102065708,0.962566845,9324.388903000001,383460.0,4.857455903567086,-1.384937958051765,0.14506960043328831,25.0,7.666193115603825,2018/3/15,2018/3/15,-1.8420302286061982,4.772050789759142,9.465315421235843,21.90985480773938,41.670587486939525,0.0,4.857455903567086,4.857890097996062,7.466174101936694,-1.0
L.DCE,20180316,0.4305048965747247,9270.0,-0.29441967453870177,9330.0,-1.2866874272858766,-2.1515222417503495,-2.9524277767396896,9260.0,276574.0,12820510900.0,0,-60.0,-11.39359074085187,1.286173633,9270.944413,385894.0,4.74324433270553,0.0,-2.754137138400367,-50.0,-11.349245777984315,2018/3/16,2018/3/16,-2.4179286202634245,2.3793366004887986,8.402313319692148,19.67241718374507,40.29627810365561,0.0,4.74324433270553,4.725589852480368,-11.437710309868407,-1.0
L.DCE,20180319,-3.5827807612685874,9345.0,-3.8216268150126425,9270.0,1.2866874272858837,-2.1515222417503495,2.0676630357758015,9345.0,365010.0,17047877300.0,0,75.0,15.298792495321464,1.781857451,9341.046710999999,403498.0,20.533875870738854,-2.76820736327322,1.3053962477422658,70.0,18.586759303052403,2018/3/19,2018/3/19,-0.061943412408211884,1.086234453605904,7.9952768697446714,17.767707097260285,38.99020792672904,0.0,20.533875870738854,20.349347212796175,15.113165565776868,1.0
L.DCE,20180320,1.2913141854782637,9350.0,0.5888233138752312,9345.0,-0.14298975850218199,-5.578368646852873,0.2955100978705758,9315.0,418688.0,19394048600.0,0,-25.0,-4.500794717990544,2.140181915,9264.200837,414786.0,14.232672322154073,1.1080305056479958,-3.3327222895205963,-80.0,-18.434327449629272,2018/3/20,2018/3/20,1.4701132381470075,-0.37951427099415724,7.542747193268838,16.019868609193708,37.83573670324276,0.0,14.232672322154073,14.08162393788497,-4.499906223283986,-1.0
L.DCE,20180321,-0.4305048965747318,9330.0,0.8831948854273861,9350.0,-0.14298975850218199,-1.2913141854782637,-2.0676630357758086,9275.0,243028.0,11310897400.0,0,15.0,3.5213727450842356,1.341921632,9308.308014,390944.0,-22.88758287858146,-3.320675185262232,-0.7253096385461646,45.0,12.671463606563371,2018/3/21,2018/3/21,0.5087483615032511,-1.6927904640489402,6.430724079960136,14.213916500845826,36.59891024394064,0.0,-22.88758287858146,-22.402364837579146,3.5196184964986017,-1.0
L.DCE,20180322,-2.724462733825277,9215.0,-0.29441967453870177,9330.0,2.4293277802120627,0.14350410793699808,-2.362719477014487,9270.0,289602.0,13526245600.0,0,-35.0,-6.5404754236437626,1.5633423180000001,9341.265323,391278.0,2.429937241723991,-0.8310696325171918,1.3053962477422658,35.0,10.159333828081905,2018/3/22,2018/3/22,-0.2606464928662362,-1.9300228879214458,5.35404877765108,12.58791225894793,35.25449410764317,0.0,2.429937241723991,2.4637305768670217,-6.519446614415514,1.0
L.DCE,20180323,-3.010729176672264,9205.0,-7.029362933532404,9215.0,-7.813812003044781,-10.910166070987401,-8.504414901202914,9165.0,444560.0,20323583700.0,0,-175.0,-30.91242735717539,1.725997843,9143.235423999999,361350.0,-28.176623018979125,1.1080305056479958,-10.186670532447138,-200.0,-39.40595960976235,2018/3/23,2018/3/23,-1.4654644439004585,-2.8713183692142508,3.529181904075571,10.733764234266495,33.43364510142453,0.0,-28.176623018979125,-27.352205275769276,-31.094063333068338,-1.0
L.DCE,20180326,-8.963987692305068,9095.0,-7.60826495214382,9205.0,-8.094088512469725,-12.284053857003627,-14.444672620259809,9060.0,288022.0,13126681000.0,0,-80.0,-15.454087126743268,1.963993453,9115.054406000001,359318.0,-0.18584200505971893,-9.870632568292372,-11.582943235175655,-25.0,-5.216729773549716,2018/3/26,2018/3/26,-5.036600747491356,-3.518488006502139,1.3554983374784442,8.271677638942656,31.09796516138519,0.0,-0.18584200505971893,-0.04716006788109439,-15.5715077438198,-1.0
L.DCE,20180327,-14.717246434912887,9145.0,-13.842181281311781,9095.0,-10.596482330548781,-11.186096756617594,-7.925970943910308,9175.0,253374.0,11572481200.0,0,60.0,12.70239134002049,1.269315673,9134.703008,340802.0,-17.786420590358382,-11.207151792938213,-10.746856572622029,15.0,5.207796695233149,2018/3/27,2018/3/27,-6.801370185866126,-3.651427487313775,0.0,6.583714964840063,28.779356874830484,0.0,-17.786420590358382,-17.175211872931186,12.505930929467993,1.0
L.DCE,20180328,-8.403628259888137,9145.0,-11.043109958524767,9145.0,-7.813812003044781,-8.684029119999934,-9.942221161473583,9140.0,239690.0,10988287200.0,0,10.0,2.5483778255264795,1.307901907,9168.748967,335634.0,-3.649799633898631,-10.40672311761044,-8.77722875100001,35.0,10.325682203382279,2018/3/28,2018/3/28,-8.479086119398069,-5.056496648566558,-1.5059752852751345,4.838337170164529,26.358062025053727,0.0,-3.649799633898631,-3.410557402526983,2.5452988299256774,-1.0
