合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
NI,20180102,-15.395794985538224,98750.0,-15.157420614624002,96880.0,-11.171597399090125,-12.932284654849234,-10.099793564811556,98080.0,99170.0,98750.0,2290,1870.0,22.21504979927714,0.0,529614.0,23354.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.899217668465695,1.0
NI,20180103,-10.470013628836284,99150.0,-11.208344784482591,98750.0,-9.53797871670978,-11.46811222147091,-9.766355614689402,98260.0,98620.0,99150.0,-130,400.0,5.10609694529861,0.0,515014.0,-14600.0,-22.01133302002487,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-22.01133302002487,-20.61187725667763,5.130051935860081,1.0
NI,20180104,-11.66665713767329,98100.0,-10.34671911678737,99150.0,-11.784241761030671,-13.700068618037506,-11.700629882940781,97210.0,99180.0,98100.0,30,-1050.0,-12.352035431675453,0.0,514988.0,-26.0,9.160057442763438,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.160057442763438,8.45175381196561,-12.485411488911204,-1.0
NI,20180105,-10.448161025207398,98820.0,-12.596616642967895,98100.0,-10.097827878068863,-12.44618686937762,-10.487873448741261,97870.0,98580.0,98820.0,480,720.0,8.928672736451318,0.0,499422.0,-15566.0,-9.308200393971418,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.308200393971418,-8.622203103046822,9.008079020236018,-1.0
NI,20180108,-11.75326829086648,98030.0,-11.057944896464491,98820.0,-12.472400531318556,-15.079298133262306,-12.084176323685483,97000.0,98490.0,98030.0,-330,-790.0,-9.299919960842459,0.0,477646.0,-21776.0,-3.615371425080511,0.0,0.0,0.0,0.0,0,0,-11.299777243031002,0.0,0.0,0.0,0.0,0.0,-3.615371425080511,-3.3066084385381274,-9.419851388416255,-1.0
NI,20180109,-11.947927947760142,99140.0,-12.745188712832501,98030.0,-12.492005178730118,-12.1305912943468,-9.988728145392564,98140.0,99380.0,99140.0,1350,1110.0,13.561400171073423,0.0,504024.0,26378.0,27.414735160786833,0.0,0.0,0.0,0.0,0,0,-11.27530092123267,0.0,0.0,0.0,0.0,0.0,27.414735160786833,25.781850558731364,13.556860601142994,1.0
NI,20180110,-10.010427729164903,100340.0,-10.368323388225427,99140.0,-10.695366767453123,-8.786422488402856,-8.556515182055875,98910.0,100420.0,100340.0,1280,1200.0,14.469851054865131,0.0,532080.0,28056.0,1.2610277843564504,0.0,0.0,0.0,0.0,0,0,-11.008390831485428,0.0,0.0,0.0,0.0,0.0,1.2610277843564504,1.1897733729604454,14.481232183717609,1.0
NI,20180111,-7.715083529988775,101350.0,-7.75492513359567,100340.0,-5.120858733430879,-4.390313037555977,-5.16703360590153,100710.0,101430.0,101350.0,1090,1010.0,12.178276837258075,0.0,535222.0,3142.0,-14.835933067536224,0.0,0.0,0.0,0.0,0,0,-9.558292296324531,0.0,0.0,0.0,0.0,0.0,-14.835933067536224,-14.166852285710618,12.099764521051185,1.0
NI,20180112,-5.46051267651292,99790.0,-5.528024080988679,101350.0,-6.650582985096534,-7.01425746193447,-9.134604308532488,98600.0,99570.0,99790.0,-1780,-1560.0,-17.63781510876934,0.0,481772.0,-53450.0,-30.847785453283027,0.0,0.0,0.0,0.0,0,0,-9.256220207322862,0.0,0.0,0.0,0.0,0.0,-30.847785453283027,-29.211634369470453,-18.05398426478281,-1.0
NI,20180115,-9.593411757247686,99550.0,-8.957715541078962,99790.0,-10.675488498017607,-9.490513299959375,-9.320667958717706,98500.0,100210.0,99550.0,420,-240.0,-2.6368751350538204,0.0,500056.0,18284.0,36.82935002285966,0.0,0.0,0.0,0.0,0,0,-8.637665323688239,-8.93773118004485,0.0,0.0,0.0,0.0,36.82935002285966,35.14920738015796,-2.6600584660761015,1.0
NI,20180116,-8.180951152281935,99190.0,-9.480010750171566,99550.0,-8.472989786761119,-10.016586015207096,-10.764440251137508,97720.0,97810.0,99190.0,-1740,-360.0,-4.055124877094492,0.0,481932.0,-18124.0,-21.1985960703993,0.0,0.0,0.0,0.0,0,0,-8.811516203799684,-9.012829600384535,0.0,0.0,0.0,0.0,-21.1985960703993,-19.738407449211582,-4.150961303131645,-1.0
NI,20180117,-13.40860510259062,97200.0,-10.260270323511946,99190.0,-15.10711664669465,-17.124495858647435,-13.191436226156462,96390.0,96950.0,97200.0,-2240,-1990.0,-22.82280833456154,0.0,470912.0,-11020.0,4.6088750416992,0.0,0.0,0.0,0.0,0,0,-9.84657073417101,-9.399299648930302,0.0,0.0,0.0,0.0,4.6088750416992,4.220682250439026,-23.04779063197412,1.0
NI,20180118,-15.228222469116858,97020.0,-14.491834632087631,97200.0,-15.298180008933258,-18.55883351418338,-12.99254415003216,96500.0,96780.0,97020.0,-420,-180.0,-1.9712497804152207,0.0,471862.0,950.0,7.5842790236680315,0.0,0.0,0.0,0.0,0,0,-11.578205687812087,-9.544837805828152,0.0,0.0,0.0,0.0,7.5842790236680315,6.948037007199083,-1.9759321459985841,1.0
NI,20180119,-15.583954188822588,96770.0,-14.866786331965208,97020.0,-14.953989406054845,-17.58745277557643,-14.430786204117815,95700.0,96830.0,96770.0,-190,-250.0,-2.844465691763297,0.0,450508.0,-21354.0,-13.322499446216845,0.0,0.0,0.0,0.0,0,0,-12.737400140717028,-9.98819517864866,0.0,0.0,0.0,0.0,-13.322499446216845,-12.09300696676955,-2.870420899859525,1.0
NI,20180122,-15.479468567942966,98040.0,-15.385154507565481,96770.0,-14.10749897068797,-14.65909630863311,-11.938201323555923,97080.0,98540.0,98040.0,1770,1270.0,15.632829563466473,0.0,460512.0,10004.0,18.864971530261656,0.0,0.0,0.0,0.0,0,0,-13.306150312739732,-9.971803693909195,0.0,0.0,0.0,0.0,18.864971530261656,17.451378665872866,15.538889592330733,1.0
NI,20180123,-11.839820689896818,98480.0,-12.72397568008062,98040.0,-11.803956361122516,-12.101860275652307,-11.88341672280383,97110.0,99720.0,98480.0,1680,440.0,5.621207053741372,0.0,475008.0,14496.0,2.999878805511848,0.0,0.0,0.0,0.0,0,0,-13.548406885418345,-10.18442007904072,0.0,0.0,0.0,0.0,2.999878805511848,2.7706197131553125,5.676930459996186,-1.0
NI,20180124,-9.263414226595742,99150.0,-11.786866498848113,98480.0,-10.715242248393224,-11.958105161591511,-9.747810188379283,98270.0,98640.0,99150.0,160,670.0,8.292839605303968,0.0,473946.0,-1062.0,-9.31903492244296,0.0,0.0,0.0,0.0,0,0,-12.801180135836837,-10.317949463483586,0.0,0.0,0.0,0.0,-9.31903492244296,-8.66786984917384,8.377204531833456,-1.0
NI,20180125,-11.623329655269174,102580.0,-10.34671911678737,99150.0,-9.2171779973975,3.760861175381727,-7.338501231940725,99560.0,104740.0,102580.0,5590,3430.0,35.45423537440935,0.0,585362.0,111416.0,45.9975628733776,0.0,0.0,0.0,0.0,0,0,-11.563916975539819,-10.561032023365172,0.0,0.0,0.0,0.0,45.9975628733776,45.048614167220364,35.14073203883221,1.0
