合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
PB,20180102,-2.6489741072928865,19005.0,-2.4023699214573995,19160.0,-3.1766104677576124,-2.413309282230422,-5.334622546842596,18880.0,19020.0,19005.0,-140,-155.0,-11.190935800280158,0.0,40980.0,674.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.246475034973322,-1.0
PB,20180103,-5.243203094961181,19250.0,-5.254634805025859,19005.0,-3.1766104677576124,1.0060529408644996,-1.668906593233153,19095.0,19310.0,19250.0,305,245.0,17.888770573608426,0.0,42516.0,1536.0,4.788899932943082,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.788899932943082,4.71326042804526,17.65134302286458,1.0
PB,20180104,-0.21728774941521323,19350.0,-0.7395956927780887,19250.0,-0.12389491898238703,3.1159199533100335,0.21402380189910275,19205.0,19405.0,19350.0,155,100.0,7.513866521401589,0.0,43036.0,520.0,-5.473648729033094,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.473648729033094,-5.424747671217212,7.475640946337236,1.0
PB,20180105,1.4337974288283206,19405.0,1.109314103622836,19350.0,0.4542722824233749,4.5180169283845615,2.267441022582375,19325.0,19480.0,19405.0,130,55.0,4.2104506566446815,0.0,42652.0,-384.0,-4.865057328255929,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.865057328255929,-4.852336058360294,4.1829738288705585,1.0
PB,20180108,2.7356916174143038,19445.0,2.1254529295256646,19405.0,0.867197521638964,5.017496382265321,2.609239870811173,19345.0,19405.0,19445.0,0,40.0,3.102379967998317,0.0,41510.0,-1142.0,-4.0700163892407915,0.0,0.0,0.0,0.0,0,0,-0.3149099758497371,0.0,0.0,0.0,0.0,0.0,-4.0700163892407915,-4.064239962883725,3.0899962689276492,-1.0
PB,20180109,1.4337974288283206,19515.0,2.8636339228807515,19445.0,0.3716799772964592,6.212860787957489,2.1819642544198246,19320.0,19620.0,19515.0,175,70.0,5.304049795225353,0.0,40288.0,-1222.0,-0.36167348662255705,0.0,0.0,0.0,0.0,0,0,1.0709038502560446,0.0,0.0,0.0,0.0,0.0,-0.36167348662255705,-0.36412643589000737,5.271116552968046,1.0
PB,20180110,5.157027001185789,19500.0,4.152934958794454,19515.0,3.258938379423185,6.907618825462734,2.694660566660737,19350.0,19415.0,19500.0,-100,-15.0,-0.9097722592248019,0.0,36732.0,-3556.0,-12.50159089227138,0.0,0.0,0.0,0.0,0,0,1.8749180223280177,0.0,0.0,0.0,0.0,0.0,-12.50159089227138,-12.479706775836242,-0.9157744976667459,-1.0
PB,20180111,1.6075020544090677,19405.0,3.8769770706267295,19500.0,1.9402579793730865,3.5169905927821645,2.267441022582375,19325.0,19390.0,19405.0,-110,-95.0,-6.760182938335774,0.0,34752.0,-1980.0,8.644383562710999,0.0,0.0,0.0,0.0,0,0,2.253029073271861,0.0,0.0,0.0,0.0,0.0,8.644383562710999,8.611689157835926,-6.722773195154218,1.0
PB,20180112,1.1731905006888468,19280.0,2.1254529295256646,19405.0,1.9402579793730865,3.01560126042515,-0.21402380189909564,19180.0,19250.0,19280.0,-155,-125.0,-8.930584242227013,0.0,31034.0,-3718.0,-9.359913954306094,0.0,0.0,0.0,0.0,0,0,1.7960760354402439,0.0,0.0,0.0,0.0,0.0,-9.359913954306094,-9.263035056311288,-8.936895978167044,-1.0
PB,20180115,-1.2600655929508235,19165.0,-0.18490885375750565,19280.0,-4.163548474867383,-2.6141413864762555,-3.2069108580233134,19005.0,19185.0,19115.0,-95,-165.0,-11.8541912838553,0.0,29650.0,-1384.0,12.64734356436901,0.0,0.0,0.0,0.0,0,0,0.7242325603239124,0.7105565370817004,0.0,0.0,0.0,0.0,12.64734356436901,12.401498267842904,-11.884134313621942,-1.0
PB,20180116,-1.5206533487661673,19075.0,-2.3100764858108462,19165.0,-2.847166451647851,-1.307773167563333,-6.519862166605819,18810.0,18870.0,19075.0,-295,-90.0,-6.459225642899419,0.0,27980.0,1978.0,17.858164377601554,0.0,0.0,0.0,0.0,0,0,-0.8801423742481518,0.5994394590928351,0.0,0.0,0.0,0.0,17.858164377601554,17.357128770311363,-6.540290962126811,-1.0
