合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RB,20180102,3.7677239501969666,3842.0,3.516489886149479,3794.0,2.2231665638690075,7.73715875721237,4.652836074778342,3794.0,3874.0,3842.0,80,48.0,17.75029539529082,0.0,2413572.0,-110698.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.755723040139387,1.0
RB,20180103,8.859367062436299,3845.0,6.67843439492826,3842.0,6.854139174674621,7.236514154909976,5.303511662361402,3803.0,3809.0,3845.0,-33,3.0,0.14541293713919856,0.0,2433636.0,20064.0,15.38276002913723,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.38276002913723,15.10833559791432,0.15231293252745104,-1.0
RB,20180104,4.729731428631901,3811.0,6.874856874023294,3845.0,2.5096697018734417,5.279189143318774,4.218346353605526,3788.0,3819.0,3811.0,-26,-34.0,-14.418776471104415,0.0,2581090.0,147454.0,14.97367454567069,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.97367454567069,14.647369352483594,-14.52036752674234,-1.0
RB,20180105,5.36956607459598,3791.0,4.639940587208066,3811.0,3.010729176672257,4.43609438334849,2.1848917092332485,3760.0,3798.0,3791.0,-13,-20.0,-9.00592561721703,0.0,2744436.0,163346.0,0.7472039739728871,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472039739728871,0.7643431669963405,-9.154404164219287,-1.0
RB,20180108,4.024498448938864,3772.0,3.317916646438121,3791.0,1.7932009591267288,4.041941848605944,0.2185974159325994,3733.0,3818.0,3772.0,27,-19.0,-8.6549956498989,0.0,2717212.0,-27224.0,-24.49787160419494,0.0,0.0,0.0,0.0,0,0,5.514219680879037,0.0,0.0,0.0,0.0,0.0,-24.49787160419494,-23.60951378118512,-8.810759204619593,-1.0
RB,20180109,5.30564268052369,3824.0,2.058571154531272,3772.0,3.439832625283131,5.335315022312756,5.808616627616658,3810.0,3819.0,3824.0,47,52.0,19.075291730091877,0.0,2564464.0,-152748.0,-17.195714449347655,0.0,0.0,0.0,0.0,0,0,5.744564584247414,0.0,0.0,0.0,0.0,0.0,-17.195714449347655,-16.810106122187015,19.120978014630225,1.0
RB,20180110,5.36956607459598,3833.0,5.496599503548481,3824.0,3.439832625283131,6.734701631921489,4.508065431018636,3792.0,3849.0,3833.0,25,9.0,2.572840463054469,0.0,2676566.0,112102.0,29.833333473138325,0.0,0.0,0.0,0.0,0,0,5.586053990864023,0.0,0.0,0.0,0.0,0.0,29.833333473138325,29.27362029491036,2.586127595857434,-1.0
RB,20180111,7.280047040804824,3850.0,6.088195360126072,3833.0,6.287930880393475,7.18081343635906,6.81591785911926,3824.0,3838.0,3850.0,5,17.0,5.717762582924124,0.0,2597150.0,-79416.0,-24.597665918262802,0.0,0.0,0.0,0.0,0,0,6.1033347994423295,0.0,0.0,0.0,0.0,0.0,-24.597665918262802,-24.18437336351428,5.753004962861908,-1.0
RB,20180112,6.581273397537004,3807.0,7.201847826506423,3850.0,4.867013861149616,5.671842019536811,3.4931007800796934,3778.0,3790.0,3807.0,-60,-43.0,-17.628086368311124,0.0,2733076.0,135926.0,24.959730853789708,0.0,0.0,0.0,0.0,0,0,6.363463297668801,0.0,0.0,0.0,0.0,0.0,24.959730853789708,24.378012355563115,-17.907130724094408,-1.0
RB,20180115,3.510792335727629,3784.0,4.375899349491142,3807.0,1.1478769081824183,3.5345953712352696,1.3841793926110952,3749.0,3802.0,3784.0,-5,-23.0,-10.245314926035462,0.0,2833502.0,100426.0,-5.958274122271838,0.0,0.0,0.0,0.0,0,0,6.595000102999535,7.387565499146696,0.0,0.0,0.0,0.0,-5.958274122271838,-5.705816940662501,-10.37060428478484,-1.0
RB,20180116,4.281105195152335,3814.0,2.854266308845169,3784.0,2.3664334248354777,5.391430215887851,4.218346353605526,3788.0,3790.0,3814.0,6,30.0,10.930403643182295,0.0,2637024.0,-196478.0,-34.3201930933341,0.0,0.0,0.0,0.0,0,0,6.279046515026735,7.340923266364065,0.0,0.0,0.0,0.0,-34.3201930933341,-33.64508353091041,10.971099798361614,-1.0
RB,20180117,3.510792335727629,3816.0,4.837837652972418,3814.0,1.2913141854782637,5.223052689976591,3.8558838543501537,3783.0,3827.0,3816.0,13,2.0,-0.23332585075339551,0.0,2736546.0,99522.0,32.58523969182448,0.0,0.0,0.0,0.0,0,0,6.14935455060143,7.185447475947946,0.0,0.0,0.0,0.0,32.58523969182448,31.94699206313159,-0.2475908133362381,1.0
RB,20180118,5.880437214325141,3843.0,4.969702580209834,3816.0,3.9399448187640616,6.734701631921489,6.168833405885202,3815.0,3859.0,3843.0,43,27.0,9.690883168482756,0.0,2926692.0,190146.0,10.409567823238532,0.0,0.0,0.0,0.0,0,0,6.020610894771728,7.3949039906969105,0.0,0.0,0.0,0.0,10.409567823238532,10.272204013428166,9.7200711629824,1.0
