合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RI.CZC,20180102,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180103,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180104,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180105,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180108,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/8,-42.497245783742315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180109,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/9,-42.497245783742315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180110,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/10,-42.497245783742315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180111,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/11,-42.497245783742315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180112,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/12,-42.497245783742315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
RI.CZC,20180115,-20.760166094855343,2816.0,5.052351916407446,2816,0.0,0.0,-38.581058774325875,2731,0.0,0.0,0,-2769.0,-14.357569514793177,3.64489354,2758.5,2.0,0.0,-12.782071733246724,-12.782071733246724,0.0,0.0,2017/11/14,2018/1/15,-42.497245783742315,-46.01334046944848,0.0,0.0,0.0,0.0,0.0,0.0,-14.357569514793177,-1.0
