合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RM.CZC,20180102,-20.01039821006269,2290.0,-18.932694913935894,2302.0,-20.160551158180667,-20.385184907176413,-20.702538045102457,2288.0,276174.0,6327132300.0,0,-22.0,-15.798623177620605,1.179039301,2290.994916,606340.0,0.0,-18.393748465170322,-20.75421202498368,-19.0,-17.378343667130068,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.80618363905171,-1.0
RM.CZC,20180103,-20.195791968022448,2297.0,-20.06409878265365,2290.0,-20.434523316827235,-19.495436586647475,-20.140831256627884,2294.0,331632.0,7610930100.0,0,3.0,4.278860795846086,0.655594406,2294.992673,608344.0,3.314030715000193,-20.224355535745943,-20.36799137197122,4.0,4.333196521975516,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,3.314030715000193,3.1947469214147617,4.268889147883847,1.0
RM.CZC,20180104,-19.638053875138205,2282.0,-19.406375688876032,2297.0,-20.888555482279237,-20.679099316893257,-21.16684783619318,2283.0,410686.0,9395087800.0,0,-12.0,-7.956878539879256,0.95902354,2287.6571879999997,625648.0,12.953683783596695,-19.84299680134707,-21.042332931697427,-7.0,-6.3618798220566575,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,12.953683783596695,12.196170033274512,-8.000247045680972,-1.0
RM.CZC,20180105,-20.656975427999964,2299.0,-20.807826394515814,2282.0,-20.525589758990602,-21.165927945684466,-20.234788572401243,2293.0,494790.0,11315218600.0,0,5.0,5.917329920407475,1.357862462,2286.8729359999998,614906.0,-4.894104618121375,-20.50892265969859,-21.138076213771818,-1.0,-0.5425815472556295,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-4.894104618121375,-4.49088177488958,5.895148406424134,1.0
RM.CZC,20180108,-19.731333354247333,2285.0,-19.21728666369701,2299.0,-20.61652664325485,-20.286913907387095,-21.443757914998862,2280.0,354590.0,8116515300.0,0,-7.0,-3.909592084959243,0.915830789,2288.985956,612182.0,0.2671295689386852,-20.603499080904808,-20.94644079093729,2.0,2.3905080865051502,2018/1/8,2018/1/8,-23.230649413554406,0.0,0.0,0.0,0.0,0.0,0.2671295689386852,0.35145008557206125,-3.9412685508161047,-1.0
RM.CZC,20180109,-20.93208901748296,2293.0,-20.52993760800703,2285.0,-19.701382242149414,-19.89234739723648,-19.95251315842429,2296.0,495240.0,11390733700.0,0,7.0,7.547876578584436,1.184210526,2300.0431510000003,609004.0,-0.02580981125520765,-20.41420625678293,-19.881954129359446,11.0,11.042520849349678,2018/1/9,2018/1/9,-23.083073971652013,0.0,0.0,0.0,0.0,0.0,-0.02580981125520765,0.06541919648422834,7.503112813447288,1.0
RM.CZC,20180110,-19.451111053097836,2286.0,-19.783002243846543,2293.0,-20.434523316827235,-19.991210254635007,-20.79567710079651,2287.0,383704.0,8795084400.0,0,-13.0,-8.749163567676668,0.871080139,2292.1534309999997,627854.0,13.894181945153761,-19.363233994031503,-20.657876453437733,-8.0,-7.30572336588844,2018/1/10,2018/1/10,-23.21194452902031,0.0,0.0,0.0,0.0,0.0,13.894181945153761,13.097531685045993,-8.786559930341056,-1.0
RM.CZC,20180111,-20.288292568080614,2272.0,-20.43703765120979,2286.0,-21.339304405257863,-21.9368285012,-22.357534867216057,2270.0,454168.0,10331189800.0,0,-22.0,-15.820426102424413,1.311762134,2274.750709,653666.0,18.019153308007944,-20.129222239697054,-22.275198882767906,-17.0,-15.728644495905733,2018/1/11,2018/1/11,-23.445467106907756,0.0,0.0,0.0,0.0,0.0,18.019153308007944,16.88218738446932,-15.937932695369327,-1.0
RM.CZC,20180112,-21.840309354291477,2247.0,-21.72519403468154,2272.0,-23.021271962660794,-23.819288146545826,-24.49033018757841,2246.0,402038.0,9071980300.0,0,-29.0,-21.09824737512447,1.3656387669999999,2256.4982170000003,674188.0,14.901944412310357,-21.727317015656027,-24.029583077220572,-19.0,-17.633749755111396,2018/1/12,2018/1/12,-24.27155565980653,0.0,0.0,0.0,0.0,0.0,14.901944412310357,13.837874476476877,-21.30833927027691,-1.0
RM.CZC,20180115,-23.962495309036186,2271.0,-23.956078685827958,2247.0,-22.583479734855437,-24.003908569282974,-22.357534867216057,2270.0,380952.0,8619577100.0,0,14.0,13.283764785112183,1.691896705,2262.641251,646858.0,-15.220450207780857,-23.463306520350102,-23.389955608034985,7.0,7.335816854469854,2018/1/15,2018/1/15,-24.447180411160712,-28.476118359481102,0.0,0.0,0.0,0.0,-15.220450207780857,-14.049562209433262,13.1586817416147,1.0
