合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
AG,20120510,6082,-11.572345956618813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,20120511,6000,-20.286729587029047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,20120514,5960,-16.791760716222484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AG,20120515,5711,-43.46903349547493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,20120516,5643,-31.351898720586682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.472881776777925,0.0
AG,20120517,5691,14.650274720949286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.87103629783084,1.0
AG,20120518,5768,24.38527746771888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50647809303882,1.0
AG,20120521,5903,30.14733706598662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.41995184904138,1.0
AG,20120522,5882,-8.595457401591567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.71119340964526,0.0
AG,20120523,5759,-31.51710804182325,0.0,0.0,0.0,0.0,0.0,0.0,34.39283723428332,33.922775453304325,0.0
AG,20120524,5766,4.7509348355026555,0.0,0.0,0.0,0.0,0.0,0.0,34.15628826546001,34.05563198353735,1.0
AG,20120525,5804,14.68816697650989,0.0,0.0,0.0,0.0,0.0,0.0,34.00554608816235,34.11619364507709,1.0
AG,20120528,5916,30.31653702451261,0.0,0.0,0.0,0.0,0.0,0.0,33.97268660425186,34.13579585202771,1.0
AG,20120529,5922,-1.0281049059859413,0.0,0.0,0.0,0.0,0.0,0.0,34.14776109352893,34.19641975722787,0.0
AG,20120530,5798,-33.84055315759488,0.0,0.0,0.0,0.0,0.0,0.0,34.28615297212539,34.262052720352074,0.0
AG,20120531,5826,9.127849838113043,0.0,0.0,0.0,0.0,0.0,0.0,34.402367437236435,34.361207249268205,1.0
AG,20120601,5771,-12.820401032981865,0.0,0.0,0.0,0.0,0.0,0.0,34.40491967700896,34.30633121343956,0.0
AG,20120604,5901,36.97012881375422,0.0,0.0,0.0,0.0,0.0,0.0,34.40340285719593,34.283851487326324,1.0
AG,20120605,5921,0.8649212995164391,0.0,0.0,0.0,0.0,0.0,0.0,34.43297718679719,34.28236963969226,1.0
AG,20120606,5991,28.22846740104072,0.0,0.0,0.0,0.0,0.0,35.630055232115005,34.61243332175489,34.573771913852674,1.0
AG,20120607,6110,22.196850416291184,0.0,0.0,0.0,0.0,0.0,35.6388278435157,34.861785839766306,34.969156721535605,1.0
AG,20120608,5905,-40.369753729218395,0.0,0.0,0.0,0.0,0.0,35.60464855451919,34.939998470580676,35.175873224420464,0.0
AG,20120611,6031,30.51821481054009,0.0,0.0,0.0,0.0,0.0,35.62919137959838,35.019688014722384,35.35308618413275,1.0
AG,20120612,5978,-18.432633268006548,0.0,0.0,0.0,0.0,0.0,35.73480135547871,35.05923775239022,35.431507751527306,0.0
AG,20120613,6040,17.572612866271214,0.0,0.0,0.0,0.0,0.0,35.89141392347406,35.23435682038203,35.494666759052954,1.0
AG,20120614,6061,7.896088049147777,0.0,0.0,0.0,0.0,0.0,36.03200366213674,35.39936991123569,35.435666009899336,1.0
AG,20120615,6032,-6.8510861597979025,0.0,0.0,0.0,0.0,0.0,36.12954925880807,35.58824467114124,35.60635932464504,1.0
AG,20120618,6003,-10.530873952851133,0.0,0.0,0.0,0.0,0.0,36.16461509734964,35.658261405032405,35.57053072210161,0.0
AG,20120619,6045,11.808396549807336,0.0,0.0,0.0,0.0,0.0,36.22110621434635,35.740669254704244,35.65661850172701,1.0
AG,20120620,5990,-16.425631727244447,0.0,0.0,0.0,0.0,35.32613142712452,36.307612742738534,35.74001078719651,35.59262325334815,0.0
AG,20120621,5893,-27.790301074961913,0.0,0.0,0.0,0.0,35.28266172038754,36.35689126474704,35.598010103884384,35.3681425267099,0.0
AG,20120625,5691,-43.43243982511339,0.0,0.0,0.0,0.0,35.20156237058667,36.309909546327596,35.42872190819212,34.853087058410075,0.0
AG,20120626,5783,25.87228489009564,0.0,0.0,0.0,0.0,35.15605713949141,36.259069288398216,35.24887429677889,34.524116958560896,1.0
AG,20120627,5725,-18.62619369312341,0.0,0.0,0.0,0.0,35.16015838842081,36.18178585580736,35.05450445625641,34.033391457725294,0.0
AG,20120628,5733,0.22348115863469786,0.0,0.0,0.0,0.0,35.1871481028375,36.15494356220749,34.823540236695145,33.62368992173451,1.0
AG,20120629,5632,-13.451275237051695,0.0,0.0,0.0,0.0,35.169085481469864,36.072141710004146,34.48472509855065,33.16307226388375,0.0
AG,20120702,5785,29.486188379434395,0.0,0.0,0.0,0.0,35.173828416430375,36.07788911876342,34.298238808977715,33.33322679767781,1.0
AG,20120703,5810,20.740931672546395,0.0,0.0,0.0,0.0,35.14958907320048,36.042905120050776,34.15128300038235,33.3795781844273,1.0
AG,20120704,5932,24.576473548189146,0.0,0.0,0.0,0.0,35.16205109373168,36.046876536965534,34.071149827563545,33.72286516395111,1.0
AG,20120705,5944,5.872128555525322,0.0,0.0,0.0,34.633752985870856,35.210441339267284,36.030531221920654,34.03779411578745,34.06506173064723,1.0
AG,20120706,5864,-22.88161780652307,0.0,0.0,0.0,34.59489369505053,35.23684547342997,35.94623963679471,34.01497746460487,34.46507702439703,0.0
AG,20120709,5782,-25.00909419682795,0.0,0.0,0.0,34.552943842106586,35.230809290217906,35.89813032587821,34.095703886244124,34.46009866680548,0.0
AG,20120710,5795,2.4824496584421,0.0,0.0,0.0,34.520766610851666,35.199318222028104,35.811011442294095,34.105874864511705,34.435588446654855,1.0
AG,20120711,5750,-13.787413886115033,0.0,0.0,0.0,34.52938771585725,35.15370010891364,35.722726500960704,34.127976942071555,34.14587188285843,1.0
AG,20120712,5728,-6.5969031341889774,0.0,0.0,0.0,34.548859039376374,35.133923662169316,35.603379392305676,34.12353280409897,33.795895254877074,1.0
AG,20120713,5764,17.45700574515685,0.0,0.0,0.0,34.565013904105946,35.11685749000992,35.4920414145774,34.243703252403215,33.62910282568501,1.0
AG,20120716,5787,4.4149958304871015,0.0,0.0,0.0,34.569046523733306,35.12132259057185,35.39954714297522,34.24539260915158,33.637680122457425,1.0
AG,20120717,5812,11.93928461024094,0.0,0.0,0.0,34.55100658196281,35.09807167271565,35.32705756854236,34.2470463815294,33.666356463106254,1.0
AG,20120718,5780,-12.800327667662394,0.0,0.0,0.0,34.53029632114476,35.06098679383531,35.22649247418093,34.12582913772125,33.71854495282891,1.0
AG,20120719,5797,3.4460778303357245,0.0,0.0,0.0,34.538369544275405,35.011780981859445,35.15172670024242,34.00951778097689,33.838418793262626,1.0
AG,20120720,5787,-4.285609627393036,0.0,0.0,0.0,34.5428354395021,34.93350855032565,35.10858042786685,33.94593081422309,33.877817808593534,1.0
AG,20120723,5755,-4.9573525373401495,0.0,0.0,0.0,34.53243970337047,34.8930489678403,35.1373294442391,33.92248964080737,33.822777469950665,1.0
AG,20120724,5792,-0.7409779598860027,0.0,0.0,0.0,34.50773811787253,34.83289909148573,35.14115919367484,33.919937875062644,33.78920476770817,1.0
AG,20120725,5740,-4.9716647244890515,0.0,0.0,0.0,34.47069425884409,34.76996989766914,35.147838666003196,33.911078607895824,33.71950256997354,0.0
AG,20120726,5820,22.077866748821176,0.0,0.0,0.0,34.47525908169446,34.715242000300215,35.18516017507706,33.99053774097787,33.758001700384305,1.0
AG,20120727,5862,12.452693229053835,0.0,0.0,0.0,34.48250494074669,34.667049363210594,35.28599420367456,34.07216378072253,33.88143615982386,1.0
AG,20120730,5887,3.085540499528236,0.0,0.0,0.0,34.50614596589021,34.631815645173866,35.32732449986533,34.153479004577434,34.097864811514384,1.0
AG,20120731,5972,31.594322023481695,0.0,0.0,0.0,34.519284635321284,34.62447291961617,35.389729534682445,34.27693235300218,34.3748892445432,1.0
AG,20120801,5949,-13.622776243471918,0.0,0.0,0.0,34.52447085293724,34.601919345091076,35.395979072962156,34.40983899786178,34.7031466377405,0.0
AG,20120802,5880,-21.75839495039621,0.0,0.0,35.03618473120608,34.50391040983176,34.574512103291056,35.37182130091212,34.476315977997906,34.79604433187791,0.0
AG,20120803,5842,-13.871534463956449,0.0,0.0,35.00699475252276,34.455978639936504,34.56100036144254,35.363063325221354,34.52117996847477,34.76517535956492,1.0
AG,20120806,5941,29.10390486907465,0.0,0.0,34.999875653539355,34.46273805507103,34.630228426530884,35.425829856400256,34.66801941032061,34.84396747850323,1.0
AG,20120807,5956,4.3057113673933145,0.0,0.0,34.99938730603705,34.44954371331707,34.67582920733029,35.488425211438546,34.79381390931178,34.82169655997805,1.0
AG,20120808,5953,4.307597510829177,0.0,0.0,35.032459685941674,34.44502736474347,34.73742467120307,35.56878073371904,34.96015484080452,34.827333773972384,1.0
AG,20120809,5980,9.214935005214707,0.0,0.0,35.07927479179662,34.434628831627776,34.802969295385154,35.6679237339371,35.07855730612826,34.970558264258074,1.0
AG,20120810,5961,-6.3200704535050525,0.0,0.0,35.116235245773446,34.417302326900966,34.894624164096896,35.74451356992019,35.150740649243495,35.144235427401995,0.0
AG,20120813,5986,6.451917626568972,0.0,0.0,35.14472842494014,34.409313768993975,34.946260164231184,35.819984118645834,35.22107500563638,35.205956583366984,1.0
AG,20120814,5944,-12.145314518640525,0.0,0.0,35.149861183921125,34.39871448667246,34.980869139615564,35.87025933970285,35.20159756539897,35.189308011798474,1.0
AG,20120815,5950,-0.07867177139203818,0.0,0.0,35.158429918365805,34.382017298237926,34.985252396563304,35.935583432887505,35.20229896551513,35.18514968096849,1.0
AG,20120816,5945,1.1778489496531677,0.0,0.0,35.183232101274186,34.37387897761025,34.98549510265705,35.99198310969686,35.2494087485598,35.13706998839187,1.0
AG,20120817,6003,17.670515657714773,0.0,0.0,35.213912245939504,34.39413316813666,35.01955696021875,36.07231721458388,35.36465166428657,35.193714478393524,1.0
AG,20120820,5996,0.23777694786003425,0.0,0.0,35.23838875511075,34.45575248615134,35.07405872425339,36.163149442659936,35.40224457501885,35.20706611936808,1.0
AG,20120821,6094,30.90999810074935,0.0,0.0,35.25896279974168,34.51334443756234,35.14632068820143,36.26979108904456,35.491427599387634,35.40124482999187,1.0
AG,20120822,6202,30.080232284538866,0.0,0.0,35.289591475991905,34.59957874872991,35.25219346394519,36.42802937018181,35.64362038601607,35.706638381821215,1.0
AG,20120823,6333,46.1965612166021,0.0,0.0,35.3480305975266,34.70103844892071,35.38647394605685,36.58586478977075,35.841615770837834,36.14137815719161,1.0
AG,20120824,6459,8.299529694578702,0.0,0.0,35.41210044177941,34.8393174875816,35.528547274135725,36.75378292185136,36.10386134191914,36.59669217436952,0.0
AG,20120827,6585,35.365361044776186,0.0,0.0,35.49181270011698,34.95528869014839,35.679481172473885,36.93440620900989,36.392088632926026,37.13686804785856,1.0
AG,20120828,6516,-26.183665952806198,0.0,0.0,35.54961400063708,35.05908315956965,35.81427191532913,37.07214666653265,36.67952812315545,37.50687938753879,0.0
AG,20120829,6560,11.766952759940866,0.0,0.0,35.607593146968554,35.14328901508523,35.96209564631504,37.22427585515671,36.97400956041757,37.789794903881415,1.0
AG,20120830,6525,-7.706659268621451,0.0,0.0,35.654887960524825,35.22173343204761,36.10011308716796,37.392521362672575,37.2553553295496,37.93126796569007,0.0
AG,20120831,6463,-20.18588343757942,0.0,0.0,35.68502230401606,35.30846082850614,36.231868930479905,37.56125540834032,37.475214496586155,37.934092012805316,0.0
AG,20120903,6730,48.85653007927212,0.0,0.0,35.75407038553328,35.43436350437446,36.401351023782546,37.737711165428735,37.778634872766595,38.014528849025105,1.0
AG,20120904,6837,20.10995051212463,0.0,0.0,35.81317380504545,35.564229273441384,36.56910235635149,37.920996134542996,38.04800772460187,38.18772528787143,1.0
AG,20120905,6855,-0.5408978359371517,0.0,0.0,35.878824944153195,35.70354955720454,36.750427802914565,38.105337407800775,38.26384814812614,38.339108730991455,1.0
AG,20120906,6889,28.885104684899265,0.0,0.0,35.93875183262925,35.848539341427326,36.91222144579297,38.28305654762842,38.42753020139635,38.524524620976315,1.0
AG,20120907,6802,-24.79095383286741,0.0,0.0,35.99258442027329,35.979822565724774,37.055703229072954,38.45495776360672,38.52449219858328,38.7119677488761,0.0
AG,20120910,7175,48.25370597709985,0.0,0.0,36.062372823474284,36.12456972127285,37.21632714541046,38.65155005962328,38.645588117327186,38.87193736274979,1.0
AG,20120911,7115,-15.334570795760893,0.0,0.0,36.13345847440026,36.26110803109796,37.35394576362405,38.854006587754405,38.77865304360535,38.967106766389946,0.0
AG,20120912,7166,8.565799244265705,0.0,0.0,36.20114180914719,36.40488257628292,37.49794907624565,39.05565984409833,38.904014385150475,39.0679437332103,1.0
AG,20120913,7051,-24.01643895936953,0.0,0.0,36.27127923137785,36.53962706754857,37.64984453173869,39.247769642870075,39.02273263374086,39.12305822447193,0.0
AG,20120914,7356,48.27834012971886,0.0,0.0,36.36005824492194,36.68622623998571,37.82285199253761,39.44009740162933,39.19741427848611,39.28603885675793,1.0
AG,20120917,7342,-10.277708453112687,0.0,0.0,36.474835032492045,36.83746475248168,37.97201393182154,39.63115616217471,39.294408431957606,39.32250929995431,1.0
AG,20120918,7220,-28.352438300985217,0.0,0.0,36.57366673903231,36.976717684320775,38.112019349333664,39.78774397329832,39.35453289686606,39.34879245793378,0.0
AG,20120919,7300,28.527064988552,0.0,0.0,36.681600797580046,37.127341679841756,38.254686963790114,39.92200681702187,39.419547521259496,39.37909154089702,1.0
AG,20120920,7283,-7.6137664006440815,0.0,0.0,36.7874836465449,37.261375117204494,38.39011777853625,40.027534030797625,39.47599629864216,39.43710987067479,0.0
AG,20120921,7364,12.997531218988216,0.0,0.0,36.9086526236437,37.389364980262464,38.5310647710196,40.11421776649455,39.55738370238447,39.438580501233524,1.0
AG,20120924,7098,-44.023085522268865,0.0,0.0,37.001901341915776,37.503548750068006,38.6549904960644,40.1662853000916,39.5473299467555,39.382284940102736,0.0
AG,20120925,7123,3.1693224808002043,0.0,0.0,37.09219725074914,37.604378371454146,38.78735139488576,40.229820250580076,39.548402089750546,39.358210660795436,1.0
AG,20120926,7118,-1.0255347414065668,0.0,0.0,37.167435714627146,37.70800386029685,38.91718965681829,40.28629677420802,39.5421850033391,39.31537813739981,1.0
AG,20120927,7168,12.584971193650027,0.0,0.0,37.242327719226935,37.82390321207213,39.04920055671028,40.35079307014712,39.558101758047684,39.288971758298615,1.0
AG,20120928,7310,33.037452200706724,0.0,0.0,37.329230785532495,37.94982058496946,39.174721514750225,40.432232054165524,39.553674092056774,39.278560957814214,1.0
AG,20121008,7035,-43.543181465734044,0.0,0.0,37.418955417821735,38.049337050180675,39.28860996133898,40.46056725675639,39.51632764793895,39.260154852085755,0.0
AG,20121009,7098,3.4408749970035544,0.0,0.0,37.50841019142041,38.148512401758744,39.387794263309864,40.48203234921739,39.500872129689114,39.25330644486593,1.0
AG,20121010,7022,-17.47743441024752,0.0,0.0,37.600916699959726,38.24449810168795,39.46569876472921,40.49628393134799,39.46553411762449,39.225336287826735,0.0
AG,20121011,7047,11.266646752988171,0.0,0.0,37.69652347359664,38.33697007422012,39.52657143867006,40.50920200239715,39.43569699215072,39.191900758924376,1.0
AG,20121012,7065,0.02045220535372749,0.0,0.0,37.787531481666775,38.43243387875803,39.57319508036126,40.53180626807472,39.40047077072305,39.13148666796475,1.0
AG,20121015,6865,-41.90208093020378,0.0,0.0,37.868715473628576,38.514607790020726,39.59541819499157,40.508197857529886,39.36173252567976,39.0720065594044,0.0
AG,20121016,6807,-14.744535206513513,0.0,0.0,37.94425649413293,38.599366313844904,39.620437736344364,40.482638430864725,39.30762587526058,38.96965280782213,0.0
AG,20121017,6860,11.027991254497707,0.0,0.0,38.025374192026135,38.68564796656713,39.644646635931906,40.45901297230631,39.26487988732353,38.911651468675,1.0
AG,20121018,6839,2.733019310807485,0.0,0.0,38.10326162274409,38.771095593984654,39.67087551698447,40.441012234367705,39.21116949018448,38.836992143167755,1.0
AG,20121019,6758,-21.276263797733524,0.0,0.0,38.178746884234684,38.84328841781507,39.697770875695895,40.39673278642829,39.123375394040224,38.72078090650504,0.0
AG,20121022,6663,-21.555104533456216,0.0,0.0,38.25353242913947,38.910180294957904,39.69231634573612,40.34181913411139,39.04716964438583,38.62710088395915,0.0
AG,20121023,6704,5.548373812060845,0.0,0.0,38.32540186405177,38.966474881440426,39.68247292465527,40.29801451133672,38.97154122054775,38.57865592421209,1.0
AG,20121024,6668,-8.355756944735779,0.0,0.0,38.40160737270591,39.00740917846986,39.66844320535505,40.24536846912478,38.897963171203045,38.48884804915464,1.0
AG,20121025,6713,19.467559377239297,0.0,0.0,38.46996726488602,39.037367099550906,39.65590363999793,40.198860004201066,38.831524103605425,38.430636577003156,1.0
AG,20121026,6639,-11.123291078709217,0.0,0.0,38.529904817442656,39.051038922091735,39.642983394190566,40.139006915469054,38.74269969089561,38.369586543531845,0.0
AG,20121029,6717,4.434774283064037,0.0,0.0,38.59046127812113,39.059862937809186,39.61587702024818,40.10385114615532,38.70937081324186,38.39760724368743,1.0
AG,20121030,6670,-14.521888878279267,0.0,0.0,38.63990139713201,39.0709271549393,39.587481067223884,40.06114047326285,38.676243075126266,38.37990364235355,1.0
AG,20121031,6682,4.455046937820014,0.0,0.0,38.69203962463908,39.07938400526004,39.557784851625584,40.02014007205842,38.634875813445355,38.38730810448835,1.0
AG,20121101,6755,23.138507191027784,0.0,0.0,38.75432852587683,39.094966641396496,39.53922002440497,39.98442823437665,38.61600593380341,38.407876905708186,1.0
AG,20121102,6703,-20.960069665489726,0.0,0.0,38.81831027340437,39.1124046996065,39.5041321718894,39.93439644313753,38.602506962465405,38.441819422466715,0.0
AG,20121105,6495,-45.29026764562882,0.0,0.0,38.86125311177841,39.095943378907755,39.449908905254944,39.872593279392326,38.55240164692631,38.31342412523216,0.0
AG,20121106,6536,3.9734361210889375,0.0,0.0,38.90482512620704,39.076682044199146,39.40414996768864,39.81218690487742,38.50463086592126,38.23525297445116,1.0
AG,20121107,6648,37.15987812766113,0.0,0.0,38.95414917874053,39.064520799582205,39.365907995274746,39.773180727744325,38.49920726279079,38.2168646528593,1.0
AG,20121108,6655,-7.547408840883008,0.0,0.0,39.00100104029778,39.051119677232265,39.32879078810061,39.73302720919497,38.48397947679399,38.16535263705046,0.0
AG,20121109,6746,24.963962391528725,0.0,0.0,39.053478423701776,39.04792797818402,39.29640851008729,39.702714673143284,38.51176762556221,38.1869609632196,1.0
