合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
AL,20100104,17185,-1.6153718145820335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,20100105,17240,19.31030336758846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AL,20100106,17520,49.23121638698474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AL,20100107,17200,0.807147096917781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,20100108,17320,-46.91665732614289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.103361747935622,0.0
AL,20100111,17750,44.60540872518285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.70644624152852,1.0
AL,20100112,17960,25.117984511110482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.457164355882668,0.0
AL,20100113,17250,-49.73164866761967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17050767739865,0.0
AL,20100114,17550,26.234974816814603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.542191025413945,1.0
AL,20100115,17465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08554004079288,20.69530490554361,0.0
AL,20100118,17350,-10.286203783844217,0.0,0.0,0.0,0.0,0.0,0.0,20.175162604784575,20.278587971188813,0.0
AL,20100119,17610,20.318629275550013,0.0,0.0,0.0,0.0,0.0,0.0,20.37272300066216,19.920637217195694,1.0
AL,20100120,17405,-22.569932040306963,0.0,0.0,0.0,0.0,0.0,0.0,20.31159964236234,20.086887564029354,0.0
AL,20100121,17290,-25.31260703432043,0.0,0.0,0.0,0.0,0.0,0.0,20.36043189281061,19.81023700400829,0.0
AL,20100122,16930,-34.79809008741755,0.0,0.0,0.0,0.0,0.0,0.0,20.146311091538337,19.225499577356814,0.0
AL,20100125,17110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80327935091948,18.962292971849934,0.0
AL,20100126,17100,-5.664291932917408,0.0,0.0,0.0,0.0,0.0,0.0,19.344246806071286,18.406347588263188,0.0
AL,20100127,17090,-13.539795138316949,0.0,0.0,0.0,0.0,0.0,0.0,19.25548992309055,18.057347588352197,1.0
AL,20100128,16405,-49.51749229805718,0.0,0.0,0.0,0.0,0.0,0.0,18.60726405318765,17.03474657107155,0.0
AL,20100129,16020,-45.28109340928212,0.0,0.0,0.0,0.0,0.0,19.12372809551823,17.766169992377453,15.940557655396475,0.0
AL,20100201,15935,0.0,0.0,0.0,0.0,0.0,0.0,18.75605201699352,16.92739954279972,14.513254625347983,0.0
AL,20100202,16245,25.349747217383975,0.0,0.0,0.0,0.0,0.0,18.465705185187414,16.12762263844793,13.471920272877304,0.0
AL,20100203,16420,36.93491541499574,0.0,0.0,0.0,0.0,0.0,18.14917674518135,15.544671806395044,12.653645353790345,1.0
AL,20100204,16300,-20.324921568504838,0.0,0.0,0.0,0.0,0.0,17.884553515242843,14.949547507957632,12.521176658915387,0.0
AL,20100205,16130,-36.905604976664364,0.0,0.0,0.0,0.0,0.0,17.532836334183518,14.456350617129313,12.662220780526779,0.0
AL,20100208,16200,9.340314933523151,0.0,0.0,0.0,0.0,0.0,17.081767022638303,13.89744928260216,13.001423668283609,0.0
AL,20100209,16235,16.59381724685261,0.0,0.0,0.0,0.0,0.0,16.582294313404493,13.363856860521373,12.988764976245001,1.0
AL,20100210,16520,31.74939343522605,0.0,0.0,0.0,0.0,0.0,16.365727049680245,13.014277052879232,13.113468581319074,1.0
AL,20100211,16595,13.927086779034903,0.0,0.0,0.0,0.0,0.0,16.086061117560007,13.133561284178818,13.481050814310123,1.0
AL,20100212,16600,22.8400243128242,0.0,0.0,0.0,0.0,17.516708089763398,15.83107772650132,13.501254343913415,14.067144068926098,1.0
AL,20100222,16900,32.29518311703197,0.0,0.0,0.0,0.0,17.461821237876833,15.699117316342935,14.105744993713332,14.923157422813047,1.0
AL,20100223,16940,-2.4572182878612594,0.0,0.0,0.0,0.0,17.404239027862815,15.504960523928444,14.5340690154476,15.775470243937493,1.0
AL,20100224,16780,-25.314500181144613,0.0,0.0,0.0,0.0,17.262830373740485,15.320492991549385,14.755187551907186,16.08657066788902,0.0
AL,20100225,16790,0.8268542728662069,0.0,0.0,0.0,0.0,17.183298780500465,15.171972149352555,15.056469240383096,16.318468599701347,1.0
AL,20100226,16710,-17.659253102173537,0.0,0.0,0.0,0.0,17.065049106977753,15.105358379636913,15.414806450119471,16.449371525402626,0.0
AL,20100301,16785,19.062112848696046,0.0,0.0,0.0,0.0,16.881835450170087,15.007866949873774,15.773119276629984,16.314435118786292,1.0
AL,20100302,16545,-27.55484615665509,0.0,0.0,0.0,0.0,16.612362861378145,14.839520448619114,15.963752518791395,15.845846614014151,0.0
AL,20100303,16805,-1.6518784638182211,0.0,0.0,0.0,0.0,16.52559730200494,14.753795656351244,16.135432141915146,15.875469861926335,1.0
AL,20100304,16770,1.6553240565312066,0.0,0.0,0.0,0.0,16.375091605465414,14.866603250109605,16.240536282255658,15.851749358582024,1.0
AL,20100305,16820,3.297988972446305,0.0,0.0,0.0,17.325057550577586,16.250220624195787,15.116058627086119,16.372218158960973,15.98228155851156,1.0
AL,20100308,16905,25.15448556836131,0.0,0.0,0.0,17.284834695556043,16.16383292526065,15.417545688418071,16.375164674590682,16.123588151057106,1.0
AL,20100309,16895,-12.914180182196489,0.0,0.0,0.0,17.235343554905402,16.0264349600332,15.617124322203367,16.348674444048257,16.538316637392242,0.0
AL,20100310,16965,15.164404063317493,0.0,0.0,0.0,17.156897429285294,15.941233753060999,15.782694801262508,16.457915023510424,16.7248768260107,1.0
AL,20100311,16865,-21.1290149226753,0.0,0.0,0.0,17.108621962186362,15.858081569226215,15.955374303467009,16.50232011373062,16.836041136271287,0.0
AL,20100312,16835,-4.116185155543462,0.0,0.0,0.0,17.038955561941012,15.839178785331073,16.171805824247414,16.57659007843671,16.85356643090104,1.0
AL,20100315,16640,-26.148664255071782,0.0,0.0,0.0,16.88107822401777,15.745566359994555,16.30721644028216,16.490041891348,16.542118206107062,0.0
