合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
AU,20100104,244.58,3.3740604017782445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,20100105,249.71,38.22823921009007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AU,20100106,250.59,6.43300762000316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,20100107,251.2,8.57485464843257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AU,20100108,249.0,-26.81176141427788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.097255338780194,0.0
AU,20100111,256.66,44.572938946249934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.219619737349717,1.0
AU,20100112,255.38,-7.878987555892749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.804639200593768,0.0
AU,20100113,249.3,-41.654876571170476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.898690885878878,0.0
AU,20100114,252.41,22.622526111589107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.810166395496863,1.0
AU,20100115,251.81,-4.696074643965325,0.0,0.0,0.0,0.0,0.0,0.0,-8.20827760881356,-7.604968927033808,0.0
AU,20100118,249.91,-14.478349306605473,0.0,0.0,0.0,0.0,0.0,0.0,-8.019412650512912,-8.099993733000375,0.0
AU,20100119,251.89,12.190254795419483,0.0,0.0,0.0,0.0,0.0,0.0,-7.941548624028293,-8.355619234440567,1.0
AU,20100120,251.2,-0.05934115744188517,0.0,0.0,0.0,0.0,0.0,0.0,-7.919751216348652,-8.217326598789434,0.0
AU,20100121,246.51,-36.610525160839565,0.0,0.0,0.0,0.0,0.0,0.0,-8.086601473446606,-8.645717019058836,0.0
AU,20100122,242.66,-33.24003244124003,0.0,0.0,0.0,0.0,0.0,0.0,-8.310438617370004,-9.304881408620254,0.0
AU,20100125,243.0,11.418819170915027,0.0,0.0,0.0,0.0,0.0,0.0,-8.795647206598424,-9.800154449140749,1.0
AU,20100126,242.72,-3.9550259321187937,0.0,0.0,0.0,0.0,0.0,0.0,-9.24348643904311,-10.456122410596619,0.0
AU,20100127,243.54,1.399168681019049,0.0,0.0,0.0,0.0,0.0,0.0,-9.445798036776154,-11.001942846804225,1.0
AU,20100128,239.6,-28.69068804500179,0.0,0.0,0.0,0.0,0.0,0.0,-9.8942068529987,-11.487566505244615,0.0
AU,20100129,239.3,-10.085239862766636,0.0,0.0,0.0,0.0,0.0,-9.583204558373268,-10.330421850601796,-11.721814296361075,0.0
AU,20100201,238.58,-3.372848229632502,0.0,0.0,0.0,0.0,0.0,-9.688805147977504,-10.723198753718544,-12.029142634900992,0.0
AU,20100202,243.96,36.60711063823922,0.0,0.0,0.0,0.0,0.0,-9.79123754724852,-10.999817243212194,-11.942419835063248,1.0
AU,20100203,245.93,18.286504879464445,0.0,0.0,0.0,0.0,0.0,-9.874460109958227,-11.183607987470268,-11.77453079898254,1.0
AU,20100204,244.83,-11.951812108112586,0.0,0.0,0.0,0.0,0.0,-9.98808347248957,-11.24178179455346,-11.408702552463836,0.0
AU,20100205,234.88,-49.055787286102934,0.0,0.0,0.0,0.0,0.0,-10.235936964774497,-11.506035227907406,-11.71353313708213,0.0
AU,20100208,236.1,11.572914748304989,0.0,0.0,0.0,0.0,0.0,-10.599723846013019,-11.74048260065269,-11.884389207280355,1.0
AU,20100209,236.1,6.290131636800346,0.0,0.0,0.0,0.0,0.0,-10.939589614253702,-11.964926611474509,-12.428459282964257,0.0
AU,20100210,238.85,16.802207693288224,0.0,0.0,0.0,0.0,0.0,-11.122889706488124,-12.124486208921347,-12.919539668794641,1.0
AU,20100211,239.48,7.288017301254221,0.0,0.0,0.0,0.0,0.0,-11.350304216845524,-12.128547823409994,-13.289039468125033,1.0
AU,20100212,241.8,16.10484291719841,0.0,0.0,0.0,0.0,-10.545912914872098,-11.526472401834347,-12.04366713816828,-12.815924622141353,1.0
AU,20100222,248.33,45.21007494321717,0.0,0.0,0.0,0.0,-10.502184112861713,-11.554402619982277,-11.709648673999908,-11.966278079976142,1.0
AU,20100223,245.85,-23.618989943801,0.0,0.0,0.0,0.0,-10.547325571463183,-11.661052403543346,-11.644550545728967,-11.286856894981463,0.0
AU,20100224,244.88,-15.34141201798098,0.0,0.0,0.0,0.0,-10.614065896994314,-11.772359208917628,-11.680762996149303,-10.863827501000998,0.0
AU,20100225,241.76,-18.751497460087034,0.0,0.0,0.0,0.0,-10.724013324489805,-11.855219460092606,-11.786042306636546,-10.70405508064593,0.0
AU,20100226,244.89,24.418825514453868,0.0,0.0,0.0,0.0,-10.771916422909925,-11.816357527381824,-11.445642266360233,-10.48568594234628,1.0
AU,20100301,247.23,15.763839352696849,0.0,0.0,0.0,0.0,-10.882832330951253,-11.742374013717976,-11.064307818023543,-10.564264333716686,1.0
AU,20100302,246.77,-0.5914051523388224,0.0,0.0,0.0,0.0,-10.983871930805476,-11.671560224981306,-10.6979418786714,-10.49875812970236,0.0
AU,20100303,250.78,28.417079702399462,0.0,0.0,0.0,0.0,-10.966538955891721,-11.544188094635295,-10.283715237651123,-10.076611244362283,1.0
AU,20100304,250.84,2.228349516570205,0.0,0.0,0.0,0.0,-10.984980424938293,-11.347112086666264,-9.887858301048896,-9.426925483967707,0.0
AU,20100305,250.41,-5.594709974654394,0.0,0.0,0.0,-10.269872767622417,-11.00140755206693,-11.152193226469883,-9.586438598986199,-9.029432523353382,1.0
AU,20100308,250.88,4.94450314091214,0.0,0.0,0.0,-10.214865230270307,-10.990041325275099,-10.936152513705943,-9.496371968445203,-8.765298680130336,1.0
AU,20100309,248.3,-24.645670121315497,0.0,0.0,0.0,-10.227212393585447,-11.032077497279873,-10.859560642667098,-9.41024408673116,-8.65480699897688,0.0
AU,20100310,248.36,2.5200107841795045,0.0,0.0,0.0,-10.246756280043208,-11.06530278525607,-10.816559125134358,-9.287954326360163,-8.830271671732575,1.0
AU,20100311,245.62,-25.444873126763266,0.0,0.0,0.0,-10.295538821239868,-11.07563208980424,-10.802636664160984,-9.153136887428822,-9.207095298649207,0.0
AU,20100312,245.81,2.5494617993471853,0.0,0.0,0.0,-10.323362561265746,-11.039227619752566,-10.612326155920053,-9.120858342808774,-9.538382417809435,1.0
AU,20100315,244.26,-15.62803380696415,0.0,0.0,0.0,-10.432087024982565,-11.024684291904702,-10.470121257355023,-9.225132041024944,-10.013365257473502,0.0
AU,20100316,245.33,12.769987986859887,0.0,0.0,0.0,-10.520144951777297,-10.99452515498568,-10.308874391783293,-9.275701855160577,-10.225661761016994,1.0
AU,20100317,249.21,28.23805814101961,0.0,0.0,0.0,-10.520931860645,-10.928627810034818,-10.126132791607445,-9.33127896205218,-10.16467777972082,1.0
AU,20100318,248.27,-9.739628989879575,0.0,0.0,0.0,-10.557199832359096,-10.828393294264018,-9.970953897299573,-9.422135353084514,-9.975137289949046,0.0
AU,20100319,248.5,1.4536007027325368,0.0,0.0,0.0,-10.58618042433134,-10.721965168922443,-9.852190477425788,-9.489613443891706,-9.782406816170543,1.0
AU,20100322,244.69,-30.469491388429894,0.0,0.0,0.0,-10.631603503331064,-10.651634745456212,-9.916932004323263,-9.707331072826676,-9.751764447672585,0.0
