合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
CU,20100104,59820,18.97681258233716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CU,20100105,59900,-1.0763195463616668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CU,20100106,60510,27.59729396063561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CU,20100107,60510,12.730708197297226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CU,20100108,59680,-35.33879805530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28670052023304,0.0
CU,20100111,61530,35.92277075850454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.780156154040586,1.0
CU,20100112,61050,-15.454194193280316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.111701839348385,0.0
CU,20100113,58770,-39.74814435685408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.603342587632826,0.0
CU,20100114,60600,27.11279145165888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.629346584629529,1.0
CU,20100115,60170,-9.97366067288582,0.0,0.0,0.0,0.0,0.0,0.0,14.704508945215325,14.772168719757259,0.0
CU,20100118,59960,-1.0760179422291216,0.0,0.0,0.0,0.0,0.0,0.0,14.725234942685859,14.319665548446805,0.0
CU,20100119,61150,23.874135645267895,0.0,0.0,0.0,0.0,0.0,0.0,14.908301056558445,14.348384715007697,1.0
CU,20100120,60980,-2.254599695130402,0.0,0.0,0.0,0.0,0.0,0.0,14.97680973345497,14.993020400340598,0.0
CU,20100121,60300,-20.968658559485675,0.0,0.0,0.0,0.0,0.0,0.0,14.946039921426248,14.906493126974851,0.0
CU,20100122,58600,-36.788337923009436,0.0,0.0,0.0,0.0,0.0,0.0,14.784718645425516,14.445283337833414,0.0
CU,20100125,59280,8.899262918239673,0.0,0.0,0.0,0.0,0.0,0.0,14.453986897484054,14.245496768359699,1.0
CU,20100126,59180,1.6660265387618978,0.0,0.0,0.0,0.0,0.0,0.0,14.17702652264957,13.669278235288019,0.0
CU,20100127,59110,-7.752957030417192,0.0,0.0,0.0,0.0,0.0,0.0,14.228290348186716,13.118421644847944,1.0
CU,20100128,57050,-44.04882354490033,0.0,0.0,0.0,0.0,0.0,0.0,13.691403760475126,12.136642079726812,0.0
CU,20100129,55390,-38.26206500771254,0.0,0.0,0.0,0.0,0.0,13.854732234420233,12.955513835547313,11.140477168469843,0.0
CU,20100201,53360,-45.9219572079912,0.0,0.0,0.0,0.0,0.0,13.350869252147861,11.921256005346947,9.27578437672878,0.0
