合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
FB.DCE,20131206,72.05,-49.772079363293635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FB.DCE,20131209,74.15,25.735204938777123,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FB.DCE,20131210,72.6,-40.023206842893075,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB.DCE,20131211,73.4,-2.8099778334204686,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FB.DCE,20131212,75.35,45.37551130555889,50.0,50.0,0.0,0.0,0.0,0.0,0.0,15.61858000471591,1.0
FB.DCE,20131213,74.8,-9.56530071368136,50.0,50.0,0.0,0.0,0.0,0.0,0.0,16.232395235572408,0.0
FB.DCE,20131216,74.7,-2.761154795376441,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,16.35314063753279,0.0
FB.DCE,20131217,74.2,-6.919890031161913,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,16.70797617194073,0.0
FB.DCE,20131218,73.6,-26.9796263190528,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,16.75217638553869,0.0
FB.DCE,20131219,72.95,-17.761425448038768,-50.0,-50.0,0.0,0.0,0.0,0.0,15.91548601707474,16.224699553433766,0.0
FB.DCE,20131220,73.3,1.4077787319686903,50.0,50.0,0.0,0.0,0.0,0.0,16.055910830728678,15.892925831692054,1.0
FB.DCE,20131223,74.8,38.01963230592713,50.0,50.0,0.0,0.0,0.0,0.0,16.127247212300205,15.914881499428432,1.0
FB.DCE,20131224,74.55,-5.520112471330464,-50.0,-50.0,0.0,0.0,0.0,0.0,16.343350121929063,15.992067548953203,0.0
FB.DCE,20131225,74.2,-16.217411315070752,-50.0,-50.0,0.0,0.0,0.0,0.0,16.431614906567614,16.125040104241506,0.0
FB.DCE,20131226,71.7,-48.3367934502468,50.0,50.0,0.0,0.0,0.0,0.0,16.02697497876771,15.842562757883426,0.0
FB.DCE,20131227,72.5,2.8448014947829208,-50.0,-50.0,0.0,0.0,0.0,0.0,15.77136355336647,15.662485540877654,1.0
FB.DCE,20131230,70.9,-31.918053617572237,50.0,50.0,0.0,0.0,0.0,0.0,15.343260721260224,14.779520581005187,0.0
FB.DCE,20131231,69.85,-22.32803084221716,50.0,50.0,0.0,0.0,0.0,0.0,14.846574682980945,13.697120122607176,0.0
FB.DCE,20140102,69.4,-23.6873219375542,50.0,50.0,0.0,0.0,0.0,0.0,14.361900814190392,12.575492767936055,0.0
FB.DCE,20140103,69.55,2.9652473280026044,50.0,50.0,0.0,0.0,0.0,15.280151514858488,13.966744828459056,12.06323285401757,1.0
FB.DCE,20140106,66.75,-48.002190991624786,50.0,50.0,0.0,0.0,0.0,14.9673101658003,13.19332844134464,10.672144493217232,0.0
FB.DCE,20140107,66.85,-12.156907402501837,-50.0,-50.0,0.0,0.0,0.0,14.539292443431393,12.25505130090744,9.677350407052726,1.0
FB.DCE,20140108,65.75,-28.434738610965763,-50.0,-50.0,0.0,0.0,0.0,14.131260682332652,11.201988296881039,8.656063304585984,0.0
FB.DCE,20140109,66.6,17.944585501595625,50.0,50.0,0.0,0.0,0.0,13.727387958171668,10.287198471165958,7.955863396859584,1.0
FB.DCE,20140110,66.95,-6.142021407691268,-50.0,-50.0,0.0,0.0,0.0,13.232173017362369,9.706394491965439,7.304511759837452,1.0
FB.DCE,20140113,66.65,-7.6944698079340705,-50.0,-50.0,0.0,0.0,0.0,12.747520368914179,8.989946425069583,7.279166801520141,0.0
FB.DCE,20140114,67.8,28.85279080875793,-50.0,-50.0,0.0,0.0,0.0,12.337424128038206,8.607985065311041,7.518939999943563,1.0
FB.DCE,20140115,67.25,4.594034430750384,-50.0,-50.0,0.0,0.0,0.0,11.920830652004135,8.284970406295898,7.898724732958442,0.0
FB.DCE,20140116,64.75,-48.28977194855182,50.0,50.0,0.0,0.0,0.0,11.381733992631089,7.700557075659255,7.428345229058393,0.0
FB.DCE,20140117,65.15,-6.310313325273447,-50.0,-50.0,0.0,0.0,13.46047270580224,10.903972817469146,7.146862936544366,6.970461814760598,1.0
FB.DCE,20140120,65.7,19.564417208938977,-50.0,-50.0,0.0,0.0,13.195053270393975,10.438503175768396,7.013586781468085,6.728544757094668,1.0
FB.DCE,20140121,65.1,-19.729326919889548,-50.0,-50.0,0.0,0.0,12.818566802802778,9.845349815143997,6.7910273270380035,6.040790074297355,0.0
FB.DCE,20140122,65.15,-4.741427075190586,-50.0,-50.0,0.0,0.0,12.505527405942006,9.26774303308597,6.714481190550857,5.503844198391562,1.0
FB.DCE,20140123,65.8,10.842897571818433,50.0,50.0,0.0,0.0,12.18721272999197,8.750190186617159,6.612736243341353,5.773618042921157,1.0
FB.DCE,20140124,65.75,6.253204834236115,-50.0,-50.0,0.0,0.0,11.78783305186969,8.378333966016157,6.4601581896713975,5.927547292477733,0.0
FB.DCE,20140127,65.2,-18.30194951901141,-50.0,-50.0,0.0,0.0,11.385207710615616,7.92183357456588,6.275281352319298,5.7992784641603174,0.0
FB.DCE,20140128,63.9,-37.152747093295176,-50.0,-50.0,0.0,0.0,10.928543226308797,7.478605113982674,5.777445498384041,5.490089474659007,0.0
FB.DCE,20140129,65.4,41.6905005458233,-50.0,-50.0,0.0,0.0,10.55630720694569,7.196415612790908,5.541405316241069,5.554350773173091,1.0
FB.DCE,20140130,64.8,16.973209617889626,-50.0,-50.0,0.0,0.0,10.18125485042625,6.903397122883718,5.5478316116058215,5.297255856300191,0.0
FB.DCE,20140207,65.1,4.745051509363037,50.0,50.0,0.0,13.272439296681185,9.845226963032736,6.6199393926578125,5.541413789358543,5.130107440282359,1.0
FB.DCE,20140210,65.65,7.810176601221862,50.0,50.0,0.0,13.047170368570304,9.518198829351183,6.5493252990874495,5.535010686767741,5.245836487795955,1.0
FB.DCE,20140211,65.55,15.346068752805095,50.0,50.0,0.0,12.746592104743554,9.124660653754466,6.4658469650401145,5.5927200072960375,5.670899495541429,0.0
FB.DCE,20140212,65.2,-25.00219342521293,-50.0,-50.0,0.0,12.485129188064926,8.724911105853714,6.4303992269788575,5.599135389137267,5.619518151055778,0.0
