合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
HC,20140321,3230,-6.696415563391099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC,20140324,3266,1.6630211717298735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC,20140325,3320,21.013011933102806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HC,20140326,3354,4.042699095675204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC,20140327,3350,-1.6213447977385087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.661246069407412,0.0
HC,20140328,3360,3.230390968912744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18007059622184,1.0
HC,20140331,3382,11.867673763529394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.639835559186883,1.0
HC,20140401,3396,1.5993949698730106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.938909716466682,1.0
HC,20140402,3388,-0.8017466641577968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.072258792702394,0.0
HC,20140403,3382,-2.408204927692296,0.0,0.0,0.0,0.0,0.0,0.0,10.547187131758463,11.197734439640383,1.0
HC,20140404,3402,9.490674850332132,0.0,0.0,0.0,0.0,0.0,0.0,10.89189242104768,11.36188776847542,1.0
HC,20140408,3442,17.544738094317697,0.0,0.0,0.0,0.0,0.0,0.0,11.24194592258101,11.594948583735864,1.0
HC,20140409,3444,-2.3649029283632714,0.0,0.0,0.0,0.0,0.0,0.0,11.487089459310262,11.780867597222276,0.0
HC,20140410,3442,-2.3662754608702983,0.0,0.0,0.0,0.0,0.0,0.0,11.66038673508455,11.989863397203257,1.0
HC,20140411,3430,-6.309327287577696,0.0,0.0,0.0,0.0,0.0,0.0,11.81791795478869,12.175602294001017,1.0
HC,20140414,3432,2.373162076314287,0.0,0.0,0.0,0.0,0.0,0.0,11.95940410200754,12.291351940170735,1.0
HC,20140415,3418,-6.331291648357215,0.0,0.0,0.0,0.0,0.0,0.0,12.03004761672018,12.198950064958387,0.0
HC,20140416,3410,-4.768355649751847,0.0,0.0,0.0,0.0,0.0,0.0,12.057497098941086,12.067866292683973,0.0
HC,20140417,3410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.100645707254705,11.944346715706724,1.0
HC,20140418,3346,-18.73704659712121,0.0,0.0,0.0,0.0,0.0,11.66940524166892,12.029669400168276,11.617654847563365,0.0
HC,20140421,3340,-8.077244525796814,0.0,0.0,0.0,0.0,0.0,11.78201145633242,11.907462647278088,11.258799604059078,1.0
HC,20140422,3324,-2.450172930327831,0.0,0.0,0.0,0.0,0.0,11.841278982848904,11.674977314591773,10.8903451130002,1.0
HC,20140423,3336,5.680756072016023,0.0,0.0,0.0,0.0,0.0,11.857555739514027,11.462039887670649,10.599667660572301,1.0
HC,20140424,3366,8.804729301559297,0.0,0.0,0.0,0.0,0.0,11.869708901581454,11.312293740617466,10.426923263418765,1.0
HC,20140425,3372,0.8055504029433251,0.0,0.0,0.0,0.0,0.0,11.891983449565215,11.1978453097786,10.529452970738696,1.0
HC,20140428,3334,-15.85370446310673,0.0,0.0,0.0,0.0,0.0,11.865607409776821,11.003738505631961,10.505727056134859,0.0
HC,20140429,3334,6.489411258683155,0.0,0.0,0.0,0.0,0.0,11.816973631304036,10.836968008960968,10.545310188947001,1.0
HC,20140430,3338,-5.677375461665812,0.0,0.0,0.0,0.0,0.0,11.758258178054641,10.693818934368572,10.553217091532495,0.0
HC,20140505,3224,-1.6846730400397971,0.0,0.0,0.0,0.0,0.0,11.590765137830735,10.320569730012453,9.987833728054275,0.0
HC,20140506,3336,4.064436795688883,0.0,0.0,0.0,0.0,11.25337224388142,11.544064528484045,10.30053178097198,9.845235942509523,1.0
HC,20140507,3330,-4.071734646266819,0.0,0.0,0.0,0.0,11.321124360820255,11.471008812966664,10.280474932384964,9.82933595321309,1.0
HC,20140508,3310,-8.149429909005299,0.0,0.0,0.0,0.0,11.35089832698151,11.337176687739776,10.252324358779076,9.733776833318087,0.0
HC,20140509,3302,-0.8226250905658148,0.0,0.0,0.0,0.0,11.338753402989886,11.192996779396935,10.183954824862633,9.590293004051773,1.0
HC,20140512,3298,-0.8236226748928033,0.0,0.0,0.0,0.0,11.301036421960989,11.046566294911797,10.047360240936996,9.887199906278923,0.0
HC,20140513,3320,6.516532069817573,0.0,0.0,0.0,0.0,11.280850115727148,10.934674277902543,9.943017426010456,9.823573864450433,1.0
HC,20140514,3314,-5.71820931958996,0.0,0.0,0.0,0.0,11.249900541617274,10.814511555239127,9.902747385315976,9.759871709732005,1.0
HC,20140515,3298,-2.4694644366747203,0.0,0.0,0.0,0.0,11.19339123022629,10.691946317021298,9.830160223125203,9.711967933957844,0.0
HC,20140516,3240,-16.287579810333952,0.0,0.0,0.0,0.0,11.088095972939,10.517378608352935,9.631739187653134,9.463252527479694,0.0
HC,20140519,3250,-1.6712035738615467,0.0,0.0,0.0,0.0,10.994889091448016,10.352988997294851,9.684725016955383,9.270499827540199,0.0
HC,20140520,3254,-1.6691504362278309,0.0,0.0,0.0,10.840415226916521,10.908366180301087,10.257999387575454,9.518680179419633,9.005515375895293,1.0
HC,20140521,3254,0.8347579372386065,0.0,0.0,0.0,10.852637471963057,10.808393032960376,10.169115657636617,9.364573490260833,8.764173519539021,1.0
HC,20140522,3272,10.662717006240555,0.0,0.0,0.0,10.855683627585769,10.693930558184498,10.115350356667044,9.287452615268151,8.659497813990868,1.0
HC,20140523,3276,-3.3130332131263596,0.0,0.0,0.0,10.833421590041844,10.580770523151642,10.053352161601444,9.234651655375279,8.804872892639793,1.0
HC,20140526,3286,12.988636112001453,0.0,0.0,0.0,10.79910641972883,10.475668314428397,9.9708633628778,9.210285081925498,8.949961258049541,1.0
HC,20140527,3320,12.860350969985712,0.0,0.0,0.0,10.78399399128672,10.401619031264373,9.917363228229156,9.210285081925498,9.215032953428393,1.0
HC,20140528,3300,-9.778166227703004,0.0,0.0,0.0,10.753744995013335,10.31260056878093,9.882236759155424,9.18190583729028,9.399756337367627,0.0
HC,20140529,3300,-5.742300511945615,0.0,0.0,0.0,10.712456368173186,10.232896384321739,9.847102300517527,9.185964378523325,9.511975598356855,1.0
HC,20140530,3252,-16.23091637457484,0.0,0.0,0.0,10.639766788162405,10.125710754382824,9.757956495027145,9.210464873269252,9.415542963820023,0.0
HC,20140603,3246,0.0,0.0,0.0,0.0,10.567984847344604,10.014332049180439,9.78092556401792,9.202300228144523,9.25473387715575,1.0
HC,20140604,3260,-0.8332217965577371,0.0,0.0,0.0,10.506312862144242,9.955693567161383,9.702142620477602,9.2145347530224,9.013919215617703,1.0
