合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
JR.CZC,20131118,3039,49.99999964432172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JR.CZC,20131119,3064,49.99999976507362,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JR.CZC,20131120,3056,49.99999967573954,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JR.CZC,20131121,3061,49.99999970759573,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JR.CZC,20131122,3093,49.999999785075566,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-14.160154196368566,1.0
JR.CZC,20131125,3094,49.99999972670615,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,-12.237686671604044,1.0
JR.CZC,20131126,3110,49.99999972959785,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-10.556498847217265,1.0
JR.CZC,20131127,3100,49.99999970400025,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,-8.948178215732694,0.0
JR.CZC,20131128,3093,49.99999961587306,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,-7.769495742105668,0.0
JR.CZC,20131129,3100,49.99999970734179,-50.0,-50.0,0.0,0.0,0.0,0.0,-11.117053863013425,-7.504411144089638,1.0
JR.CZC,20131202,3097,49.99999968315423,-50.0,-50.0,0.0,0.0,0.0,0.0,-10.055797408951392,-7.3908049258446775,0.0
JR.CZC,20131203,3093,49.999999672174305,-50.0,-50.0,0.0,0.0,0.0,0.0,-9.512695790777435,-8.037092215840937,0.0
JR.CZC,20131204,3090,49.99999967215986,-50.0,-50.0,0.0,0.0,0.0,0.0,-8.878834453220385,-8.414074149587059,0.0
JR.CZC,20131205,3081,49.999999648948666,-50.0,-50.0,0.0,0.0,0.0,0.0,-8.505772153637444,-8.861511810723544,0.0
JR.CZC,20131206,3077,49.99999966068965,50.0,50.0,0.0,0.0,0.0,0.0,-8.810167362680732,-9.717026628657273,0.0
JR.CZC,20131209,3077,49.999999668336585,-50.0,-50.0,0.0,0.0,0.0,0.0,-9.133193999026815,-10.456006974871444,0.0
JR.CZC,20131210,3063,49.99999962806096,-50.0,-50.0,0.0,0.0,0.0,0.0,-10.022507839534603,-11.544325095740149,0.0
JR.CZC,20131211,3052,49.99999962783133,-50.0,-50.0,0.0,0.0,0.0,0.0,-10.91307109813684,-12.89532132989413,0.0
JR.CZC,20131212,3094,49.99999980392082,50.0,50.0,0.0,0.0,0.0,0.0,-10.894133218282178,-12.423858959809294,1.0
JR.CZC,20131213,3103,49.999999792075435,50.0,50.0,0.0,0.0,0.0,-10.599900284397068,-10.836877249846715,-11.473142742876313,1.0
JR.CZC,20131216,3093,49.999999656963894,-50.0,-50.0,0.0,0.0,0.0,-10.12388465152658,-10.912758419820245,-10.887805350829806,0.0
