合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
NI,20150327,100650,-10.38463989526381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NI,20150330,96820,-30.36114049328444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI,20150331,93840,-27.97268000224604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI,20150401,91270,-34.14711134441288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI,20150402,92550,17.804328126592733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.103371722163033,1.0
NI,20150403,95660,25.24886900640905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.100569948120967,1.0
NI,20150407,95950,3.13486788290448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.919232055648154,1.0
NI,20150408,93300,-27.156100259224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.801917748916551,0.0
NI,20150409,93880,0.5669335963276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37428598997876,1.0
NI,20150410,93180,-5.368826006896184,0.0,0.0,0.0,0.0,0.0,0.0,17.052136498200227,16.51144028145977,1.0
NI,20150413,93700,7.950982349024428,0.0,0.0,0.0,0.0,0.0,0.0,16.333899641035412,16.094010998376078,1.0
NI,20150414,92810,-12.329034222544985,0.0,0.0,0.0,0.0,0.0,0.0,15.9011667210421,15.418513256589634,0.0
NI,20150415,92640,2.8675285513600315,0.0,0.0,0.0,0.0,0.0,0.0,15.768468743236001,15.273241695972107,1.0
NI,20150416,94260,13.689942372362767,0.0,0.0,0.0,0.0,0.0,0.0,16.100568335158243,15.355752275374925,1.0
NI,20150417,95010,9.902303275264543,0.0,0.0,0.0,0.0,0.0,0.0,16.36948322090653,15.75190692766138,1.0
NI,20150420,95200,0.06202570285054065,0.0,0.0,0.0,0.0,0.0,0.0,16.320378572487346,16.073816089498848,1.0
NI,20150421,94900,-0.06202570285054065,0.0,0.0,0.0,0.0,0.0,0.0,16.208182731027552,16.52389710829513,1.0
NI,20150422,95750,4.246782769506353,0.0,0.0,0.0,0.0,0.0,0.0,16.473042274312178,17.186167772152075,1.0
NI,20150423,95600,-1.5440289948897714,0.0,0.0,0.0,0.0,0.0,0.0,16.65796821633241,17.46711246896436,1.0
NI,20150424,95700,6.328173374115052,0.0,0.0,0.0,0.0,0.0,18.215236222553642,16.92925882574579,17.610527287875076,1.0
NI,20150427,97990,34.95813110368205,0.0,0.0,0.0,0.0,0.0,18.07704855215377,17.379782387735613,18.176955539054887,1.0
NI,20150428,101420,31.054988799489962,0.0,0.0,0.0,0.0,0.0,18.316641269602727,18.257416640376604,19.44983711586832,1.0
NI,20150429,100500,-7.883143839915384,0.0,0.0,0.0,0.0,0.0,18.673672409073518,19.056887277580515,20.363758277134565,0.0
NI,20150430,101160,18.276092903621052,0.0,0.0,0.0,0.0,0.0,19.207704268710888,19.73904324801789,21.412469484382942,1.0
NI,20150504,105450,29.41687567421563,0.0,0.0,0.0,0.0,0.0,19.865998188333702,20.71189856446597,23.134744215980177,1.0
NI,20150505,106160,10.815170323498457,0.0,0.0,0.0,0.0,0.0,20.379195134390045,21.708410336685247,24.496259180788805,1.0
NI,20150506,109690,36.59889811647264,0.0,0.0,0.0,0.0,0.0,21.017943857315387,22.982034798871183,25.736497091786067,1.0
NI,20150507,111050,9.005827017761902,0.0,0.0,0.0,0.0,0.0,21.842243037894622,24.238558690545894,27.26098131097387,0.0
NI,20150508,110000,-12.211325559296505,0.0,0.0,0.0,0.0,0.0,22.585374315010995,25.408387774351713,28.50213251965316,0.0
NI,20150511,111060,7.757312045077249,0.0,0.0,0.0,0.0,22.5113585740974,23.39409374026205,26.608418382144013,29.218956323686253,1.0
NI,20150512,111270,7.534374464023571,0.0,0.0,0.0,0.0,22.81456567248567,24.171173677902946,27.59254873547825,29.851559218141023,0.0
NI,20150513,110780,-11.414975786765368,0.0,0.0,0.0,0.0,23.230552761041807,24.96445678994321,28.249383149030837,29.979409502597278,1.0
NI,20150514,107060,-24.791071256895968,0.0,0.0,0.0,0.0,23.649792792367247,25.617332299936663,28.728914395140862,29.492904415793017,0.0
NI,20150515,108540,-3.64749524142389,0.0,0.0,0.0,0.0,24.196239012941152,26.236095130094533,29.247899274110647,29.314204670437704,1.0
NI,20150518,108200,-3.2237703634118664,0.0,0.0,0.0,0.0,24.682678718767022,26.797962181562585,29.43040071896548,28.96509502310025,0.0
NI,20150519,106160,-15.553504149821382,0.0,0.0,0.0,0.0,25.004055100258398,27.268277587722977,29.43040071896548,28.31635145926396,0.0
NI,20150520,102340,-38.58717812876305,0.0,0.0,0.0,0.0,25.20552703695003,27.597282529268146,28.930626542918148,27.15535386836984,0.0
NI,20150521,100170,-23.307928396611985,0.0,0.0,0.0,0.0,25.43009320639081,27.793874831729198,28.1710541488561,26.109974226466466,0.0
NI,20150522,96710,1.8910983645483697,0.0,0.0,0.0,0.0,25.52442062477715,27.844571552827873,27.17174556626173,24.217806319340927,0.0
NI,20150525,98110,-22.43985978832919,0.0,0.0,0.0,25.83935603861204,25.687359945603166,27.95312124081835,26.20125708094389,22.56261248410829,0.0
NI,20150526,99660,16.06707699044115,0.0,0.0,0.0,25.814887788997726,25.88042519598353,28.025768920778432,25.330312500184466,21.461950777978306,1.0
NI,20150527,99200,-7.048856736703257,0.0,0.0,0.0,25.876010058792076,26.088605069105512,27.931806059947405,24.43468951162632,20.89776022216428,1.0
NI,20150528,97740,14.692541518348689,0.0,0.0,0.0,25.979563890892905,26.25611709040369,27.812029192525568,23.656782428052736,20.44214471863837,1.0
NI,20150529,96250,-14.109918827766712,0.0,0.0,0.0,26.115165314681658,26.321290028909107,27.59652623938911,22.614182522434557,20.351835267038158,0.0
