合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
PB,20110324,18830,48.5533062431901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PB,20110325,18860,-11.513948435228386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,20110328,18500,-24.42680720122654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,20110329,18485,-16.208126376918877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,20110330,18695,13.847601544883167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.41731745092898,1.0
PB,20110331,18580,-12.24831463041732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.20698007055191,0.0
PB,20110401,18570,1.7785618384712905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.961952627434357,0.0
PB,20110406,18675,39.007087080524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.11333724065446,1.0
PB,20110407,19035,6.337302570251103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571147183054318,0.0
PB,20110408,19005,1.1587896229000592,0.0,0.0,0.0,0.0,0.0,0.0,28.733480058141648,28.822611980910462,1.0
PB,20110411,19145,15.67961160347082,0.0,0.0,0.0,0.0,0.0,0.0,28.85902075176898,29.27539415238411,1.0
PB,20110412,18790,-33.3887086076022,0.0,0.0,0.0,0.0,0.0,0.0,28.830306963560492,29.45596941768757,0.0
PB,20110413,18540,-32.20372396079026,0.0,0.0,0.0,0.0,0.0,0.0,28.847621222066394,29.343859226079232,0.0
PB,20110414,18540,-4.740866902660535,0.0,0.0,0.0,0.0,0.0,0.0,28.871444985077506,28.942779340712423,0.0
PB,20110415,18505,5.340154190075367,0.0,0.0,0.0,0.0,0.0,0.0,28.790303610854664,28.530632706444763,0.0
PB,20110418,18525,-7.680316254712949,0.0,0.0,0.0,0.0,0.0,0.0,28.7665882008647,28.0206178162163,1.0
PB,20110419,17950,-40.9547854268455,0.0,0.0,0.0,0.0,0.0,0.0,28.484954200236416,27.259569449264266,0.0
PB,20110420,18065,-3.6526554148867376,0.0,0.0,0.0,0.0,0.0,0.0,28.21066670575489,26.817775620286497,1.0
PB,20110421,18140,9.618601256115753,0.0,0.0,0.0,0.0,0.0,0.0,27.81928706614588,26.444317090333453,1.0
PB,20110422,17880,-25.153454415077785,0.0,0.0,0.0,0.0,0.0,28.533076192856978,27.30941124960408,25.84021659922729,0.0
PB,20110425,17760,-15.120990975241275,0.0,0.0,0.0,0.0,0.0,28.28680653609163,26.67401715437025,25.08372892870297,0.0
PB,20110426,17420,-34.09468750631836,0.0,0.0,0.0,0.0,0.0,27.944827385244125,25.999499226165486,24.51575782523517,0.0
PB,20110427,17420,13.035196774994715,0.0,0.0,0.0,0.0,0.0,27.6790826780118,25.42940976799551,23.82109021485041,0.0
PB,20110428,17555,12.342989302353061,0.0,0.0,0.0,0.0,0.0,27.450764084815702,24.927038434564732,23.1920214238946,1.0
PB,20110429,17530,-17.604855202959598,0.0,0.0,0.0,0.0,0.0,27.16698747157311,24.422194095171193,22.804371710658106,0.0
PB,20110503,17460,-6.903463867947743,0.0,0.0,0.0,0.0,0.0,26.88841797704595,23.862757727656685,22.465599343183527,0.0
PB,20110504,17440,-5.664122095415743,0.0,0.0,0.0,0.0,0.0,26.604824744974106,23.580822150478998,22.48877835295046,0.0
PB,20110505,16450,-45.95304671655242,0.0,0.0,0.0,0.0,0.0,26.00726274770417,22.628894411689227,21.2885699478758,0.0
PB,20110506,16190,-48.98002817982554,0.0,0.0,0.0,0.0,0.0,25.23867935948985,21.446488912602987,19.549710592204907,0.0
PB,20110509,16330,27.15032342938638,0.0,0.0,0.0,0.0,27.03148371460311,24.508765507125307,20.481548253445297,17.991846910774413,1.0
PB,20110510,16465,5.334960089927995,0.0,0.0,0.0,0.0,26.610339539980263,23.77998051637823,19.663981394011646,16.679161075601822,0.0
PB,20110511,16595,23.63459095783684,0.0,0.0,0.0,0.0,26.20715470348536,23.16457141757537,19.131215041056038,15.554214199538537,1.0
PB,20110512,16220,-41.33295505839533,0.0,0.0,0.0,0.0,25.77789500036643,22.480030168317512,18.33459529674171,15.225043583855937,0.0
PB,20110513,16340,27.644612420259065,0.0,0.0,0.0,0.0,25.372561572308054,21.827453284516626,17.529792509352642,15.441026669459973,1.0
PB,20110516,16460,-2.0063734890452736,0.0,0.0,0.0,0.0,24.95528495903397,21.217037890281347,16.817444763498912,15.62591124273102,0.0
PB,20110517,16230,-10.06897198911323,0.0,0.0,0.0,0.0,24.503126425792107,20.516486556459128,15.978533627195064,15.290165392655881,0.0
PB,20110518,16620,27.758050336049767,0.0,0.0,0.0,0.0,24.132963546965126,20.100765258572352,15.424919341586588,15.325164214189739,1.0
PB,20110519,16925,34.40504741070394,0.0,0.0,0.0,0.0,23.807256132603683,19.751232145550613,15.757426261105095,16.309028302122353,1.0
PB,20110520,16850,-13.459307235949753,0.0,0.0,0.0,0.0,23.406420978401798,19.35366750719625,16.22423225336385,17.012741788246192,0.0
PB,20110523,16565,-19.144353430878976,0.0,0.0,0.0,25.565087593472338,22.945570657608513,18.932415397598408,16.39095943945301,17.157988132429963,0.0
PB,20110524,16525,-11.1790451323077,0.0,0.0,0.0,25.244200399712238,22.45015621130574,18.530785099511803,16.433309568452653,17.56921575684379,0.0
PB,20110525,16790,27.52687330783904,0.0,0.0,0.0,24.959593987664874,22.06561852822766,18.32391028080012,16.568388558090845,17.798601416192923,1.0
PB,20110526,17050,27.666220948747448,0.0,0.0,0.0,24.75740798529461,21.777178740444878,18.203889414905433,17.14345090569893,17.962157607285675,1.0
PB,20110527,17040,5.155959763398329,0.0,0.0,0.0,24.554715472412948,21.485168850310487,18.037763917347704,17.623013944391968,18.21119582915368,0.0
PB,20110530,17030,-2.584905562348119,0.0,0.0,0.0,24.323498825622774,21.19571192355005,17.87579191852349,18.00944714160815,18.82611672584305,0.0
PB,20110531,16895,-19.94640987590516,0.0,0.0,0.0,24.084303403572164,20.871852873332557,17.69017633277899,18.465313841100155,19.315836039183125,0.0
PB,20110601,16910,-3.901370578100988,0.0,0.0,0.0,23.847597208819,20.656329671183926,17.515600035038915,18.65967392027088,19.471822265517133,0.0
PB,20110602,16780,-18.3350677521162,0.0,0.0,0.0,23.575786047338728,20.38893621411421,17.630755273545674,18.563383658298434,19.122704259326863,0.0
PB,20110603,16675,3.2984659688097366,0.0,0.0,0.0,23.241804500600733,20.082330293705933,17.802349659669602,18.445968295844427,18.645238268164288,0.0
PB,20110607,16845,19.428171997299646,0.0,0.0,0.0,22.937055718946237,19.863397137296854,17.98173151731405,18.634761601917898,18.403980943969103,1.0
PB,20110608,16865,4.5610603877182,0.0,0.0,0.0,22.617365209689513,19.67229609924371,18.11981383391952,18.86355868736884,18.364550111263455,0.0
PB,20110609,16985,1.2965567433107807,0.0,0.0,0.0,22.358196513538203,19.577947404957442,18.252618058418488,18.992029669439162,18.462406297575452,1.0
PB,20110610,16990,2.590982719190251,0.0,0.0,0.0,22.130655109293887,19.484581233660364,18.51853797190401,18.95306623604091,18.737460441285574,1.0
PB,20110613,16835,-16.5069098274733,0.0,0.0,0.0,21.876778477745233,19.327845170397424,18.689331527544155,18.818621079636106,18.949032778202483,0.0
PB,20110614,16820,-6.518255264464173,0.0,0.0,0.0,21.623929605826998,19.172582918654683,18.81272778410134,18.68045778049739,18.916264022680366,0.0
PB,20110615,16955,13.990095388077409,0.0,0.0,0.0,21.389730927033302,19.06231818089697,19.06152124618598,18.719961942533985,19.033241039455746,1.0
PB,20110616,16680,-27.17882807715789,0.0,0.0,0.0,21.18884317909385,18.893349824289192,19.081980182437874,18.566426211481872,18.632958968686783,0.0
PB,20110617,16600,-12.398547062878347,0.0,0.0,0.0,20.95691193791147,18.92854693350532,18.972275299700755,18.444823044616683,18.116040217321128,0.0
PB,20110620,16455,-21.007956145968464,0.0,0.0,0.0,20.68817217216696,18.99172792024113,18.8373305984812,18.294224895595974,17.60167546701011,0.0
PB,20110621,16530,24.25755929098453,0.0,0.0,23.781191132225747,20.469441771617696,19.038966232665548,18.82524524621812,18.080478895140732,17.20791476254658,1.0
PB,20110622,16685,5.918577114250888,0.0,0.0,23.581296110463487,20.294946213234578,19.09025008399638,18.880192900050762,17.959072906022076,16.844673161251336,0.0
PB,20110623,16715,5.908032550533669,0.0,0.0,23.38144789785908,20.178149913603423,19.11800728422726,18.85479186335732,17.7779590108199,16.892415133379007,1.0
PB,20110624,16860,21.66996946151072,0.0,0.0,23.22560656808403,20.08594845334146,19.26730923475668,18.791700382770472,17.691262820429856,17.24509162334607,1.0
PB,20110627,16750,-16.585686525277634,0.0,0.0,23.0589196910918,19.95342235020641,19.362779296725137,18.694702974181386,17.633762960274964,17.64809087874677,0.0
PB,20110628,16820,6.518255264464166,0.0,0.0,22.881635869852147,19.836593791570788,19.44579495149044,18.624595247886575,17.633762960274964,18.03965780646969,1.0
PB,20110629,16880,4.557024994907814,0.0,0.0,22.71969777422956,19.74093167829028,19.59651267955377,18.61956539418881,17.583625950043313,18.299183479480504,1.0
PB,20110630,17050,22.5433797993785,0.0,0.0,22.576009225429853,19.677069823730122,19.6934932360892,18.666048427055586,17.83193776754071,18.738515300908762,1.0
PB,20110701,17125,5.767586533562423,0.0,0.0,22.430963879322945,19.793054357258423,19.73768470845154,18.78078533419389,18.182931970720915,19.08027863169229,0.0
PB,20110704,17205,16.172264848123035,0.0,0.0,22.264827324085523,19.968448949836738,19.81602393122772,18.95688563642375,18.682954569716046,19.6640548670302,1.0
PB,20110705,17215,-2.5571653066192326,0.0,0.0,22.10158549823608,20.119969849968,19.96124244469384,19.07842840788237,19.134798564817586,20.16472579854116,0.0
PB,20110706,17250,2.5519839453233217,0.0,0.0,21.930609482715425,20.25299075950322,20.122862889569898,19.20430091560364,19.501797751090702,20.627903601602892,1.0
PB,20110707,17225,0.0,0.0,0.0,21.784785607979813,20.359015259470997,20.21848554522198,19.282254425207128,19.831335018708643,20.844100035631186,0.0
PB,20110708,17300,10.690700036241283,0.0,0.0,21.667412955977497,20.542898689575523,20.27238328427346,19.38236346691421,20.111056071924807,21.057726113409732,1.0
PB,20110711,17070,-19.759624748876114,0.0,0.0,21.525758752506064,20.6676468706752,20.278935308905663,19.459757356199773,20.317454566330824,20.891579209648047,0.0
PB,20110712,17070,-11.451008649638446,0.0,0.0,21.3868025429973,20.77113025863184,20.287675050184628,19.54205942394391,20.477676316061693,20.712731610699507,0.0
PB,20110713,17310,37.12421457027318,0.0,0.0,21.27098019203683,20.953647342673946,20.377742449555573,19.6564127501496,20.747910308747493,20.785638011011642,1.0
