合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
PM.CZC,20120117,2219,19.023316059057848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PM.CZC,20120118,2219,-0.03153792583466242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM.CZC,20120119,2219,-0.03153792583466242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM.CZC,20120120,2204,19.054384014401137,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM.CZC,20120130,2219,19.222339462791254,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-24.19294178023864,1.0
PM.CZC,20120131,2200,19.094341345345033,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-24.47582063692143,0.0
PM.CZC,20120201,2204,19.182633883701232,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-24.698876414009035,1.0
PM.CZC,20120202,2202,19.174625102423164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.949931713607693,0.0
PM.CZC,20120203,2206,19.222620548205853,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-24.920784466554583,1.0
PM.CZC,20120206,2220,19.285857977486614,50.0,50.0,0.0,0.0,0.0,0.0,-24.81169397772531,-24.905784341766296,1.0
PM.CZC,20120207,2208,19.110638196885205,50.0,50.0,0.0,0.0,0.0,0.0,-24.894285628244628,-24.78921638861249,0.0
PM.CZC,20120208,2215,19.190562219912213,50.0,50.0,0.0,0.0,0.0,0.0,-24.9244875047325,-24.626689180070013,1.0
PM.CZC,20120209,2205,19.126575064314448,50.0,50.0,0.0,0.0,0.0,0.0,-25.029021845341678,-24.582798593157285,0.0
PM.CZC,20120210,2200,19.086307942685593,50.0,50.0,0.0,0.0,0.0,0.0,-25.058256812062048,-24.67045058263473,0.0
PM.CZC,20120213,2208,19.23056589855841,0.0,0.0,0.0,0.0,0.0,0.0,-25.140418423050328,-24.849130558672066,1.0
PM.CZC,20120214,2206,19.16662267043411,50.0,50.0,0.0,0.0,0.0,0.0,-25.09654685227025,-24.8784392945902,0.0
PM.CZC,20120215,2199,19.15053863070928,50.0,50.0,0.0,0.0,0.0,0.0,-25.13299782429197,-25.11224726939959,0.0
PM.CZC,20120216,2200,19.18264844429018,-50.0,-50.0,0.0,0.0,0.0,0.0,-25.147555399000048,-25.18441894527729,1.0
PM.CZC,20120217,2200,19.174625102423164,50.0,50.0,0.0,0.0,0.0,0.0,-25.191379053368106,-25.18441894527729,0.0
PM.CZC,20120220,2203,19.190649021360358,50.0,50.0,0.0,0.0,0.0,-26.872794334844933,-25.317436063642763,-25.256917478944956,1.0
PM.CZC,20120221,2201,19.1666044903148,50.0,50.0,0.0,0.0,0.0,-26.941470297721445,-25.36852736683971,-25.329010993246282,0.0
PM.CZC,20120222,2204,19.19064175180884,50.0,50.0,0.0,0.0,0.0,-26.998783023972454,-25.44950299170907,-25.257210775113712,1.0
PM.CZC,20120223,2201,19.150560521296942,50.0,50.0,0.0,0.0,0.0,-27.067249381797552,-25.478532825693414,-25.24286671046553,0.0
PM.CZC,20120224,2201,19.1666044903148,50.0,50.0,0.0,0.0,0.0,-27.078479737105212,-25.47131404422211,-25.22851820466481,0.0
PM.CZC,20120227,2201,19.1666044903148,50.0,50.0,0.0,0.0,0.0,-27.146812897128125,-25.522234031584087,-25.25729896656153,0.0
PM.CZC,20120228,2201,19.174625102423164,50.0,50.0,0.0,0.0,0.0,-27.14309130193016,-25.558497272702798,-25.25729896656153,0.0
PM.CZC,20120229,2238,19.46585632724772,50.0,50.0,0.0,0.0,0.0,-27.011154228987518,-25.266439164326115,-24.74692969775757,1.0
PM.CZC,20120301,2223,19.277779343525523,50.0,50.0,0.0,0.0,0.0,-26.93076387146104,-25.095629209289328,-24.4194489181396,0.0
