合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
RU,20100104,24330,10.12828509883942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RU,20100105,24465,6.525754341457947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RU,20100106,24635,8.566041537763459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RU,20100107,24400,7.8057267815127105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,20100108,24500,-3.2583473745644085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.720910917086847,0.0
RU,20100111,25480,26.529386363159677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.096940546591902,1.0
RU,20100112,25660,7.644449130532074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.485787937853493,0.0
RU,20100113,24910,-17.67951477437282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.575452484161493,0.0
RU,20100114,25555,13.581048010906963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.950345829401407,1.0
RU,20100115,24820,-19.2397792457337,0.0,0.0,0.0,0.0,0.0,0.0,11.392807730606046,12.05444281242768,0.0
RU,20100118,24575,-20.530864431250006,0.0,0.0,0.0,0.0,0.0,0.0,11.432890289129439,11.761210509035935,0.0
RU,20100119,24800,11.570415751377027,0.0,0.0,0.0,0.0,0.0,0.0,11.487557664215087,11.482680586170387,1.0
RU,20100120,25235,16.429644952259665,0.0,0.0,0.0,0.0,0.0,0.0,11.585038503833244,11.588235402800649,1.0
RU,20100121,24955,-3.6096199733813705,0.0,0.0,0.0,0.0,0.0,0.0,11.6754370562235,11.393776297668538,0.0
RU,20100122,24105,-27.05204879060347,0.0,0.0,0.0,0.0,0.0,0.0,11.610814353357668,11.159317072821061,0.0
RU,20100125,24305,-2.644319550755249,0.0,0.0,0.0,0.0,0.0,0.0,11.419794039346854,11.070646871093755,1.0
RU,20100126,24015,-5.061760256322124,0.0,0.0,0.0,0.0,0.0,0.0,11.15173905338289,10.81243110134723,0.0
RU,20100127,23655,-21.07374162397288,0.0,0.0,0.0,0.0,0.0,0.0,10.945471389048619,10.291581381094927,0.0
RU,20100128,22760,-32.198140601860715,0.0,0.0,0.0,0.0,0.0,0.0,10.484549273817414,9.560212038472393,0.0
RU,20100129,22845,2.6475686952985527,0.0,0.0,0.0,0.0,0.0,10.437429345402094,10.156688321288662,9.137062200595297,0.0
RU,20100201,22250,-22.673405177227146,0.0,0.0,0.0,0.0,0.0,10.263772210374334,9.768168166986849,8.443446513956651,0.0
RU,20100202,22875,20.983799476716346,0.0,0.0,0.0,0.0,0.0,10.13137540813502,9.447128076444187,8.05806225954371,1.0
RU,20100203,23040,9.124425840315098,0.0,0.0,0.0,0.0,0.0,9.998680697352038,9.081527895310934,7.8496178852560226,1.0
RU,20100204,22850,-10.045138671131667,0.0,0.0,0.0,0.0,0.0,9.869328134111237,8.729245300828326,7.880290478719901,0.0
RU,20100205,22000,-36.25917125330689,0.0,0.0,0.0,0.0,0.0,9.65974734900118,8.373229762184977,7.59121512459263,0.0
RU,20100208,21965,-0.3506748584938961,0.0,0.0,0.0,0.0,0.0,9.366145782551826,7.976998761343005,7.4933819369462995,1.0
RU,20100209,21650,0.3628098400709305,0.0,0.0,0.0,0.0,0.0,9.030413655917236,7.574610786601192,7.07289101230554,0.0
RU,20100210,22555,26.163528209928387,0.0,0.0,0.0,0.0,0.0,8.832934058136724,7.387579625216709,6.906899553132072,1.0
RU,20100211,23270,34.25786617053376,0.0,0.0,0.0,0.0,0.0,8.642561439480383,7.474393493763402,7.050314324448478,1.0
