合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
SN,20150327,115150,-14.19628507412287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,20150330,115600,-21.561337480042717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,20150331,115960,1.0505049285453154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,20150401,117070,7.244374142292976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,20150402,117970,3.8299356307480608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8707217722561817,1.0
SN,20150403,118560,5.9959656965374535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.487974565514662,1.0
SN,20150407,118270,-4.698143375725927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.188092759716433,1.0
SN,20150408,117150,-6.361093426535916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.054436523822531,0.0
SN,20150409,116500,-14.736620566094766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1184738455402723,0.0
SN,20150410,115320,-19.25697467884645,0.0,0.0,0.0,0.0,0.0,0.0,-2.5635230918198038,-2.4160626573017443,0.0
SN,20150413,115270,-1.6603873361516506,0.0,0.0,0.0,0.0,0.0,0.0,-2.5568147283743845,-2.785411038058463,1.0
SN,20150414,112300,-28.93458489772661,0.0,0.0,0.0,0.0,0.0,0.0,-2.740943132019716,-3.453735208906324,0.0
SN,20150415,112320,-2.3229880896838324,0.0,0.0,0.0,0.0,0.0,0.0,-2.9440256776060987,-3.993420864959319,1.0
SN,20150416,111010,-11.590594497690036,0.0,0.0,0.0,0.0,0.0,0.0,-3.281840529242622,-4.605086321071745,0.0
SN,20150417,109300,-24.747606124182077,0.0,0.0,0.0,0.0,0.0,0.0,-3.7642967806698655,-5.272937964170055,0.0
SN,20150420,111120,11.42938042697432,0.0,0.0,0.0,0.0,0.0,0.0,-4.178629975906404,-5.733231216658069,1.0
SN,20150421,111100,-5.930874636874031,0.0,0.0,0.0,0.0,0.0,0.0,-4.577431067446512,-5.865857441832901,1.0
SN,20150422,112190,20.691867291753525,0.0,0.0,0.0,0.0,0.0,0.0,-4.853096868537264,-5.880236164033307,1.0
SN,20150423,112960,8.561435363299232,0.0,0.0,0.0,0.0,0.0,0.0,-5.0497344587706365,-5.664586833482836,1.0
SN,20150424,112750,0.0,0.0,0.0,0.0,0.0,0.0,-3.5341249866181954,-5.192285113275538,-5.283377099251937,1.0
SN,20150427,114400,38.14331024216745,0.0,0.0,0.0,0.0,0.0,-3.5550709377240817,-5.240581118596083,-4.919326208991954,1.0
SN,20150428,116500,17.476680691308815,0.0,0.0,0.0,0.0,0.0,-3.5298983232614702,-5.007523175483208,-4.318185842020951,0.0
SN,20150429,115110,-13.633405306436643,0.0,0.0,0.0,0.0,0.0,-3.553659143794341,-4.852749529733352,-3.9927227884813874,0.0
SN,20150430,115050,8.112209724592475,0.0,0.0,0.0,0.0,0.0,-3.610151760247767,-4.62875809159268,-3.759475918450647,1.0
SN,20150504,117360,20.76195992537201,0.0,0.0,0.0,0.0,0.0,-3.627234712773181,-4.181410380713636,-3.2438933653678323,1.0
SN,20150505,118000,1.32720749958073,0.0,0.0,0.0,0.0,0.0,-3.64292328228948,-3.7983962478307447,-2.8403398030092366,1.0
SN,20150506,119500,37.1891733624428,0.0,0.0,0.0,0.0,0.0,-3.60845260998623,-3.3299392598023303,-2.5033018918394703,1.0
SN,20150507,121500,24.443767193322888,0.0,0.0,0.0,0.0,0.0,-3.48651580689112,-2.8094303757305497,-1.7848905851415109,0.0
SN,20150508,120020,-32.30119180272873,0.0,0.0,0.0,0.0,0.0,-3.3878692246656854,-2.4144024409497793,-1.2259319526696402,0.0
SN,20150511,120710,5.175994134937746,0.0,0.0,0.0,0.0,-2.8668018963060082,-3.236820410908834,-1.9686829654384184,-0.8486421064574969,1.0
SN,20150512,119690,-9.364102995908313,0.0,0.0,0.0,0.0,-2.781216846736477,-3.1129574902428203,-1.6721634328581059,-0.6582813104007315,0.0
SN,20150513,120000,-6.35449308435382,0.0,0.0,0.0,0.0,-2.698234613526012,-2.897432305587188,-1.4757287235846237,-0.6019364095449262,1.0
SN,20150514,117800,-1.7723581143690763,0.0,0.0,0.0,0.0,-2.6635502147813312,-2.7441458843012327,-1.3249374328201426,-1.0187935426307888,0.0
SN,20150515,118610,-18.242073811973814,0.0,0.0,0.0,0.0,-2.6344971493314238,-2.531606424060925,-1.1252878471278152,-1.1776183050363898,1.0
SN,20150518,118030,3.093495043476388,0.0,0.0,0.0,0.0,-2.6333650387705845,-2.287802757862764,-1.087680119575403,-1.4794383755010827,0.0
SN,20150519,118070,-6.7482271345050995,0.0,0.0,0.0,0.0,-2.6426123679352926,-2.0933484377379514,-1.0837499634997199,-1.6618090071849425,0.0
SN,20150520,114160,-38.040694528908624,0.0,0.0,0.0,0.0,-2.7200295703495385,-2.007944607434005,-1.3831836755543847,-2.317973808371079,0.0
SN,20150521,115220,32.80753620676297,0.0,0.0,0.0,0.0,-2.756382866305444,-1.9232229509962264,-1.73559367958552,-2.607581591109259,1.0
SN,20150522,116900,4.605085820635281,0.0,0.0,0.0,0.0,-2.7488447272614915,-1.812863189498913,-1.9106799800239287,-2.7996604043750537,0.0
SN,20150525,116800,-0.4470208530001543,0.0,0.0,0.0,-2.723435659635605,-2.720970665975983,-1.699431069296068,-2.130071919162312,-2.9377490548108085,0.0
SN,20150526,117600,3.547226437702413,0.0,0.0,0.0,-2.6892810929875215,-2.6770697863289072,-1.6096627887368982,-2.247320355674951,-2.9905222475513757,1.0
SN,20150527,116200,-27.250702085383875,0.0,0.0,0.0,-2.680920097859598,-2.6037753574827462,-1.6180826068730454,-2.460362946370914,-2.76201355644978,0.0
SN,20150528,115720,-1.6539343008434813,0.0,0.0,0.0,-2.6842643021178247,-2.539889369798076,-1.6009794691729553,-2.5768351530724587,-2.7059713646173265,1.0
SN,20150529,115680,-6.589666855954299,0.0,0.0,0.0,-2.7036428374420964,-2.452225669255391,-1.583316301147086,-2.74091564542956,-2.842823906447869,0.0
SN,20150601,115630,-4.65543593554213,0.0,0.0,0.0,-2.73627631162244,-2.333572319475224,-1.631876579445887,-2.875248232970357,-2.974026495617963,1.0
SN,20150602,115780,5.990224340007068,0.0,0.0,0.0,-2.7750552354785896,-2.2460547566383298,-1.6942089655155002,-3.0034046976849713,-3.178144924745048,1.0
SN,20150603,115020,-0.4539384589740792,0.0,0.0,0.0,-2.8203651148272897,-2.172468216027326,-1.820007876128351,-2.95540125121007,-3.3102971884478687,0.0
SN,20150604,114500,-19.115631187514992,0.0,0.0,0.0,-2.8572779902520717,-2.1290780111191907,-2.016592663992462,-2.9956046609512583,-3.446810393238984,0.0
SN,20150605,114260,-7.570117246680533,0.0,0.0,0.0,-2.888462734993652,-2.104647465736804,-2.1782343347029425,-3.143110838777332,-3.6056234199272548,1.0
SN,20150608,113910,-4.118005631096239,0.0,0.0,0.0,-2.9080732724818006,-2.0828566008533755,-2.3690211987562364,-3.304492123371596,-3.7978609893341972,1.0
SN,20150609,114710,12.098080353041807,0.0,0.0,0.0,-2.9158655185794937,-2.0770226437735886,-2.508722146118849,-3.4659610369972498,-3.9174786419190255,1.0
SN,20150610,114850,1.3635949344038991,0.0,0.0,0.0,-2.880453372793575,-2.1081157820345666,-2.6531833980162034,-3.541320849352303,-3.9364730133649246,1.0
SN,20150611,115300,3.918342872406392,0.0,0.0,0.0,-2.8390530696119716,-2.1045373006113763,-2.723256547629873,-3.56476345468068,-3.847084366720544,1.0
SN,20150612,113520,-19.805397842335136,0.0,0.0,0.0,-2.804266890659612,-2.1333181307273184,-2.8658079961872285,-3.685165875714944,-3.9296557488973822,0.0
SN,20150615,112810,-11.262816229697592,0.0,0.0,0.0,-2.7557319640591587,-2.2189784779914987,-3.0118567361767603,-3.8422215549542287,-4.052266487750877,1.0
SN,20150616,111700,-17.051670115977444,0.0,0.0,0.0,-2.7477051463846958,-2.3375150967802654,-3.1898909079218924,-4.0691711136135424,-4.387470468699013,0.0
SN,20150617,111210,-8.694021482363091,0.0,0.0,0.0,-2.7461835672329045,-2.4935226303265448,-3.272071209204228,-4.2807806695463455,-4.792286664399561,1.0
SN,20150618,111820,9.405558158177364,0.0,0.0,0.0,-2.7513099133553425,-2.6758524184438883,-3.366895856495475,-4.429576573337472,-5.179170861998743,1.0
SN,20150619,112470,18.335743429295206,0.0,0.0,0.0,-2.7581072754367137,-2.818008746398725,-3.4906146782303864,-4.528959894345832,-5.2957142916999445,1.0
SN,20150623,113360,8.231430341993827,0.0,0.0,-2.790886010787617,-2.749640476556607,-2.956469490830024,-3.5867162540027664,-4.5595044030238725,-5.234664032810613,1.0
SN,20150624,112500,-7.990500252966656,0.0,0.0,-2.8147339961333198,-2.7760279139487243,-3.0917643916554454,-3.7291322366037387,-4.682200344427934,-5.145991785910034,0.0
SN,20150625,109470,-22.10046670425768,0.0,0.0,-2.869768215692588,-2.8735426777440907,-3.289435966599456,-3.916360083039408,-4.979929367576865,-5.338145257552114,0.0
SN,20150626,109800,-20.14038582921085,0.0,0.0,-2.9250983784459166,-2.947134101558582,-3.439421720588207,-4.080975033810333,-5.284215251638869,-5.561281635765312,0.0
SN,20150629,108560,-9.37101855461676,0.0,0.0,-3.001497994555777,-3.036950083353055,-3.62765531353574,-4.2786195784840695,-5.557599421957043,-5.9923834173527775,0.0
SN,20150630,105740,-41.90408900446758,0.0,0.0,-3.111021944614386,-3.1975256221508417,-3.8569833189017686,-4.5521132930212005,-5.945244992339113,-6.8283851263109625,0.0
SN,20150701,104010,-7.81403700576972,0.0,0.0,-3.2410856310537004,-3.3904826726163293,-4.118657197731031,-4.87665488155571,-6.3647182595615055,-7.753217922117813,0.0
SN,20150702,108560,24.764376362321556,0.0,0.0,-3.328272222473707,-3.542198702943871,-4.223035002906387,-5.055474482941391,-6.509882989703172,-7.852344646259155,1.0
SN,20150703,109390,16.955900720565396,0.0,0.0,-3.397941377857194,-3.710351578502639,-4.331857887311487,-5.196910420894341,-6.643128669658169,-7.897051194015034,1.0
SN,20150706,106510,-35.74767063619021,0.0,0.0,-3.487310793992137,-3.8972534257546836,-4.525390199413066,-5.410567726902259,-6.9687350473348735,-8.119276261443773,0.0
SN,20150707,106800,2.6055420468378827,0.0,0.0,-3.5634656443424646,-4.089726584315579,-4.711601690184615,-5.6064452773385085,-7.327028776499957,-8.004808514942013,1.0
SN,20150708,103710,-44.68794590057119,0.0,0.0,-3.666372221761669,-4.309852258348357,-4.969302355816623,-5.908269483824448,-7.803782436410202,-8.036964709527801,0.0
SN,20150710,106500,32.378213526467576,0.0,0.0,-3.7180242618117565,-4.496321335258172,-5.149536571534561,-6.137994668685786,-7.964651388339702,-8.260107196149349,0.0
SN,20150714,108100,34.9232748192551,0.0,0.0,-3.7556751265076898,-4.630271564939989,-5.2912396111388285,-6.336347050911763,-8.056899796486782,-8.400148718633309,1.0
SN,20150715,108100,3.8580280678756433,0.0,0.0,-3.781600007389983,-4.775423082997102,-5.432127294306851,-6.48532221685835,-8.081815645536658,-8.228172164872802,1.0
SN,20150716,106810,-4.06660843419904,0.0,0.0,-3.8037008029228265,-4.9300513129124965,-5.595739568094245,-6.649768040334577,-8.024180861359618,-8.227091539044892,0.0
SN,20150717,109320,15.947905992283866,0.0,0.0,-3.819759747393825,-5.050884702137665,-5.715842952766501,-6.71508213748379,-7.737644333908647,-7.620559095584056,1.0
SN,20150720,111100,24.274848800165454,0.0,0.0,-3.819759747393825,-5.093081489609588,-5.78877507167774,-6.718104559633815,-7.599295030335426,-7.118764196389173,1.0
SN,20150721,110790,-7.650078514780737,0.0,0.0,-3.8322823569006417,-5.154193360126946,-5.857735284756608,-6.7464116859572,-7.522952402946395,-6.8242973929205775,1.0
SN,20150722,108560,-14.420235570496994,0.0,0.0,-3.871573771317408,-5.269111996260342,-5.963396095596912,-6.853651874934408,-7.411814684458939,-6.774038007143176,0.0
SN,20150723,108060,-26.00660826773163,0.0,0.0,-3.9134185092547678,-5.389426338805343,-6.07170037154701,-6.998979807834664,-7.343494419941906,-6.637731575235442,1.0
SN,20150724,108120,4.337682524935424,0.0,0.0,-3.9695334852688617,-5.519952847466179,-6.193745432264017,-7.118916302958097,-7.105272474299326,-6.7690243707959326,1.0
SN,20150727,107030,7.276719804670918,0.0,0.0,-4.0541861233236745,-5.645880327579299,-6.338336227684764,-7.185384846455007,-7.076549231469009,-7.214081604355293,0.0
SN,20150728,107920,-6.263614328873678,0.0,0.0,-4.118434444386601,-5.753010589393512,-6.474901256277717,-7.236663585917839,-7.086337941966433,-7.5276067806287585,1.0
SN,20150729,110800,35.162050678220666,0.0,0.0,-4.156512519572544,-5.820198668163776,-6.525284966572955,-7.175446338469868,-6.938947215700793,-7.282753527145637,1.0
SN,20150730,110120,-6.139481279583094,0.0,0.0,-4.221436035324267,-5.895991568624248,-6.575038014599159,-7.056221347636907,-6.758561815044025,-7.057637646167649,0.0
SN,20150731,109280,-11.158144499290366,0.0,0.0,-4.299589712336108,-5.985313975092317,-6.619700380924712,-6.913200706499758,-6.76074718039569,-6.9308893935538185,1.0
SN,20150803,108720,2.5595918173279912,0.0,0.0,-4.39621860328554,-6.0717584927182235,-6.665593233192311,-6.908832869319505,-6.890915395292418,-6.746494101089461,0.0
SN,20150804,107500,-31.40224970827736,0.0,0.0,-4.521658867473847,-6.167605029783658,-6.7451306199096726,-6.960395913127066,-7.070405362412416,-6.792314953789727,0.0
SN,20150805,106900,-8.084353826826295,0.0,0.0,-4.639019926359701,-6.2682503654891155,-6.847637771699708,-6.949806340982015,-7.160596495270128,-7.218538657299818,0.0
SN,20150806,106390,-12.234511079144482,0.0,0.0,-4.767052877225865,-6.370944964805537,-6.975882041627848,-6.96093543545647,-7.25116910336061,-7.624797023097108,0.0
SN,20150807,106790,3.255928667003936,0.0,0.0,-4.882327552630478,-6.479188600657679,-7.080846789794527,-6.877662464589107,-7.323320475225429,-7.8954141121945085,1.0
SN,20150810,106510,-1.9600830826855,0.0,0.0,-5.002818289059256,-6.593097209864688,-7.1350297585847064,-6.877390999867912,-7.3514700045612145,-8.135025110473519,1.0
SN,20150811,107260,25.535797456062713,0.0,0.0,-5.096868583943973,-6.702994454158458,-7.18157900981408,-6.9002675641180105,-7.387274036606186,-8.16101266129892,1.0
SN,20150812,107070,-19.33067190331173,0.0,0.0,-5.199845109839401,-6.790957873712954,-7.208831474760885,-6.928308206919084,-7.590181202907004,-8.142625302341003,0.0
SN,20150813,107500,11.182478901626148,0.0,0.0,-5.2937833714169855,-6.8633346714893415,-7.176746597911559,-6.9095460601659076,-7.732550423210789,-8.02253774081749,1.0
SN,20150814,107200,-9.802822317593943,0.0,0.0,-5.390696682148644,-6.92455923076156,-7.1187594056906525,-6.967355379550611,-7.845345538228379,-7.978155505892437,1.0
SN,20150817,107060,2.1123772724420675,0.0,0.0,-5.453771336252721,-6.980966579903124,-7.14620232064845,-7.077692671787966,-7.9352379669935615,-7.918637840353746,1.0
SN,20150818,106800,-10.626628365260435,0.0,0.0,-5.528604141114896,-7.049204056683898,-7.193612667186387,-7.186535209770298,-7.973056979710216,-7.968451967981168,1.0
SN,20150819,106550,-4.238953754114064,0.0,0.0,-5.620664669576853,-7.129679583486578,-7.192883638919512,-7.2411753476447425,-7.9919411602404375,-8.0247132786169,1.0
SN,20150820,106680,4.72015625920352,0.0,0.0,-5.710656003878333,-7.220548844958137,-7.195072037472392,-7.278663234230678,-7.9763029447546705,-8.113469306894075,1.0
SN,20150821,105310,-16.670623794307293,0.0,0.0,-5.819802714866724,-7.318054608553304,-7.166091424195657,-7.354833729054454,-8.05598344875493,-8.3173898053549,0.0
SN,20150824,101980,-36.13917503656441,0.0,0.0,-5.945340219825803,-7.418696805550881,-7.247867216153772,-7.49070987064615,-8.298242321302402,-8.861330920861294,0.0
SN,20150825,100010,-39.3107581882849,0.0,0.0,-6.083488876555201,-7.549793924718287,-7.3940123671402205,-7.702915064060647,-8.684409754458223,-9.582859018971398,0.0
SN,20150826,100210,5.711753321498763,0.0,0.0,-6.219491117355991,-7.6613753760859,-7.53649820722292,-7.987977881795032,-9.0490542166444,-10.253614866836626,1.0
SN,20150827,98210,-23.299626338003502,0.0,0.0,-6.372048020085039,-7.761100883154647,-7.6907855323391345,-8.306622363681766,-9.540106923296143,-11.141781209280474,0.0
SN,20150828,99610,26.50532402921416,0.0,0.0,-6.5139195362382285,-7.81933029492486,-7.866007061934773,-8.565273169990673,-9.941061178444713,-11.736462047469187,1.0
SN,20150831,99210,-16.193507624097787,0.0,0.0,-6.652345840605213,-7.943876573546014,-8.080755117873643,-8.818881433144838,-10.35424500026356,-12.022453955676296,0.0
SN,20150901,99510,-7.648172553707262,0.0,0.0,-6.783502873244999,-8.075635261673987,-8.284282552920672,-9.03137822802713,-10.736967515563913,-12.073832788426126,1.0
