合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
WH.CZC,20100104,2278,12.996030934031806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WH.CZC,20100105,2278,0.0,2.784187410727625,3.079107444525718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WH.CZC,20100106,2289,11.541861462249244,30.874867297607228,34.434117170938265,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WH.CZC,20100107,2277,-18.41737825124368,-39.909901160289294,-43.299082214747905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WH.CZC,20100108,2278,-1.4702047698505325,5.593739989954179,6.3608542571702245,0.0,0.0,0.0,0.0,0.0,-25.80664638861568,1.0
WH.CZC,20100111,2292,18.305715947936974,19.592469547212406,22.30413274013297,0.0,0.0,0.0,0.0,0.0,-25.66795508501333,1.0
WH.CZC,20100112,2299,14.253465835263286,45.856439634115155,47.758417098676155,0.0,0.0,0.0,0.0,0.0,-25.457986494950624,1.0
WH.CZC,20100113,2281,-28.02568942807792,-39.207917906573314,-42.65358727899076,0.0,0.0,0.0,0.0,0.0,-25.53766081724977,0.0
WH.CZC,20100114,2285,-1.4657028904030156,0.0,-0.17399296632913064,0.0,0.0,0.0,0.0,0.0,-25.45848195361952,1.0
WH.CZC,20100115,2279,-8.74804280243336,-4.8738416046897015,-5.869585100101105,0.0,0.0,0.0,0.0,-25.4786746151782,-25.448613739499553,0.0
WH.CZC,20100118,2275,-5.868580250335222,-10.419511506846227,-12.324657876712408,0.0,0.0,0.0,0.0,-25.493244023691567,-25.61739392919432,0.0
WH.CZC,20100119,2277,1.4708501535057792,-1.5674691019282534,-2.012499240141544,0.0,0.0,0.0,0.0,-25.49810715783441,-25.836393806254765,1.0
WH.CZC,20100120,2267,-15.815665087231894,-15.890530183075368,-18.650979076185447,0.0,0.0,0.0,0.0,-25.605045145743066,-25.972195853722386,0.0
WH.CZC,20100121,2276,7.317625723265897,-5.013545563372965,-6.041636044761312,0.0,0.0,0.0,0.0,-25.609888636422518,-26.060177500173875,1.0
WH.CZC,20100122,2263,-11.670640580645205,-2.710569701016176,-3.376404547181785,0.0,0.0,0.0,0.0,-25.68178497323239,-26.213818795639128,0.0
WH.CZC,20100125,2255,-17.250562615766047,-4.7909716233247215,-5.844997270945092,0.0,0.0,0.0,0.0,-25.859475637727247,-26.40325657213475,0.0
WH.CZC,20100126,2256,-1.4845352856274092,-4.500973131604218,-5.500535383317177,0.0,0.0,0.0,0.0,-26.066392769963407,-26.60175179072979,1.0
WH.CZC,20100127,2255,-1.4851933119775964,1.4225316713733416,1.4910257175321675,0.0,0.0,0.0,0.0,-26.18916493388402,-26.713749321603643,0.0
WH.CZC,20100128,2247,-15.948719296165855,-2.2657352952021985,-2.8808129236722597,0.0,0.0,0.0,0.0,-26.36738969798481,-26.98338601965811,0.0
WH.CZC,20100129,2245,0.0,-7.290052522390809,-8.82528555564285,0.0,0.0,0.0,-26.26095717867208,-26.525196259889412,-27.14780606877684,0.0
WH.CZC,20100201,2245,-4.467084994972609,-19.560232626950835,-22.98836227716175,0.0,0.0,0.0,-26.33820513579444,-26.66349746137237,-27.238252574701878,0.0
WH.CZC,20100202,2247,2.9788774629429184,-1.0513227285034716,-1.4413468640765077,0.0,0.0,0.0,-26.41076523042316,-26.801800930671877,-27.319688721774934,1.0
WH.CZC,20100203,2255,11.71083602575387,-0.617215746138136,-0.9195985708854196,0.0,0.0,0.0,-26.49143993050271,-26.856906047736988,-27.319688721774934,1.0
WH.CZC,20100204,2251,-4.455227749827522,-4.217440110772799,-5.180305016464949,0.0,0.0,0.0,-26.55223785161406,-26.97194206560354,-27.28366844963295,0.0
WH.CZC,20100205,2250,1.4884922113133214,0.3727357590409355,0.2485605603072969,0.0,0.0,0.0,-26.617614660637784,-27.03094808697157,-27.238713190938,0.0
WH.CZC,20100208,2266,22.3375251574296,-0.6675826668085563,-0.9692970700780634,0.0,0.0,0.0,-26.67970966834316,-26.98069176992887,-27.046770748073012,1.0
WH.CZC,20100209,2268,7.343144474079146,2.9664409635089517,3.302097279069073,0.0,0.0,0.0,-26.75414661892409,-26.92566043349166,-26.853277265311824,1.0
WH.CZC,20100210,2270,7.336748212011875,-3.482023913514176,-4.267100252822274,0.0,0.0,0.0,-26.780199816212143,-26.85671159277636,-26.713354368187623,1.0
WH.CZC,20100211,2274,5.871142271864913,-11.434989208117619,-13.501721805482745,0.0,0.0,0.0,-26.806401964097706,-26.732729339040667,-26.497900540790717,1.0
WH.CZC,20100212,2270,-5.8814126840945855,-3.924707887739956,-4.7857136122778945,0.0,0.0,-26.483938062839727,-26.827658922905652,-26.618174829816247,-26.310433411359742,0.0
WH.CZC,20100222,2283,17.05246055814945,25.005423013320726,28.323857774370182,0.0,0.0,-26.475891529221727,-26.80862907987193,-26.441572693477003,-26.146617319947364,1.0
WH.CZC,20100223,2281,-2.9345558590666982,8.051832126526271,9.212776379816331,0.0,0.0,-26.47107045416389,-26.799110860846838,-26.28293546552144,-26.020927858938013,0.0
WH.CZC,20100224,2285,7.2891270961382935,11.575250178648474,13.267283988058464,0.0,0.0,-26.477573930584487,-26.75645595470738,-26.141093325833182,-25.874758387050047,1.0
WH.CZC,20100225,2284,2.930708309493255,11.856046922903664,13.595356361757062,0.0,0.0,-26.46630669559947,-26.73736357706997,-25.98516778232942,-25.776810880791306,0.0
WH.CZC,20100226,2285,-1.4657028904030156,5.375436590669493,6.0907726514828004,0.0,0.0,-26.455018808263226,-26.685313567785247,-25.81918866948591,-25.62983675416472,1.0
WH.CZC,20100301,2286,1.465062013905715,1.0654570149361646,1.0686894769179816,0.0,0.0,-26.464807341469747,-26.61227484583122,-25.722750021001726,-25.600058875578284,1.0
