合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
ZN,20100104.0,21070.0,22.066027446469374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZN,20100105.0,21255.0,-0.9738275781311998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZN,20100106.0,21510.0,20.289968326240498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZN,20100107.0,21350.0,15.415111369438135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZN,20100108.0,20900.0,-43.03409589619049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83265165027784,0.0
ZN,20100111.0,21350.0,24.76597703768823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.021994638470932,1.0
ZN,20100112.0,21125.0,-19.164586162207573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.93397818518187,0.0
ZN,20100113.0,20325.0,-44.79213843195004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.095129333066378,0.0
ZN,20100114.0,20520.0,8.106813599347888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.498165322275113,1.0
ZN,20100115.0,20200.0,-13.806996200461185,0.0,0.0,0.0,0.0,0.0,0.0,27.106571346149288,25.964883450495147,0.0
ZN,20100118.0,20235.0,-11.381396251477371,0.0,0.0,0.0,0.0,0.0,0.0,26.79669987000395,25.12581137025332,0.0
ZN,20100119.0,20560.0,27.82148237826961,0.0,0.0,0.0,0.0,0.0,0.0,26.544551367618624,24.69709623821627,1.0
ZN,20100120.0,20920.0,9.139061805356896,0.0,0.0,0.0,0.0,0.0,0.0,26.337263114106776,25.159915193418247,0.0
ZN,20100121.0,20530.0,-29.000331790765706,0.0,0.0,0.0,0.0,0.0,0.0,26.03756565517176,25.16774026482362,0.0
ZN,20100122.0,19700.0,-41.15378942641868,0.0,0.0,0.0,0.0,0.0,0.0,25.562508299138347,24.750912890503287,0.0
ZN,20100125.0,19720.0,-14.52044943407175,0.0,0.0,0.0,0.0,0.0,0.0,24.925857517016922,24.31891144023075,0.0
ZN,20100126.0,19330.0,-16.418296320032812,0.0,0.0,0.0,0.0,0.0,0.0,24.191292598020038,23.26927425594964,0.0
ZN,20100127.0,19335.0,-23.697946896586316,0.0,0.0,0.0,0.0,0.0,0.0,23.764610510693075,21.911051964672083,1.0
ZN,20100128.0,18515.0,-47.33644360458757,0.0,0.0,0.0,0.0,0.0,0.0,22.866446744393173,20.035919904553662,0.0
ZN,20100129.0,17530.0,-45.052066028847726,0.0,0.0,0.0,0.0,0.0,24.542158934992642,21.586339374725355,17.808864912698212,0.0
ZN,20100201.0,17120.0,-42.315707192335886,0.0,0.0,0.0,0.0,0.0,23.64679983742609,20.040979673546612,15.025490283981085,0.0
ZN,20100202.0,17160.0,5.873025881243542,0.0,0.0,0.0,0.0,0.0,22.7106783913011,18.335755000708048,12.609694189731476,0.0
ZN,20100203.0,17395.0,26.53706179973693,0.0,0.0,0.0,0.0,0.0,21.77218708134396,16.565697761242962,10.420088331282699,1.0
ZN,20100204.0,17340.0,-12.658971280303296,0.0,0.0,0.0,0.0,0.0,20.834281712518973,14.901516278178024,9.042760670781623,0.0
ZN,20100205.0,16910.0,-42.565459186806734,0.0,0.0,0.0,0.0,0.0,19.855149754358493,13.358386206045516,8.28984069281843,0.0
ZN,20100208.0,17105.0,16.85745921642821,0.0,0.0,0.0,0.0,0.0,18.823783372542405,11.900027046893857,8.271520315671552,1.0
ZN,20100209.0,16935.0,-6.092980426691178,0.0,0.0,0.0,0.0,0.0,17.77544022852211,10.526731800976373,7.9960137551481285,0.0
ZN,20100210.0,17460.0,34.49594072338542,0.0,0.0,0.0,0.0,0.0,17.037933709543807,9.456171357664507,8.074695464946316,1.0
ZN,20100211.0,17700.0,29.382502458915855,0.0,0.0,0.0,0.0,0.0,16.316824040935312,8.979801732316396,8.508330641248307,1.0
ZN,20100212.0,18150.0,27.748241603088474,0.0,0.0,0.0,0.0,19.97331206571735,15.78994783690463,9.347197156444425,9.991237974333998,1.0
ZN,20100222.0,18800.0,42.85692228647974,0.0,0.0,0.0,0.0,19.622582678592924,15.428925667332065,10.330780889786963,11.956253749351973,1.0
ZN,20100223.0,18620.0,-21.817169283691573,0.0,0.0,0.0,0.0,19.21372437488249,14.942240661111498,11.183638844743712,13.895148120695502,0.0
ZN,20100224.0,18320.0,-28.72366158399964,0.0,0.0,0.0,0.0,18.715468542985406,14.28915095697532,11.722655968812257,14.868339080164587,0.0
ZN,20100225.0,18425.0,9.527584332836092,0.0,0.0,0.0,0.0,18.253935012938328,13.749916354822247,12.351108202243287,15.67460368573957,1.0
ZN,20100226.0,18350.0,-18.465662765750977,0.0,0.0,0.0,0.0,17.838988364502754,13.38930763594233,13.188648621388845,15.893679580396409,1.0
ZN,20100301.0,18650.0,31.38048649183717,0.0,0.0,0.0,0.0,17.412347329303927,13.105961860481171,14.07051766980132,15.734140574989738,1.0
ZN,20100302.0,18050.0,-34.93861113652804,0.0,0.0,0.0,0.0,16.90564955371056,12.753885970129096,14.713328115365131,15.110477414729402,0.0
ZN,20100303.0,18120.0,-18.256102965833094,0.0,0.0,0.0,0.0,16.52806596190169,12.41949038596453,15.087542870479679,14.889182163704135,1.0
ZN,20100304.0,18260.0,16.247009613806156,0.0,0.0,0.0,0.0,16.144572757926028,12.347585620136911,15.401138786140322,14.707492118527586,1.0
ZN,20100305.0,18170.0,-0.10253160836179376,0.0,0.0,0.0,19.98740767825467,15.792723824015054,12.53308094309291,15.412219318879266,14.507966939972336,0.0
ZN,20100308.0,18780.0,42.56314322178403,0.0,0.0,0.0,19.70662079512965,15.545885931567867,13.009595357861214,15.401556829076128,14.648146388934107,1.0
ZN,20100309.0,18900.0,1.2340585587365638,0.0,0.0,0.0,19.420926762202253,15.269045097878506,13.50486742552841,15.551015967008894,15.573212317487588,0.0
ZN,20100310.0,19075.0,21.148564178585644,0.0,0.0,0.0,19.130691812154023,14.968141636959826,13.97592130777575,15.954332283981474,16.593580555052185,1.0
ZN,20100311.0,18785.0,-26.789672914683226,0.0,0.0,0.0,18.816761732459668,14.67347834337656,14.383357171086006,16.147231462904514,17.152307672497855,0.0
ZN,20100312.0,18790.0,-8.235831526198197,0.0,0.0,0.0,18.551593756826925,14.513793376624006,14.915758987856393,16.382934397462662,17.808875157616527,1.0
ZN,20100315.0,18405.0,-28.95558752802151,0.0,0.0,0.0,18.181977036364803,14.279472649856546,15.28438458779037,16.251404317601526,17.415109292676288,0.0
ZN,20100316.0,18120.0,-12.603255774367582,0.0,0.0,0.0,17.794253503056726,14.058112316036516,15.622377976419203,16.289967352523018,16.585879412914366,0.0
